,140S,138S,136S,132S,127S,125S,122S,119S,115S,112S,109S,104S,101S,139S,113S,137S,133S,120S,116S,110S,126S,123S,106S,128S,111S,134S,114S,103S,124S,117S,107S,135S,129S,121S,130S,118S,108S,131S
068750_1..S02R::1404532800.0,56,-22,12,12,-23,13,4,3,-3,5,7,-56,11,84,-3,-70,-7,13,-5,8,-11,-1,4,-2,9,8,-9,-14,4,4,-9,-10,17,2,-11,-5,19,-3
069550_1..S02R::1404532800.0,64,-5,-8,13,6,-3,2,15,12,14,19,1,-19,80,6,-63,-9,-19,8,-11,14,19,-18,24,18,-37,7,-5,-12,-9,10,-3,7,-7,20,12,-1,-2
070350_1..S02R::1404532800.0,41,-5,6,30,7,11,14,10,-9,8,10,9,-19,55,24,-85,1,31,17,11,21,47,7,15,12,-2,17,5,8,-90,18,-10,-11,10,23,10,13,19
071150_1..S02R::1404532800.0,45,-24,-18,8,11,-13,2,17,7,-55,12,-7,-19,44,-10,58,-10,2,7,-14,-17,-1,3,28,-10,4,1,-14,4,-9,-1,-14,-8,-9,6,13,9,16
071950_1..S02R::1404532800.0,42,-22,11,13,126,6,0,-10,-9,10,-6,-13,-19,104,5,-89,-6,33,-10,2,-11,-3,-4,42,4,5,-16,6,1,-3,21,-14,6,-13,17,10,-8,-5
072750_1..S02R::1404532800.0,,,,,15,20,20,17,18,10,15,-19,11,,-2,,,46,8,17,-5,30,-11,-54,12,,27,4,23,12,28,,,17,,24,36,
073550_1..S02R::1404532800.0,34,-12,-2,16,22,2,10,-8,-16,0,-12,-1,11,-8,-3,-108,-4,9,14,-5,-1,11,-21,2,-2,8,6,-8,-12,-3,12,-10,8,-1,20,19,-27,0
074350_1..S02R::1404532800.0,51,-35,12,-20,38,23,-12,14,9,-3,7,11,-19,87,18,-67,13,17,1,11,24,37,12,4,2,15,16,7,25,7,40,-7,9,-4,14,15,16,-6
075150_1..S02R::1404532800.0,48,-33,4,8,19,1,-7,-17,11,-1,-6,3,-19,22,-3,114,-11,30,8,-3,-10,19,-17,13,-4,3,5,0,-32,-12,38,14,4,-14,10,-25,-6,-8
075950_1..S02R::1404532800.0,35,-12,-14,14,60,12,23,1,22,-5,4,-4,11,130,14,-64,4,57,22,4,15,19,2,24,-1,3,27,-5,17,26,-4,-3,5,25,2,-2,10,4
076750_1..S02R::1404532800.0,9,-6,5,9,11,-5,1,-12,28,-36,1,15,-19,90,-10,-71,4,41,17,2,17,16,-9,32,-5,13,-28,5,16,-11,12,19,9,-10,16,8,-1,-2
077550_1..S02R::1404532800.0,37,-9,-14,20,30,18,-4,28,-6,36,2,-7,-49,142,1,-63,19,20,15,-37,16,9,-1,27,19,-9,-4,-10,28,-10,14,-3,19,-4,14,5,12,-22
078350_1..S02R::1404532800.0,52,-25,-8,18,10,0,11,19,-5,-9,-5,-14,71,75,-13,-85,-3,20,-8,-6,19,21,-1,16,21,-17,-6,-13,-5,6,-13,-10,-71,2,-3,25,-26,9
079150_1..S02R::1404532800.0,57,-13,4,2,79,-5,4,12,28,12,10,-9,-19,23,6,87,-16,0,8,5,-34,9,-3,-23,9,-1,-10,12,-15,-11,-4,13,-5,-8,0,9,6,13
079950_1..S02R::1404532800.0,49,-16,10,-10,52,0,-18,-13,51,16,5,10,-19,77,9,15,1,-19,-12,10,-5,-17,-8,-22,9,15,16,5,-13,-1,-10,-10,-9,0,27,14,7,-3
072750_1..S::1404532800.0,62,-34,,41,,,,,,,,,,94,,-59,,,,,,,,53,,,,,,,,,,,,,,
080750_1..S02R::1404532800.0,42,-13,5,19,5,-3,9,-5,15,-10,-14,-1,11,79,13,-60,-12,32,10,-5,13,24,4,-1,24,-3,19,-7,-5,17,-5,5,12,4,18,-5,-18,-1
081550_1..S02R::1404532800.0,51,-14,9,42,9,-4,2,17,-5,53,-18,10,11,50,-35,87,-15,92,-3,-17,16,7,-6,9,-54,-4,-14,1,-13,-17,-8,-19,-3,-13,13,5,7,-10
082350_1..S02R::1404532800.0,45,-34,-14,5,20,15,13,19,13,-5,-6,-23,-19,85,15,-91,11,28,2,0,-4,9,-15,14,-2,-11,16,15,12,10,9,-55,16,6,17,20,-7,22
083150_1..S02R::1404532800.0,53,-65,-20,7,32,4,34,26,4,22,10,-3,11,139,10,-67,9,28,25,6,14,11,-1,8,1,14,4,-3,4,15,-5,-61,14,5,16,24,6,-6
083950_1..S02R::1404532800.0,59,-10,12,6,16,3,-10,-7,15,2,0,4,11,88,16,-71,-19,30,2,-3,-6,15,3,38,23,-11,20,-1,-7,10,-2,-5,10,13,15,18,4,-9
084750_1..S02R::1404532800.0,55,-24,12,-2,30,5,1,-28,1,16,-2,-10,11,62,9,-83,-1,26,18,-1,18,27,-6,7,22,8,1,-12,2,15,16,9,14,-2,15,-1,-4,15
085550_1..S02R::1404532800.0,43,-11,2,-1,4,19,8,-25,7,1,-13,4,-19,27,-11,80,3,57,4,-4,13,-27,-21,20,-2,-11,-2,-8,-22,19,6,5,8,0,-8,-2,-14,2
086350_1..S02R::1404532800.0,57,-17,-15,5,28,25,2,12,52,4,-2,14,-19,92,-7,-86,12,14,12,-57,8,-4,-8,13,16,-8,-11,6,26,-9,12,-3,17,1,22,1,0,24
087150_1..S02R::1404532800.0,52,-16,-13,20,88,46,-7,44,12,-38,17,1,71,71,20,-60,22,16,-4,12,13,39,15,0,8,-11,19,-5,18,-2,0,2,9,23,7,8,-43,6
087950_1..S02R::1404532800.0,41,-25,-17,3,7,18,-3,4,47,10,-2,-1,-19,10,4,-86,-22,8,-13,4,11,-3,-16,6,6,-13,13,-12,2,3,9,-10,-10,-8,-10,-5,-2,-2
088750_1..S02R::1404532800.0,49,-22,-54,16,13,32,14,14,19,3,10,4,11,103,-8,-88,14,70,3,12,3,21,11,29,7,-11,23,-3,10,8,4,-2,22,18,23,19,10,0
089550_1..S02R::1404532800.0,53,-11,-5,-5,-2,12,13,2,8,4,-6,11,11,10,-3,107,5,22,-1,-2,-2,10,-13,-5,1,-16,3,2,5,9,5,-7,-14,2,-24,-3,-7,7
090350_1..S02R::1404532800.0,61,-26,-9,28,18,24,14,0,0,-3,31,-4,11,94,13,10,-5,38,16,18,4,-33,5,5,3,0,5,-8,23,19,-13,2,12,14,14,0,2,15
091150_1..S02R::1404532800.0,64,-18,16,24,11,24,12,-26,-2,7,7,21,11,30,-4,113,-1,50,21,10,14,4,-5,6,12,8,-2,-18,40,-3,-14,-8,-10,-24,-2,6,3,4
091950_1..S02R::1404532800.0,67,-34,9,-6,29,9,13,-3,1,-21,11,5,-19,151,-2,-95,3,43,-3,16,17,1,16,22,14,9,-34,-2,2,10,5,-19,-6,8,0,-4,11,7
092750_1..S02R::1404532800.0,42,-73,8,2,4,0,16,22,14,21,5,9,-19,55,10,-78,6,25,5,2,18,32,-13,12,-2,4,12,9,-6,13,0,-24,39,6,11,-2,6,-8
093550_1..S02R::1404532800.0,42,-10,35,19,22,18,-8,6,11,6,1,5,41,50,-3,-45,-6,24,6,8,5,12,-14,16,7,-35,4,-4,9,15,-20,35,-9,14,0,2,-1,4
094350_1..S02R::1404532800.0,56,-67,10,2,29,24,18,-8,25,13,-6,17,-19,109,-4,-48,11,27,14,21,7,10,-5,19,15,10,-5,9,1,20,-11,-21,-12,15,-6,27,4,24
095150_1..S02R::1404532800.0,44,-26,-3,-2,53,20,-8,1,0,-8,-8,2,-19,35,-15,77,8,15,-1,0,-25,12,-21,8,-4,-8,-6,-5,18,0,6,1,-18,8,-25,-43,-10,5
095950_1..S02R::1404532800.0,64,-22,24,8,63,17,3,17,17,-5,-10,-2,-19,71,15,-10,16,26,-15,0,2,24,7,21,0,-6,-17,-10,23,-1,1,5,8,-30,16,-15,-14,-5
096750_1..S02R::1404532800.0,56,-2,-12,-1,28,10,25,-3,11,-15,29,8,-19,51,0,-123,-4,12,22,17,20,71,11,18,30,0,-4,11,20,21,-4,-4,-9,-4,25,-37,7,18
097550_1..S02R::1404532800.0,64,-23,6,6,8,5,3,17,17,32,11,4,11,87,-1,-70,9,22,-7,-17,-7,-3,3,4,9,-20,-7,2,-2,0,-2,-18,13,1,18,13,10,-3
098350_1..S02R::1404532800.0,57,-18,-10,4,71,-4,5,-10,-5,-8,20,3,-19,6,13,69,-20,-2,14,-59,-14,5,-19,11,-10,-6,-10,-2,15,-5,4,3,-1,-7,-21,13,-10,18
099150_1..S02R::1404532800.0,50,-19,-4,-2,24,44,0,4,7,14,-10,-4,-19,52,5,-78,33,8,0,-7,-16,17,2,34,21,-5,6,-26,-19,12,1,4,6,-10,10,0,-13,16
099950_1..S02R::1404532800.0,58,-35,-7,-1,21,18,8,4,3,-5,26,-3,11,61,24,-76,2,55,-1,-13,-2,22,-19,12,-12,-14,-7,-12,10,10,6,-2,-10,0,-5,-7,-7,7
100750_1..S02R::1404532800.0,42,-20,8,164,25,19,-1,15,16,13,5,6,-19,63,-23,-70,-3,21,13,11,7,18,-14,37,13,9,-18,2,16,-7,-2,-14,0,-10,30,8,5,-2
101550_1..S02R::1404532800.0,,,,,,,,,,,,,731,,,,,,,,,,,,,,,-80,,,,,,,,,,
102350_1..S02R::1404532800.0,,,,,,,,,17,13,146,,41,,29,,,,88,0,,,-73,,20,,24,,,-135,9,,,,,,-7,
103150_1..S02R::1404532800.0,,,,-55,48,1,-9,-6,47,12,4,-10,-19,,6,,,43,10,10,-11,16,5,11,10,,11,-15,-10,-4,-6,,20,9,8,17,6,-8
103950_1..S02R::1404532800.0,,,,,,11,-6,0,9,19,5,-6,-19,,3,,,39,1,4,-103,11,1,,-8,,6,-9,7,9,-10,,,-14,,-4,4,
104750_1..S02R::1404532800.0,,,,,,,,17,4,27,2,-10,101,,7,,,-90,-5,3,,,-1,,-1,,-1,14,,2,-12,,,,,14,2,
105550_1..S02R::1404532800.0,,,,,,,,,7,2,-8,-8,11,,-2,,,,-26,-1,,,7,,1,,8,-14,,,2,,,,,,-11,
102750_1..S02R::1404532800.0,,,,17,12,14,2,31,7,-6,-1,-8,-49,,12,,14,25,18,0,-4,23,-1,24,-2,,16,-9,18,-4,-14,,-1,-1,5,3,1,5
106350_1..S02R::1404532800.0,,,,,,,,,,,2,3,11,,,,,,,1,,,11,,-46,,,0,,,-7,,,,,,5,
107150_1..S02R::1404532800.0,,,,,,,,,,,,-5,-19,,,,,,,,,,-27,,,,,-13,,,,,,,,,,
107950_1..S02R::1404532800.0,,,,,,,,,,,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,
102350_1..S::1404532800.0,,-38,-18,25,32,131,7,,,,,,,,,-89,-11,35,,,,46,,41,,-1,,,,,,-22,,4,,,,
108750_1..S02R::1404532800.0,,,,,,,,,,,,,-739,,,,,,,,,,,,,,,,,,,,,,,,,
109550_1..S02R::1404532800.0,,,,,,,,,,,,,-1219,,,,,,,,,,,,,,,,,,,,,,,,,
110350_1..S02R::1404532800.0,,,,,,,,,,,,,-1699,,,,,,,,,,,,,,,,,,,,,,,,,
128750_1..S02R::1404532800.0,38,-25,,,,,,,,,,,,-7,,46,,,,,,,,,,,,,,,,,,,,,,
129550_1..S02R::1404532800.0,62,-8,7,6,,,,,,,,,,128,,-39,10,,,,,,,,,11,,,,,,21,,,14,,,25
130350_1..S02R::1404532800.0,39,-13,11,17,-7,,,,,,,,,-18,,60,-5,,,,-4,,,-6,,6,,,,,,-13,9,,20,,,0
131150_1..S02R::1404532800.0,48,-8,-3,17,24,16,33,,,,,,,52,,-25,-5,,,,10,-1,,11,,-3,,,8,,,6,-5,-7,-5,,,6
131950_1..S02R::1404532800.0,51,-70,1,7,9,11,-3,8,,,,,,126,,-104,-17,21,10,,0,-8,,-1,,-4,,,32,-6,,6,18,-15,18,7,,26
132750_1..S02R::1404532800.0,25,,-2,0,49,6,4,8,3,-12,,,,63,12,80,8,3,6,,-2,3,,4,13,-10,-7,,7,3,,-3,-16,-10,-3,-5,,7
133550_1..S02R::1404532800.0,64,-63,9,-41,-20,-20,-22,-4,5,10,-7,,,-17,0,-42,1,9,1,-6,-5,22,14,27,20,9,2,,2,7,-8,-12,-27,-1,9,19,-3,10
134350_1..S02R::1404532800.0,63,-22,14,11,18,10,4,-8,-4,1,18,-10,71,100,-10,-70,14,29,21,11,-2,-27,-4,6,5,-65,-4,-8,3,-5,8,-7,-9,-21,22,12,-9,-3
135150_1..S02R::1404532800.0,59,-18,-19,2,76,-2,-41,7,-14,-11,1,-19,-19,-15,11,61,-17,50,-55,6,-6,17,-6,8,9,0,10,3,-6,6,-14,-17,-7,3,1,-7,-2,9
135950_1..S02R::1404532800.0,61,-22,-12,1,33,-9,1,-5,-1,4,-13,11,-19,39,-6,-71,11,7,-11,8,12,21,21,16,-22,-11,-36,1,-70,-1,-27,-3,2,0,10,-11,-13,15
136750_1..S02R::1404532800.0,38,-6,10,-6,38,-10,11,-10,9,22,-6,-1,11,-5,10,54,3,9,3,-5,-10,4,-22,-3,21,12,2,-60,14,-12,18,-15,13,-1,-8,9,-4,5
137550_1..S02R::1404532800.0,52,-8,4,13,19,25,9,25,-10,-5,-2,5,11,-7,13,-10,14,16,-13,-2,7,17,11,12,-37,17,-93,-28,-9,-4,-8,15,12,4,16,-12,4,-6
000650_1..S02R::1404619200.0,42,-15,5,4,12,17,-17,0,-12,2,-5,10,-409,6,1,84,9,44,17,0,-14,6,-11,8,0,-5,10,5,3,-1,4,9,-10,-1,0,-14,-7,14
002550_1..S02R::1404619200.0,60,-26,-36,-48,91,6,-20,-5,10,-6,10,-10,-1549,16,-10,49,4,-7,9,-16,4,10,4,1,-10,-72,4,10,-9,-4,1,-1,10,-7,20,-13,11,-2
138350_1..S02R::1404619200.0,59,-6,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,
139150_1..S02R::1404619200.0,31,-66,,,,,,,,,,,,-8,,42,,,,,,,,,,,,,,,,,,,,,,
139950_1..S02R::1404619200.0,46,-27,-5,11,,,,,,,,,,47,,-58,12,,,,,,,10,,14,,,,,,8,24,,51,,,-4
140750_1..S02R::1404619200.0,52,-18,5,-6,89,0,,,,,,,,10,,79,-19,,,,-2,,,5,,1,,,,,,10,-10,,-55,,,9
141550_1..S02R::1404619200.0,64,-11,-13,7,14,-37,10,10,13,6,49,-16,-19,-18,1,124,-10,76,-14,0,-6,8,-3,3,1,5,5,3,-16,0,-1,-16,-5,-1,3,-8,-42,19
142350_1..S02R::1404619200.0,39,-13,15,12,14,-10,11,-3,18,,,,,16,16,-70,13,13,15,,-16,10,,2,,-11,16,,9,-6,,-5,12,3,21,-49,,-6
143250_1..S02R::1404619200.0,51,-27,-4,8,24,-1,-10,4,4,-4,8,15,71,33,-11,-86,-16,14,-33,7,-9,12,6,40,3,-7,-32,9,-13,2,1,0,8,11,12,-9,-11,21
004550_1..S02R::1404619200.0,58,-11,-19,11,73,13,-15,10,-3,7,57,3,-49,-5,4,63,-65,66,-34,-1,-90,-15,-13,-18,2,3,-11,-4,-4,13,7,-15,-6,0,5,3,-5,-9
006550_1..S02R::1404619200.0,62,-4,-16,13,24,8,-13,-11,16,4,-47,-16,11,88,5,-64,-9,5,13,-2,5,15,-5,27,-2,3,11,8,-5,-8,-13,-11,4,-26,10,10,-5,-5
008550_1..S02R::1404619200.0,56,-8,11,0,118,-7,-17,5,15,11,0,-17,-79,-4,-3,93,-16,-5,-13,3,-7,-5,-1,-16,-25,0,8,-24,7,50,-75,-18,-19,-3,-5,-13,3,8
010550_1..S02R::1404619200.0,11,-32,4,9,16,-9,3,9,4,80,12,0,-49,1,1,-96,-11,-6,1,14,-12,4,12,-26,15,0,32,-5,5,12,6,-22,-16,-10,-17,2,13,-12
012550_1..S02R::1404619200.0,64,-14,-25,8,62,-11,-8,-1,-17,-3,17,2,-19,-12,-8,-75,-12,9,15,-11,-15,-8,7,12,-9,2,14,-8,5,-2,4,-22,-5,10,7,-10,-15,20
014550_1..S02R::1404619200.0,70,-11,-12,13,58,0,-16,9,-9,-15,84,5,-109,-24,12,59,-3,56,-8,10,-1,7,-13,10,9,11,-13,-1,-14,6,11,-16,1,2,10,-3,-8,-8
016550_1..S02R::1404619200.0,42,-23,4,3,12,2,5,-11,13,-34,-13,2,-19,-1,-2,-98,9,87,13,-7,-1,25,13,12,-5,-6,6,-36,-10,-12,-32,6,4,-6,12,7,-18,19
018550_1..S02R::1404619200.0,39,-72,-4,24,77,-13,-11,7,-5,-9,11,11,-49,0,-10,-108,-3,52,-6,17,17,-12,6,-20,16,-15,10,2,0,10,-1,-34,0,4,13,2,8,-5
020550_1..S02R::1404619200.0,33,-14,-4,-37,81,-1,-5,-14,-24,-8,7,16,11,21,-15,65,10,11,8,14,-27,-2,-6,-20,-18,-6,-2,-10,-18,25,-13,4,1,-99,-14,-3,7,2
022550_1..S02R::1404619200.0,40,-7,8,-3,102,10,-11,-38,-4,-8,11,3,-19,25,13,81,-22,-23,-3,13,-20,-9,15,7,14,-3,-8,-2,-28,12,4,3,-17,6,-9,-27,-21,7
024550_1..S02R::1404619200.0,54,-69,8,5,102,9,6,9,-3,-16,63,7,-19,-3,11,58,-13,51,-4,3,10,14,-60,-6,-22,3,-11,-1,-5,8,-7,-22,-10,1,3,-3,-24,16
026550_1..S02R::1404619200.0,63,-16,9,-36,35,5,2,11,-13,9,7,-4,11,-10,6,-31,-80,-5,-13,13,5,34,7,-5,15,-4,11,-12,-9,3,-4,-18,12,-10,-10,-6,5,7
028550_1..S02R::1404619200.0,60,-5,2,18,30,-18,-35,-9,56,9,-2,-6,11,-1,9,-51,-10,6,-25,2,4,-50,7,-16,4,-2,-11,-16,-25,-12,10,1,1,4,11,7,-6,-3
030550_1..S02R::1404619200.0,51,-25,-14,8,54,-10,-10,2,-19,-1,15,7,-19,-7,-2,-5,-8,53,14,-59,-6,18,-13,4,-50,8,-24,-1,4,-1,4,-10,-7,6,4,-10,13,16
032550_1..S02R::1404619200.0,50,-23,-5,12,11,-6,-5,17,24,11,-6,7,-19,13,-3,-107,-12,24,16,-3,16,14,-8,-2,23,-5,-6,4,14,-8,11,4,14,-14,23,8,-7,-4
034550_1..S02R::1404619200.0,47,-15,-6,14,11,10,19,6,-2,12,-2,8,11,-7,11,-47,-4,16,3,-1,9,-44,-16,12,3,-18,-8,9,-1,12,5,-87,5,-26,19,0,-9,-3
036450_1..S02R::1404619200.0,42,-64,-7,15,63,5,-16,-16,17,9,1,-2,11,92,2,99,-5,3,-3,7,2,15,-19,11,9,-20,10,-10,-31,9,7,-5,1,-1,13,3,-5,-5
038350_1..S02R::1404619200.0,48,-27,13,7,23,0,-2,2,1,7,-12,10,11,41,-2,-94,-20,14,3,-2,-10,-11,-8,24,3,-3,-73,5,-7,-8,-14,-38,5,-3,5,-17,-22,-10
040250_1..S02R::1404619200.0,40,-19,0,-6,9,17,4,9,0,-14,-12,-1,-19,13,-16,101,4,60,-9,-9,11,-2,-15,-51,16,-9,-1,-7,5,3,10,4,10,-7,-29,-3,-12,4
041850_1..S02R::1404619200.0,50,-13,14,-4,4,-13,-13,3,0,-13,-12,-18,101,49,-12,-87,0,-13,-1,23,-27,-56,-6,6,-15,9,-7,6,3,8,-7,-17,-1,7,6,-8,-18,10
043400_1..S02R::1404619200.0,37,-17,228,16,39,-2,-8,11,1,-3,-4,-13,11,17,-9,-78,-9,28,-5,-4,18,14,-6,23,-7,7,-5,11,-13,8,-12,13,5,13,13,-36,-34,-1
044750_1..S02R::1404619200.0,46,-15,-20,3,14,-2,11,2,4,2,10,-53,11,52,-4,-86,-15,16,0,7,-6,9,5,11,-28,-2,0,-10,-18,5,-38,-101,241,-1,2,-4,-21,14
045950_1..S02R::1404619200.0,41,-33,0,-32,62,3,8,-5,3,1,-12,-15,-49,32,-4,-79,-17,71,4,-5,0,10,0,6,-3,-1,-4,8,-13,-12,-4,-18,-10,-4,0,10,-17,10
047150_1..S02R::1404619200.0,51,-12,-12,-3,43,-5,-11,-5,15,6,71,12,-79,76,-4,-61,-28,3,14,4,-11,9,-8,15,4,-14,12,14,17,-3,-8,-26,4,13,15,17,6,20
048350_1..S02R::1404619200.0,56,-16,-1,-3,54,9,-32,14,-3,12,49,2,-19,48,10,-76,9,22,-37,2,2,19,-12,-1,6,-3,-9,-8,-7,8,-6,5,15,8,-8,-4,-17,7
049550_1..S02R::1404619200.0,10,-6,13,2,28,6,15,6,19,8,-3,-50,11,22,18,-96,6,35,-21,-7,23,9,-2,11,18,-15,-11,-7,6,14,14,-8,11,12,14,-35,-6,18
050750_1..S02R::1404619200.0,59,-20,1,17,17,-7,-11,-2,13,-5,-36,-13,11,59,18,-81,-11,9,4,0,14,16,-6,8,-37,0,11,14,12,8,-14,7,19,22,22,-7,-3,-1
051750_1..S02R::1404619200.0,65,-67,-7,-8,-26,15,8,2,-7,-6,-13,2,-19,42,10,67,5,52,-10,-9,12,1,-19,0,-9,-12,-14,-4,11,4,3,-6,14,4,-26,-6,-16,2
052750_1..S02R::1404619200.0,38,-12,-19,-28,13,3,-10,-1,63,-15,-8,-13,11,-5,-17,88,-15,51,-3,2,2,-13,2,-26,6,3,-4,7,-8,-15,0,-17,-13,3,-27,-18,-14,10
053750_1..S02R::1404619200.0,47,-65,4,17,30,16,4,13,23,-3,0,15,11,78,13,-42,-2,-28,6,5,9,-35,-6,6,6,11,-63,9,8,14,15,14,18,-9,23,2,-3,-1
054750_1..S02R::1404619200.0,55,-9,9,12,31,12,8,2,-4,16,-3,-13,11,82,4,-68,-14,12,-49,2,18,3,-28,10,14,-4,-3,12,1,-24,-9,33,17,2,17,-6,-3,-4
055750_1..S02R::1404619200.0,56,-78,7,8,65,17,-8,-12,4,-63,24,8,-19,50,-18,-94,-14,56,-2,11,11,-12,-6,7,10,3,-5,-37,1,15,-3,27,-2,8,6,5,-14,20
056550_1..S02R::1404619200.0,30,-17,23,13,39,28,8,10,13,20,-22,-50,11,19,8,-85,18,13,8,-6,13,60,1,17,20,17,9,-8,-10,17,-4,47,4,1,-2,3,9,-1
057350_1..S02R::1404619200.0,42,-34,0,-7,16,2,1,-9,-16,-7,19,-1,-19,60,12,-65,3,2,14,-11,-8,19,7,5,-10,-14,14,-56,-35,-5,6,41,-12,-9,24,15,-12,2
058150_1..S02R::1404619200.0,57,-20,23,12,82,11,-11,-15,-1,-9,10,-17,-19,73,14,0,-7,30,-2,-13,10,-9,-6,18,18,7,-7,8,-31,14,-14,13,-9,-22,25,1,6,
058950_1..S02R::1404619200.0,50,-8,18,14,14,0,-12,2,22,12,6,9,-19,59,7,-64,-11,24,-45,11,-10,9,-8,7,10,2,-70,2,-4,5,-11,29,10,9,19,-8,3,-2
059750_1..S02R::1404619200.0,62,-32,-2,26,8,6,9,-1,9,-9,-48,10,11,110,12,-24,-12,34,48,-56,22,13,-13,14,-10,-5,-22,11,-4,-92,9,-27,14,8,15,7,-7,20
060550_1..S02R::1404619200.0,43,-22,-11,0,2,13,-3,-5,-63,9,9,-15,-19,45,4,-70,11,29,16,9,8,-4,-2,-9,7,-65,-20,3,1,-92,14,-3,7,-14,-9,-14,-19,36
061350_1..S02R::1404619200.0,45,-67,0,7,38,4,-1,1,6,-19,-12,-3,-19,108,-1,-102,-17,6,0,-7,-14,20,-21,15,20,-4,3,-8,19,10,-2,7,-3,-5,18,-3,-14,20
062150_1..S02R::1404619200.0,57,-5,-6,22,36,1,14,3,42,8,12,10,41,243,1,-59,-14,71,9,18,16,30,35,9,6,-4,5,-27,-2,18,-3,-2,18,6,14,-5,11,17
062950_1..S02R::1404619200.0,45,7,-6,10,24,-23,8,14,-6,1,10,26,11,138,-8,-75,13,17,-17,9,1,1,8,2,4,-8,-8,7,-1,-7,-4,-7,11,-26,15,-23,11,-6
063750_1..S02R::1404619200.0,31,-2,-2,39,9,6,-13,8,4,17,-8,14,11,85,0,-60,-8,66,13,-5,21,6,-15,1,-9,2,2,-12,4,-92,10,10,13,12,16,6,-8,-7
064550_1..S02R::1404619200.0,44,-73,-6,9,33,-12,-9,6,3,-18,-26,0,-19,102,2,-79,10,22,-2,9,15,13,6,21,12,-10,-1,7,8,8,2,2,1,191,12,-1,10,19
065350_1..S02R::1404619200.0,56,-26,10,29,15,27,9,1,-7,6,12,-15,41,66,-6,-92,7,11,13,10,-5,14,-6,-2,8,12,-5,22,5,19,-7,-11,9,18,12,-5,8,-11
066150_1..S02R::1404619200.0,47,-27,-8,28,39,8,1,18,4,-4,16,12,11,60,15,-87,-10,26,-10,9,22,14,16,42,8,-4,5,11,7,0,3,4,-1,7,8,12,6,17
066950_1..S02R::1404619200.0,,,,,37,-4,29,-21,17,12,27,3,11,,27,,,63,4,-3,2,13,27,32,17,,21,2,31,6,-10,,,6,,14,153,
067750_1..S02R::1404619200.0,31,-9,16,-8,9,-1,1,8,9,6,11,-16,-19,15,0,-60,3,-4,1,3,3,2,-11,17,3,-13,2,13,-25,12,12,-3,-3,-9,-1,-1,26,3
068550_1..S02R::1404619200.0,43,-20,14,-9,21,25,-10,-26,10,-61,16,-1,11,90,12,-87,1,-9,7,-10,14,16,2,16,17,11,7,-4,21,13,15,-9,-2,11,0,-3,-3,7
069350_1..S02R::1404619200.0,,,,,-20,20,12,25,22,5,31,-11,71,,18,,,26,13,19,57,28,-1,,13,,-62,15,19,13,14,,,6,,-2,19,
070150_1..S02R::1404619200.0,43,-11,8,7,24,13,-6,-3,1,-13,8,-20,-19,-34,16,84,-10,16,-2,4,10,-10,-5,25,-21,3,-6,-1,0,-14,-9,4,5,8,9,10,2,14
070950_1..S02R::1404619200.0,47,-33,-13,23,34,24,13,0,28,35,35,0,-19,127,6,-59,-4,37,13,15,121,-1,-22,20,7,-35,-3,-3,28,14,-7,0,-2,12,3,0,3,7
071750_1..S02R::1404619200.0,51,-63,-2,12,164,8,7,-6,14,17,-12,-3,-19,66,10,-60,-11,17,2,-8,-26,-3,2,-25,23,-3,12,-7,-4,11,1,2,14,26,14,19,-14,-3
072550_1..S02R::1404619200.0,68,-9,-12,23,55,-24,-6,-8,9,3,-9,-14,-19,179,-5,88,-4,21,-6,-3,-30,19,1,9,-1,-19,4,13,-5,8,0,-5,23,-17,19,24,-14,1
073350_1..S02R::1404619200.0,33,-14,10,19,13,6,22,28,8,6,-7,1,11,350,-7,-64,-7,3,-1,-4,-10,0,2,23,24,6,5,-7,-1,8,1,-18,-4,18,-2,-4,-10,4
074150_1..S02R::1404619200.0,64,-36,-46,10,13,3,24,13,-17,-3,13,18,11,50,16,-32,13,47,10,14,-7,5,-61,23,-27,-8,8,19,2,12,4,-4,5,-12,5,16,11,6
066950_1..S::1404619200.0,56,-9,,34,,,,,,,,,,87,,-18,,,,,,,,,,,,,,,,,,,,,,
074950_1..S02R::1404619200.0,57,-22,-4,-12,23,15,10,23,-1,4,8,1,-19,254,-11,-47,-9,20,-10,10,5,8,11,42,4,0,-6,2,10,0,-2,3,2,2,1,15,10,5
075750_1..S02R::1404619200.0,62,-38,-25,-1,-25,-6,-12,18,11,-4,-13,-3,-49,21,-5,319,-17,54,9,-7,14,12,-23,-25,-6,-3,4,-10,17,-9,-1,9,-6,8,0,8,15,14
076550_1..S02R::1404619200.0,40,-17,12,13,26,35,-32,16,8,11,-5,-14,11,110,3,173,12,16,3,-1,10,19,-5,100,19,-11,8,10,7,3,-15,-4,-3,-24,-17,18,-4,-28
069350_1..S::1404619200.0,29,-2,,45,371,,,,,,,,,60,,-80,,,,,,,,30,,,,,,,,,,,,,,
077350_1..S02R::1404619200.0,44,-21,16,3,30,29,15,-2,24,0,11,8,11,188,-9,-64,6,1,-58,6,-22,6,11,18,4,15,-8,15,1,20,3,-7,2,14,11,-4,15,17
078150_1..S02R::1404619200.0,59,6,3,-6,31,10,4,12,17,-82,5,-10,11,145,13,-77,-2,16,-2,6,-2,14,0,20,5,8,13,-12,8,5,-8,9,0,-28,6,-17,7,16
