,639S,634S,632S,628S,627S,623S,621S,615S,612S,604S,601S,635S,624S,606S,640S,629S,625S,616S,607S,602S,633S,622S,613S,617S,636S,626S,608S,630S,603S,618S,614S,637S,631S,609S,619S,610S,638S,611S
109400_6..S01R::1404619200.0,,,,,,,,,,,71,,,,,,,,,-67,,,,,,,,,,,,,,,,,,
110200_6..S01R::1404619200.0,2,9,-7,14,-5,8,38,133,9,,11,28,-13,,7,18,19,1,,566,-15,-4,17,-8,23,-3,,21,,10,-39,0,53,-3,-18,9,11,4
111000_6..S01R::1404619200.0,15,5,-8,6,25,1,41,-2,25,7,11,33,8,-11,-5,1,12,3,31,-17,15,25,-3,-1,4,0,71,-5,-11,16,5,10,33,0,13,-27,-1,12
112150_6..S01R::1404619200.0,10,19,19,2,17,10,40,2,-13,6,11,39,18,-19,-66,20,12,0,23,-104,7,3,-1,-8,1,24,91,7,-7,10,11,9,16,20,11,-62,-7,8
109400_6..S::1404619200.0,4,-4,20,23,-7,,77,,,,,47,-55,,8,15,-18,,,,10,-19,44,,-2,6,55,10,,,577,8,36,,,,16,
113150_6..S01R::1404619200.0,15,7,-3,-1,5,-7,6,10,-2,3,11,34,7,-10,20,22,12,-14,35,-30,-9,11,-2,11,-12,5,67,-13,1,6,11,-81,21,-15,25,-3,-5,-8
114350_6..S01R::1404619200.0,7,4,7,30,17,13,9,16,14,-6,-19,24,21,-25,16,319,22,-12,19,-19,25,6,17,16,19,35,117,27,-11,5,-8,19,50,13,7,-13,-1,14
115550_6..S01R::1404619200.0,12,-5,11,0,10,-3,4,16,8,9,-19,22,189,-31,18,27,3,0,-17,-15,4,222,-7,1,-9,19,158,-9,-13,-5,-17,4,36,-12,63,2,-7,-4
116750_6..S01R::1404619200.0,,,,,,,,,,6,11,,,-20,,,,,-5,-26,,,,,,,71,,3,,,,,584,,,,
117950_6..S01R::1404619200.0,,,,,,,,,,17,131,,,-30,,,,,131,-107,,,,,,,,,-2,,,,,,,,,
119150_6..S01R::1404619200.0,14,10,-1,-34,0,10,35,18,11,12,-19,55,-41,-9,20,25,21,-7,5,-10,-7,3,16,17,2,10,120,21,-9,5,-7,15,21,21,29,15,-1,4
120650_6..S01R::1404619200.0,-12,0,-4,6,16,1,169,-84,-22,8,11,54,9,-20,23,3,8,-13,23,-24,15,19,-19,14,10,25,20,-5,11,-34,-8,20,29,-21,-1,13,2,-5
121650_6..S01R::1404619200.0,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,
117950_6..S::1404619200.0,19,-23,11,19,4,-7,127,-2,,,,84,1,,15,8,1,0,161,,64,21,32,-6,-3,15,9,25,,10,5,10,45,,32,,-3,
122850_6..S01R::1404619200.0,,,,,,,,,,,-859,,,,,,,,,,,,,,,,,,,,,,,,,,,
124050_6..S01R::1404619200.0,20,-9,9,-11,-7,-5,18,0,-8,5,-199,34,8,-19,12,26,11,6,-5,-13,-2,11,24,2,-6,-2,252,10,-11,-6,4,8,34,-16,19,-5,-4,18
125250_6..S01R::1404619200.0,-4,26,5,-9,-2,-12,33,14,-36,2,-19,26,-28,-13,15,-5,7,-7,2,-33,3,0,9,-7,-3,-5,79,23,4,15,17,15,61,15,20,-5,0,14
122300_6..S01R::1404619200.0,21,9,23,36,20,-2,34,20,22,19,131,29,4,,21,19,-1,15,9,-103,2,25,-4,1,21,4,-16,25,22,13,2,18,45,5,4,-26,9,-13
126450_6..S01R::1404619200.0,17,-37,-11,14,19,11,31,10,5,17,11,55,16,-10,18,15,16,10,0,-31,13,8,14,-8,5,34,42,38,2,12,13,-22,14,11,40,16,11,6
123450_6..S01R::1404619200.0,-5,,,,,,,,,,,74,,,3,,,,,,,,,,9,,,,,,,-38,,,,,7,
127650_6..S01R::1404619200.0,4,6,-11,5,-26,18,31,1,16,10,11,29,19,-33,14,10,18,9,7,-87,14,10,11,3,-2,5,22,11,-8,-7,8,9,-11,-12,26,-4,17,17
128850_6..S01R::1404619200.0,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,
130050_6..S01R::1404619200.0,,,,,,,,,,,,,,,,,,,,-2419,,,,,,,,,,,,,,,,,,
131250_6..S01R::1404619200.0,5,3,-52,9,13,17,21,19,7,3,-19,-10,-2,-44,2,14,0,15,-7,-11,13,11,30,11,18,21,37,12,9,-2,-6,-6,12,14,24,-9,14,14
132750_6..S01R::1404619200.0,2,21,9,-1,9,-4,20,-5,-2,9,-109,78,5,-19,20,27,5,-10,14,-20,3,-15,23,18,9,14,105,17,11,0,22,-8,25,9,21,10,10,-1
134250_6..S01R::1404619200.0,12,-1,12,-4,-2,-5,13,-6,14,4,11,24,6,-26,21,22,8,0,-12,-20,8,12,-10,-1,-8,0,8,13,16,20,0,1,25,7,-16,14,-9,6
135750_6..S01R::1404619200.0,17,17,8,6,30,15,24,18,23,20,-49,30,29,-12,15,26,-3,-4,24,-28,2,2,19,-7,-11,30,8,56,-27,15,-10,3,32,-24,20,-13,-8,12
137250_6..S01R::1404619200.0,12,8,-6,9,-20,-15,67,14,14,14,-19,26,-5,-6,17,4,-3,-10,7,-28,-13,5,11,15,-5,17,18,5,-2,3,-8,7,13,12,29,18,-5,6
138750_6..S01R::1404619200.0,,15,1,16,15,16,17,6,-5,-2,71,11,-3,-25,,19,0,6,19,-31,-5,0,3,-1,-85,19,3,20,-3,-19,14,,33,-3,8,2,,19
140250_6..S01R::1404619200.0,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
000700_6..S01X004::1404619200.0,,,,,,,,,,,-439,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_6..S01X004::1404619200.0,,,,,,,,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,,,
000700_6..S01X004::1404705600.0,-329,10,-1,0,1,-1,25,-18,18,27,-439,35,8,-30,-77,2,11,15,10,-22,-9,19,21,8,12,-2,161,-27,6,24,18,-66,12,11,12,-10,-21,11
002200_6..S01X004::1404705600.0,-314,-39,12,15,13,0,8,5,0,-5,-1339,23,-16,-23,24,19,-8,9,-9,-23,-26,16,-2,6,-9,9,155,20,1,-5,9,5,19,2,28,7,-4,-37
138750_6..S01R::1404705600.0,1,,,,,,,,,,,,,,14025,,,,,,,,,,-10,,,,,,,3,,,,,10,
141750_6..S01R::1404705600.0,16,-37,-19,10,17,32,23,,,,,24,-11,,-4,-14,-7,,,,6,23,,22,-8,14,,10,,574,,4,-9,,18,,-6,
003950_6..S01X004::1404705600.0,-328,-13,-4,0,-3,-14,35,18,12,2,11,19,-1,-19,18,6,96,-8,21,-26,-8,-1,15,-13,2,-5,2,14,-5,9,-8,-12,24,5,-26,14,8,8
005950_6..S01X004::1404705600.0,-342,-14,4,-8,-3,-3,13,-11,-2,4,11,33,8,-41,-3,-4,14,-5,3,-28,-3,14,3,-8,-2,4,49,0,9,9,-10,-20,9,12,9,-8,-2,-49
007950_6..S01X004::1404705600.0,-319,-1,9,-5,-59,5,19,1,1,27,-19,24,-11,-32,-66,1,-6,7,10,-15,-23,19,3,1,-48,17,46,4,18,-8,6,4,13,15,16,-9,-10,16
009950_6..S01X004::1404705600.0,-332,15,-4,-12,-63,-36,-32,1,-10,-9,11,35,12,-27,14,-3,-12,-21,8,-22,-9,-18,-5,3,8,11,63,0,-17,-5,3,-8,74,-3,28,9,7,5
011950_6..S01X004::1404705600.0,-316,-8,-6,7,-2,-12,71,10,14,5,-19,21,6,-33,20,-18,135,-4,12,-18,-6,0,-1,-4,7,-5,128,-5,-31,-9,11,-7,12,-13,-5,-32,-13,-36
013950_6..S01X004::1404705600.0,-334,8,-6,2,-3,3,16,-13,3,11,11,36,-13,-32,-82,8,-3,-2,5,-28,-51,18,9,-3,5,-11,82,-15,7,-11,-9,-13,-27,12,22,-7,7,-10
015950_6..S01X004::1404705600.0,-339,-1,16,-19,8,3,26,12,13,12,11,22,14,-6,3,13,-15,-14,4,-36,8,21,8,10,0,3,49,12,-5,-2,-10,10,24,12,29,-12,0,13
017950_6..S01X004::1404705600.0,-319,-7,0,-11,15,-4,10,2,19,10,-19,22,8,-34,19,-8,-13,10,10,-24,-2,12,17,7,-9,10,84,-4,10,0,-26,5,2,12,2,-10,-7,14
019950_6..S01X004::1404705600.0,-316,10,-10,-8,-12,16,26,12,12,1,11,-25,28,7,17,1,-10,-10,-9,-30,-13,-1,15,-14,20,12,41,4,-29,9,-9,16,12,14,10,23,-6,6
021950_6..S01X004::1404705600.0,-324,6,-12,11,9,-3,18,11,-5,-1,-19,32,8,-19,20,11,13,-8,-4,-28,13,12,-3,-12,11,4,73,15,8,11,13,-5,24,11,10,-9,13,16
023950_6..S01X004::1404705600.0,-253,6,-3,0,1,-2,26,-7,1,3,-19,50,11,-25,32,10,12,-8,17,-25,-11,21,6,16,12,4,62,7,-2,3,2,23,8,11,19,17,1,4
025500_6..S01X004::1404705600.0,-5,2,10,13,12,-3,1,13,22,14,11,31,7,-30,5,18,11,-8,-19,-11,7,13,-1,-8,1,6,61,21,14,14,14,14,81,16,15,-6,2,-17
027000_6..S01X004::1404705600.0,2,11,-8,-14,16,10,19,-6,-6,-4,11,35,-8,-27,10,22,-2,-1,16,-124,-13,-2,20,-4,10,21,19,15,24,18,-2,-9,14,-9,11,2,10,-5
028200_6..S01X004::1404705600.0,8,-40,10,3,10,0,17,0,25,12,-19,78,7,-18,7,25,8,5,22,-28,11,16,13,-5,7,22,25,13,-10,10,11,13,-15,17,28,17,22,0
029400_6..S01X004::1404705600.0,-1,-5,8,-80,-8,-5,19,-35,-1,20,11,43,5,-6,14,-3,-24,11,4,1,3,15,-3,5,8,-8,22,-5,-11,-40,4,-10,27,-12,-8,-3,6,-14
030550_6..S01X004::1404705600.0,-27,-1,11,13,16,10,25,6,4,10,-19,2,-8,-16,7,19,-6,-19,-3,-29,8,-4,9,1,14,14,97,12,1,22,13,-4,16,-1,13,-23,12,-12
031400_6..S01X004::1404705600.0,9,-51,-15,-10,-21,-15,19,-34,-3,-14,-19,14,1,-14,-90,5,9,4,-29,-37,-16,-1,15,1,-6,2,82,9,-7,-3,-2,-74,114,-68,5,1,10,-11
032200_6..S01X004::1404705600.0,8,-6,3,6,-1,7,15,-9,0,3,11,-3,-9,-15,22,14,0,2,-1,-35,2,-4,8,2,7,-6,40,-14,0,-5,-5,-8,95,5,1,-67,14,15
033000_6..S01X004::1404705600.0,20,7,-3,-16,18,-3,28,22,5,33,11,35,3,-24,-2,16,1,11,14,-104,-12,17,-2,2,9,20,10,8,17,17,6,12,27,-1,39,-2,-1,12
033800_6..S01X004::1404705600.0,17,-8,5,-4,1,-8,7,9,16,29,11,17,5,-32,-1,-5,10,12,12,-23,-1,9,-2,9,-5,-1,-6,-9,10,-4,13,8,60,1,24,12,-4,6
034400_6..S01X004::1404705600.0,-11,16,3,-2,-5,11,68,-8,-4,8,11,13,-34,-17,6,3,2,-26,-5,-26,-3,-2,6,-27,-10,-7,68,4,14,-4,-71,4,75,13,20,-6,-5,21
035000_6..S01X004::1404705600.0,12,-7,15,-9,-8,-11,15,9,-33,9,71,21,0,-7,6,23,5,17,6,-14,6,10,5,10,-16,21,22,14,14,-3,15,19,36,-5,24,-27,1,-44
035650_6..S01X004::1404705600.0,-3,0,-19,-8,-8,-6,12,-13,4,22,11,30,9,-35,14,26,11,-2,6,-28,7,10,49,-3,1,31,88,18,8,-13,-11,16,12,13,51,-7,4,-11
037100_6..S03R::1404705600.0,-3,-3,13,-7,-6,19,32,9,14,,,24,-1,,15,-4,1,8,,,-23,8,17,1,6,21,11,-56,,18,16,18,67,11,16,18,5,5
037100_6..S02R::1404705600.0,13,10,6,5,-22,5,34,,,23,11,33,10,-36,25,32,-30,,34,-30,-4,-2,33,,22,20,27,18,30,,,22,21,,32,,3,
038000_6..S03R::1404705600.0,-3,-3,18,-9,-11,-9,25,26,7,,,17,19,,9,7,14,-11,,,10,3,8,15,15,-26,-19,6,,4,0,-5,17,3,30,10,10,0
038000_6..S02R::1404705600.0,12,11,-4,17,-2,-11,39,,,-7,11,32,1,-21,21,18,-2,,10,-10,-11,2,20,,-8,4,22,3,-18,,,4,34,,10,,-10,
038800_6..S02R::1404705600.0,-23,12,-10,10,4,7,19,,,-9,-19,14,-8,-23,7,107,2,,-7,-35,-11,24,98,,-2,-2,-1,7,2,,,-15,27,,65,,10,
038900_6..S03R::1404705600.0,-3,-4,14,1,17,6,26,11,-10,,,15,14,,2,-1,8,5,,,7,-7,17,-4,-15,22,-19,-7,,13,-9,-8,27,0,0,5,-22,-5
039500_6..S02R::1404705600.0,21,13,7,-1,0,14,3,,,8,11,57,-8,-13,32,29,142,,1,-33,-4,2,19,,15,7,3,-14,-1,,,21,37,,28,,2,
039650_6..S03R::1404705600.0,-7,-1,19,13,16,-1,20,-6,12,,,21,-12,,20,18,-3,-12,,,10,18,4,10,0,17,-19,15,,-4,-1,16,18,4,16,5,4,-9
040000_6..S02R::1404705600.0,,,,,,,89,,,14,11,,,-18,,,,,22,-16,,251,42,,,,59,,45,,,,,,44,,,
040800_6..S02R::1404705600.0,9,17,2,16,29,-14,26,,,23,-19,15,1,-15,11,18,9,,-3,-18,-2,3,23,,-10,-1,42,2,27,,,2,29,,17,,-7,
040850_6..S03R::1404705600.0,3,-6,8,1,14,6,57,14,15,,,46,8,,10,-2,-23,-12,,,3,-3,88,13,11,22,-49,21,,-1,-8,-5,27,10,45,-65,12,8
041400_6..S02R::1404705600.0,-77,12,8,-6,-2,-11,-13,,,27,11,39,4,-29,-5,74,6,,14,-8,-6,10,22,,-26,1,20,24,-8,,,17,23,,23,,3,
041600_6..S03R::1404705600.0,4,10,-5,-8,-10,-11,21,15,-10,,,35,1,,8,19,4,1,,,-9,5,80,-14,-24,26,-19,13,,4,-8,-9,14,8,1,-11,-20,13
041900_6..S02R::1404705600.0,-10,-4,19,125,5,-8,30,,,13,41,20,6,-7,6,1,43,,9,-32,6,8,34,,-9,3,9,-3,4,,,5,155,,23,,-4,
042650_6..S02R::1404705600.0,,-20,15,15,7,27,24,,,6,-19,,-6,-26,,97,19,,18,-36,57,35,92,,,45,33,35,-2,,,,42,,26,,,
042750_6..S03R::1404705600.0,4,14,17,-6,28,8,51,-2,11,,,36,10,,5,8,25,18,,,3,0,-5,19,-7,21,11,15,,1,-8,3,57,13,38,-8,18,11
043400_6..S02R::1404705600.0,19,-8,22,24,10,-11,38,,,-2,-19,58,19,-26,10,34,42,,14,-28,27,14,45,,9,4,20,33,-6,,,8,16,,42,,12,
043500_6..S03R::1404705600.0,-83,29,35,7,4,10,50,-8,15,,,12,11,,7,0,27,0,,,6,10,56,-1,18,8,-49,16,,-10,-6,0,34,4,14,15,-8,5
043950_6..S02R::1404705600.0,7,-2,-10,18,0,1,-19,,,2,-19,56,14,-28,37,70,3,,13,3,12,29,23,,-11,8,8,0,1,,,-1,30,,23,,12,
044200_6..S03R::1404705600.0,2,12,-7,18,5,6,19,20,21,,,-2,15,,25,6,9,10,,,11,-5,11,0,16,17,11,-7,,12,-3,-4,62,-10,35,-2,9,16
044250_6..S02R::1404705600.0,2,87,15,19,3,0,22,,,16,41,47,14,-34,25,13,12,,5,-20,9,17,36,,10,16,36,0,-13,,,-8,-14,,-1,,9,
044900_6..S02R::1404705600.0,3,-4,13,14,27,4,33,,,10,41,15,16,2,3,38,38,,-2,-17,7,25,25,,13,-23,32,20,-3,,,-4,42,,16,,14,
045050_6..S03R::1404705600.0,14,1,2,-2,4,14,44,12,18,,,48,18,,6,85,12,8,,,18,4,88,8,6,16,-49,0,,-38,15,12,56,3,48,14,23,7
045450_6..S02R::1404705600.0,23,21,23,24,3,-5,40,,,3,-19,24,1,-16,19,80,0,,-7,-24,12,21,27,,4,-16,-14,19,12,,,8,50,,36,,12,
045650_6..S03R::1404705600.0,-13,16,4,14,27,19,41,12,0,,,14,0,,30,31,-29,15,,,-6,12,-28,10,-8,12,-19,10,,1,-17,6,58,4,75,16,-5,30
045850_6..S02R::1404705600.0,67,16,4,19,16,11,37,,,-9,11,27,18,-33,14,52,9,,-23,-22,-2,-2,8,,0,40,14,31,-19,,,9,40,,-7,,-8,
046150_6..S03R::1404705600.0,-21,-3,11,-3,3,10,42,-15,5,,,14,20,,10,79,-19,0,,,4,-30,4,-5,-17,13,-19,-2,,-12,-17,0,55,4,78,-10,6,10
046200_6..S02R::1404705600.0,33,-9,8,29,13,10,43,,,15,41,37,-7,-9,5,38,18,,-26,-96,2,-27,17,,-11,29,24,16,-17,,,-2,66,,32,,12,
040000_6..S::1404705600.0,21,8,15,-12,-13,,,,,,,24,,,19,-5,,,,,30,,,,8,43,,-5,,,,9,9,,,,13,
046550_6..S02R::1404705600.0,8,4,113,2,18,9,26,,,-5,11,24,-8,-27,8,19,55,,19,-24,21,-3,10,,-8,33,33,23,-16,,,6,77,,26,,-7,
046950_6..S03R::1404705600.0,5,-4,-13,42,15,-6,41,18,11,,,142,7,,5,87,40,6,,,7,10,48,-12,20,29,-19,29,,12,-5,0,53,-3,0,6,13,-2
047250_6..S02R::1404705600.0,-2,25,6,31,15,18,32,,,-11,11,25,10,-27,7,42,45,,44,-15,19,19,77,,20,16,12,30,13,,,-1,39,,99,,8,
047500_6..S03R::1404705600.0,-83,6,33,30,44,21,46,24,16,,,341,16,,25,33,25,-20,,,1,20,3,2,-45,44,11,55,,15,3,33,70,-2,36,5,-66,-2
047650_6..S02R::1404705600.0,6,28,1,10,25,-9,21,,,-3,-49,27,20,-21,22,19,41,,23,-13,-8,15,53,,18,-4,-28,67,-8,,,-1,30,,90,,16,
048000_6..S02R::1404705600.0,-10,18,6,31,22,10,17,,,6,41,43,18,-14,28,15,14,,-2,-16,21,-1,10,,4,15,30,26,4,,,17,58,,90,,2,
048350_6..S03R::1404705600.0,-9,10,0,9,31,21,21,27,23,,,45,23,,-6,39,-16,16,,,14,14,17,5,7,19,11,42,,21,7,15,32,16,40,25,1,6
048350_6..S02R::1404705600.0,11,13,-8,71,3,8,28,,,-2,11,14,12,-80,14,13,2,,19,-126,11,-2,67,,15,29,27,42,4,,,-5,37,,16,,-77,
048800_6..S08R::1404705600.0,17,3,0,12,10,11,29,,,17,11,45,-8,-6,6,38,21,,1,-20,13,-4,50,,13,31,5,26,8,,,22,52,,39,,4,
049100_6..S03R::1404705600.0,3,12,2,46,29,8,13,17,15,,,36,16,,34,31,14,12,,,15,13,22,4,18,22,-19,13,,19,-4,-2,38,4,10,8,15,16
049300_6..S08R::1404705600.0,16,2,5,14,29,15,35,,,35,41,42,22,-22,9,26,14,,13,-17,18,16,23,,-4,15,31,24,8,,,5,38,,20,,14,
049550_6..S03R::1404705600.0,77,7,12,11,35,14,60,2,-6,,,30,-4,,27,48,117,-56,,,23,4,-4,16,4,43,11,46,,5,5,15,60,13,3,-7,1,14
050000_6..S03R::1404705600.0,-2,48,-5,-3,6,-5,33,16,9,,,27,3,,2,16,25,-14,,,10,16,14,-16,-7,22,11,22,,6,-10,128,30,16,30,-6,9,-9
050000_6..S08R::1404705600.0,-20,-16,32,35,16,60,44,,,22,71,37,-22,-34,19,49,-15,,6,-11,-81,30,35,,-23,37,50,47,5,,,-12,398,,42,,30,
050550_6..S08R::1404705600.0,17,18,19,24,20,14,34,,,-17,71,37,-8,-17,4,60,24,,-8,-3,26,6,23,,-4,9,57,253,-13,,,-2,17,,44,,2,
050750_6..S03R::1404705600.0,-24,-3,46,-35,-38,27,20,-3,-35,,,34,37,,19,18,10,5,,,2,-5,7,24,-19,461,71,24,,5,12,-10,62,3,24,3,-14,-8
042650_6..S::1404705600.0,,,,,,,,,,,,21,,,18,,,,,,,,,,,,,,,,,5,,,,,,
051500_6..S08R::1404705600.0,19,4,-5,210,25,-6,8,,,-3,11,51,7,-22,45,30,46,,25,-22,9,-2,61,,8,36,1,17,8,,,18,4,,30,,2,
051650_6..S03R::1404705600.0,3,32,-28,18,18,12,30,10,3,,,31,17,,20,54,23,7,,,7,-21,77,5,-9,20,-19,73,,-9,12,3,26,-5,90,2,21,-3
052000_6..S06R::1404705600.0,12,21,19,128,14,-1,18,,,,,53,8,,22,14,1,,,,6,18,,,273,11,,30,,,,10,36,,101,,-72,
052200_6..S08R::1404705600.0,101,23,-8,44,156,0,22,,,16,11,49,13,-6,-1,21,-11,,5,-30,7,13,39,,8,10,18,-2,4,,,-8,48,,25,,13,
052400_6..S03R::1404705600.0,15,29,25,23,12,10,70,2,10,,,36,23,,22,47,-9,-3,,,3,0,47,15,-8,12,-19,40,,3,14,1,26,3,24,12,9,3
053100_6..S06R::1404705600.0,3,16,1,22,13,-4,34,,,,,33,13,,30,181,24,,,,-1,7,,,1,13,,39,,,,3,50,,161,,14,
053200_6..S02R::1404705600.0,-74,18,44,19,6,2,15,,,18,41,48,10,-27,8,36,26,,36,-26,10,2,24,,2,1,27,30,28,,,86,40,,-24,,20,
053500_6..S03R::1404705600.0,11,-8,40,-2,-5,-7,40,25,14,,,60,3,,1,25,25,-7,,,52,17,46,20,14,68,-19,20,,28,1,-4,47,3,10,12,50,-35
054000_6..S02R::1404705600.0,16,22,4,12,18,5,23,,,-4,-19,38,-13,-25,8,27,23,,-7,-16,-3,-10,84,,3,4,16,19,-16,,,10,26,,48,,2,
054300_6..S03R::1404705600.0,27,-3,17,9,18,11,43,16,-7,,,23,17,,12,9,20,13,,,-2,-26,5,1,-12,-4,-19,24,,12,-1,0,19,1,-23,7,26,0
054850_6..S06R::1404705600.0,16,42,18,78,20,3,26,,,,,33,-16,,6,37,19,,,,46,23,,,5,121,,47,,,,14,47,,41,,59,
055050_6..S08R::1404705600.0,-4,2,-4,27,-18,-7,26,,,7,-19,21,0,-14,15,39,15,,0,-8,21,6,6,,-7,22,27,9,1,,,9,15,,39,,0,
055200_6..S03R::1404705600.0,,,,,,16,37,-25,11,,,,18,,,,43,19,,,,19,-6,21,,-36,11,,,28,-4,,,5,37,6,,15
056150_6..S02X001::1404705600.0,,-28,21,17,-7,-69,22,,,14,41,,2,-20,,32,1,,11,-25,30,26,32,,,8,13,28,-8,,,,137,,50,,,
056400_6..S03X001::1404705600.0,,,,18,-12,16,21,18,-66,,,,19,,,34,8,13,,,,7,-6,6,,48,11,-24,,-2,-7,,,16,136,-16,,10
056400_6..S07X001::1404705600.0,0,72,15,1,6,-9,10,,8,-2,71,42,0,2,30,1,1,,42,55,6,11,34,,15,10,1,60,7,,,-4,52,-2,20,-4,12,13
057250_6..S07X001::1404705600.0,-70,-27,-14,-4,-25,9,16,,-14,-6,131,24,-8,2,8,20,-6,,-2,-8,12,6,56,,-10,9,0,-21,-8,,,8,10,1,37,-16,-3,11
057600_6..S03X001::1404705600.0,7,16,0,-4,20,-3,28,12,16,,,22,10,,27,-8,11,-17,,,24,-15,-4,-28,-5,0,11,113,,-7,16,7,50,7,24,14,22,8
057700_6..S06R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821,,,
058050_6..S07X001::1404705600.0,,,,,,,,,,,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,
058450_6..S03X001::1404705600.0,-84,16,-7,12,3,-14,32,-21,-6,,,12,3,,6,-59,11,-2,,,-6,-4,-7,-2,-14,3,100,-6,,-5,-20,2,11,-71,24,-1,-7,0
058500_6..S07X001::1404705600.0,-180,4,16,10,18,28,27,,-13,26,131,29,-22,12,36,5,11,,10,-13,9,25,67,,9,31,18,20,18,,,-7,22,4,82,13,11,2
059200_6..S03X001::1404705600.0,-86,9,22,163,18,17,8,1,-11,,,32,-2,,12,16,6,16,,,-12,6,-7,9,10,19,41,6,,4,6,-6,42,11,7,-10,9,12
059300_6..S07X001::1404705600.0,,,-76,15,11,6,38,,-9,4,71,,10,-14,,28,1,,24,-8,,-7,96,,,34,24,9,10,,,,20,15,38,16,,0
059700_6..S03X001::1404705600.0,,,,,-105,-15,-4,15,-9,,,,3,,,,3,-8,,,,2,0,-10,,161,38,,,12,9,,,6,53,-11,,14
060100_6..S07X001::1404705600.0,14,-3,18,-8,-4,15,15,,-10,-5,-19,51,0,-3,21,18,-2,,15,-12,20,8,21,,12,4,1,41,2,,,-2,12,0,171,14,-11,8
060500_6..S03X001::1404705600.0,-171,0,-11,4,46,-3,105,30,11,,,24,14,,24,1,16,-12,,,11,8,23,14,16,26,71,-6,,-1,1,0,37,-8,30,-3,14,-6
060900_6..S01R::1404705600.0,-1,7,-5,-34,0,8,46,4,-7,-37,11,44,19,-11,38,27,21,1,8,-22,7,-5,6,-4,14,-2,-14,15,-11,17,7,-4,19,15,13,-5,7,15
061700_6..S01R::1404705600.0,9,-1,2,3,7,18,39,8,-3,0,41,40,25,-3,7,29,5,4,-4,8,15,12,7,-4,19,17,6,10,4,15,11,24,45,2,10,8,28,-4
055200_6..S::1404705600.0,-3,-11,40,,,,,,,,,17,,,7,12,,,,,-37,,,,8,371,,28,,,,-7,62,,,,8,
059100_6..S06R::1404705600.0,-3,-4,3,0,3,19,-2,,,,,97,-4,,3,26,-5,,,,12,6,,,-12,7,,16,,,,-2,38,,,,12,
062400_6..S01R::1404705600.0,15,15,18,-12,17,11,19,-9,19,34,71,38,-5,-17,20,24,0,-2,4,10,6,-3,14,-4,-1,23,-29,-12,0,17,-6,13,18,6,14,-13,-35,8
063000_6..S06R::1404705600.0,9,-11,-26,0,22,-12,16,,,,,34,2,,19,14,21,,,,14,16,,,-9,24,,-8,,,,1,38,,41,,-9,
063150_6..S01R::1404705600.0,4,-4,10,-4,-7,-1,15,13,4,0,41,135,-13,-1,29,5,-5,-6,-7,-10,8,14,-10,-6,-2,16,-50,-2,4,-47,12,-13,6,8,25,-6,8,-8
056400_6..S::1404705600.0,2,-40,,,,,,,,,,44,,,19,,,,,,,,,,-5,,,341,,,,8,60,,,,12,
064100_6..S06R::1404705600.0,19,-9,14,-9,9,15,-50,,,,,19,17,,5,26,-17,,,,8,9,,,15,17,,21,,,,23,49,,-49,,5,
064150_6..S01R::1404705600.0,0,4,11,0,10,2,40,-8,13,25,-19,32,11,-3,9,-5,14,1,25,23,25,26,15,-4,7,15,-28,-8,-3,18,-3,-10,30,-23,93,-14,9,10
056150_6..S::1404705600.0,,461,,,,,,,,,,68,,,49,,,,,,,,,,,,,,,,,,,,,,,
064900_6..S06R::1404705600.0,5,21,18,2,14,-3,32,,,,,40,-10,,23,17,13,,,,6,-15,,,1,-2,,6,,,,7,49,,11,,21,
065100_6..S01R::1404705600.0,13,6,-11,13,10,-7,28,0,-6,10,11,9,9,-4,13,18,17,6,4,-19,15,-26,-2,5,-10,8,22,16,-19,-3,4,3,25,-3,26,6,-8,1
065400_6..S06R::1404705600.0,48,31,-5,2,24,-5,6,,,,,15,7,,10,-4,7,,,,-9,15,,,7,-5,,-4,,,,13,32,,131,,1,
059700_6..S::1404705600.0,-183,-7,-6,,,,,,,,,11,,,9,12,,,,,-5,,,,-14,,,10,,,,5,24,,,,1,
066000_6..S01R::1404705600.0,,-10,23,32,15,2,18,0,17,12,-19,28,4,9,,18,26,18,6,1,6,0,20,1,17,23,8,2,-6,14,16,-19,38,4,32,9,,23
066250_6..S06R::1404705600.0,,,,,,,-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,,,
066800_6..S01R::1404705600.0,,,,,,-13,42,20,8,22,71,,401,10,,,,-11,1,17,,18,-1,15,,,9,,6,-4,-6,,,9,84,-62,,15
067050_6..S06R::1404705600.0,5,-14,4,12,-14,10,31,,,,,33,-13,,8,-36,13,,,,-1,0,,,-7,22,,-2,,,,6,44,,251,,20,
067600_6..S01R::1404705600.0,11,0,13,-4,-1,-5,13,-9,8,-28,11,27,7,-9,16,3,10,1,0,12,8,10,24,-1,10,-1,39,0,2,-8,-6,-5,25,-6,15,0,-13,-6
