,639S,634S,632S,628S,627S,623S,621S,615S,612S,604S,601S,635S,624S,606S,640S,629S,625S,616S,607S,602S,633S,622S,613S,617S,636S,626S,608S,630S,603S,618S,614S,637S,631S,609S,619S,610S,638S,611S
084550_6..S01R::1404446400.0,12,-5,13,6,20,12,35,14,-4,17,11,51,20,0,22,11,19,-10,12,25,6,-1,4,-14,9,35,20,28,-13,9,-14,-13,42,-13,39,-3,-3,19
085350_6..S01R::1404446400.0,13,-3,-18,-5,5,-10,3,-6,3,8,-19,56,1,-5,19,53,3,2,14,-3,5,6,60,-1,-4,17,17,8,1,-9,-4,3,29,-8,19,3,-8,-2
086150_6..S01R::1404446400.0,16,4,2,16,24,-3,37,3,-7,50,-19,25,10,12,20,14,16,2,-1,6,16,10,-3,-2,1,4,17,3,14,-13,7,13,35,7,14,-11,-5,12
086950_6..S01R::1404446400.0,0,6,5,6,17,-37,19,-3,-4,17,-49,30,10,-1,6,21,12,-3,17,-3,-10,14,22,-9,19,28,1,13,-7,13,1,-4,42,1,8,8,12,-2
078950_6..S::1404446400.0,13,,,,,,,,,,,58,,,11,,,,,,,,,,20,,,,,,,18,103,,,,-1,
087750_6..S01R::1404446400.0,10,7,-1,25,21,-6,22,-4,11,-2,-19,23,1,9,15,15,-1,0,0,9,-8,12,34,-12,7,11,11,28,-15,3,6,8,47,10,29,17,-10,6
088550_6..S01R::1404446400.0,-11,-4,18,10,25,8,34,18,-11,10,11,53,-14,-9,25,9,16,-11,6,0,7,2,21,10,3,17,-7,27,2,-2,-4,14,56,-14,21,-7,-2,17
089350_6..S01R::1404446400.0,7,7,7,25,9,-5,42,-7,13,13,11,44,4,-7,25,18,6,-10,8,-14,25,22,27,12,-2,22,17,29,9,29,-5,5,50,17,24,-7,19,15
090150_6..S01R::1404446400.0,7,7,-5,20,21,-1,10,1,-9,1,11,91,11,-12,15,18,12,10,6,2,18,35,-2,8,-4,34,-14,8,5,0,2,2,40,9,-2,-12,16,-19
090950_6..S01R::1404446400.0,21,8,2,1,11,15,39,-2,1,-2,11,31,21,9,0,22,10,-4,-3,-25,-11,4,7,16,9,20,8,6,2,-1,6,16,16,8,26,13,0,2
091750_6..S01R::1404446400.0,21,20,9,11,22,-9,39,11,12,-6,-19,38,-27,-16,19,12,-2,-9,8,-2,-1,20,87,-10,13,39,-3,-2,-6,7,12,25,31,3,16,-14,0,14
092550_6..S01R::1404446400.0,-5,4,34,10,11,-1,-14,13,-1,57,11,27,17,-13,7,92,-7,8,6,-1,7,15,75,7,-2,12,26,15,7,1,14,12,17,-4,-27,11,0,6
093350_6..S01R::1404446400.0,22,-5,-12,-2,17,0,38,-26,5,16,11,45,5,-2,-7,25,27,1,15,22,10,29,8,-4,8,34,5,12,-13,15,11,42,36,-10,17,0,2,20
094150_6..S01R::1404446400.0,21,-44,-11,-9,-4,2,16,17,1,-8,-19,80,16,4,6,56,20,6,-7,7,14,22,109,4,-35,0,10,9,8,-5,-10,14,20,12,30,-10,1,13
094950_6..S01R::1404446400.0,10,10,4,6,45,21,16,18,9,-1,-19,59,-1,16,15,0,7,-4,3,13,-5,14,48,-6,15,29,16,-7,-34,-14,-12,0,92,-8,16,4,-45,-2
095750_6..S01R::1404446400.0,-1,7,3,18,2,-7,15,4,14,12,-19,53,3,-1,3,14,1,12,-12,14,20,101,48,8,19,19,34,23,-12,-1,10,0,45,9,22,-10,10,14
096550_6..S01R::1404446400.0,,,,,,,,,,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,
097350_6..S01R::1404446400.0,,,,32,35,18,33,-15,-8,8,41,,-4,15,,46,22,10,-2,17,,-21,23,-1,,30,8,47,3,14,-32,,11,1,34,6,,23
098150_6..S01R::1404446400.0,13,6,5,15,18,-5,11,18,3,-8,-49,29,7,6,22,13,8,-11,-5,1,20,13,132,14,0,25,10,3,5,5,-7,9,30,10,2,18,-5,-10
098950_6..S01R::1404446400.0,-22,7,5,16,28,-3,24,-5,-9,8,11,26,5,15,7,15,31,-3,-4,15,-6,21,-37,16,11,6,7,9,-2,2,6,15,42,-2,25,2,-5,19
099750_6..S01R::1404446400.0,6,-38,-8,13,26,5,20,34,6,1,-19,-7,11,5,10,13,6,14,20,-5,10,20,3,10,-4,26,4,2,-8,28,13,0,31,3,9,9,16,0
100550_6..S01R::1404446400.0,16,-7,2,11,13,12,25,0,21,2,-19,51,-4,13,0,107,5,12,4,2,-1,-2,121,12,19,31,0,10,-72,6,-3,19,21,3,11,13,-8,5
098300_6..S01R::1404446400.0,2,-7,12,13,34,5,24,19,-2,-12,161,17,10,3,13,18,13,13,-9,19,6,-4,17,7,11,3,-2,-10,-8,-3,-38,-6,58,-1,27,5,12,-8
101400_6..S01R::1404446400.0,-9,-1,13,18,-90,-6,23,2,2,1,41,120,7,-13,7,18,14,-14,12,-9,8,19,19,-12,10,30,-5,11,1,12,1,10,25,2,48,-13,-1,-12
102200_6..S01R::1404446400.0,-1,6,-14,1,6,8,-23,-4,15,-2,-19,100,18,12,-77,123,24,9,3,15,-17,-8,96,9,9,6,21,8,-6,3,3,-7,16,-7,8,2,10,-6
103000_6..S01R::1404446400.0,,,,24,17,5,19,19,10,14,11,,9,-7,,36,32,14,5,1,,2,8,1,,29,19,209,1,13,5,,16,10,34,8,,22
103800_6..S01R::1404446400.0,5,22,1,7,15,22,39,23,22,-21,11,37,-8,19,21,4,24,11,5,1,13,13,22,0,5,33,20,31,0,16,0,17,43,19,6,-6,29,11
104600_6..S01R::1404446400.0,24,2,2,-5,5,-1,45,4,-4,17,-19,49,6,-4,-3,21,2,10,7,6,19,29,2,3,2,14,20,8,0,18,13,1,31,14,8,-8,11,13
105400_6..S01R::1404446400.0,25,11,30,1,-20,15,30,6,-6,-3,11,41,10,13,-5,1,7,11,0,7,-6,3,2,5,9,24,47,28,10,-8,13,15,46,-12,22,-5,2,13
097350_6..S::1404446400.0,26,,,,,,,,,,,60,,,8,,,,,,,,,,18,,,,,,,21,341,,,,13,
106200_6..S01R::1404446400.0,22,-6,23,1,9,17,25,8,13,-13,11,52,-3,5,5,26,-3,-15,-1,2,7,-30,54,5,5,11,27,16,-14,-4,10,4,28,-7,-7,5,11,2
107000_6..S01R::1404446400.0,-3,-11,58,13,28,0,24,14,-7,-4,11,32,15,7,20,33,-11,-10,-4,-9,10,20,2,-11,10,12,12,13,-2,14,-15,13,36,4,45,-11,17,12
107800_6..S01R::1404446400.0,25,19,-6,-4,24,12,40,-6,-8,-4,41,41,-6,8,24,-9,-4,-4,-5,-6,13,-4,-5,-8,19,8,14,-24,-9,10,1,-6,34,13,9,-8,8,15
108600_6..S01R::1404446400.0,1,10,-10,-93,23,14,38,-14,8,2,-19,40,1,-6,2,84,7,-2,-15,10,-16,-3,117,-1,5,28,13,6,-10,-6,-10,20,34,16,26,-9,6,-9
109400_6..S01R::1404446400.0,21,7,15,-2,7,-1,21,16,-2,-11,131,54,13,8,20,28,-60,-7,-3,9,28,14,14,-8,12,10,-14,20,-16,-16,-12,5,45,-3,-11,-2,11,-7
110200_6..S01R::1404446400.0,18,17,12,13,15,29,47,-10,-1,-15,11,66,-3,2,13,10,-35,0,21,-6,1,25,78,-71,3,20,0,-1,1,10,-10,12,27,5,7,-13,-3,11
111000_6..S01R::1404446400.0,404,3,-6,-7,-3,-10,23,11,17,10,11,32,2,-6,26,-5,6,-12,8,-7,15,4,60,5,2,-3,0,22,-1,-8,17,-16,22,0,24,-18,-5,6
111800_6..S01R::1404446400.0,25,9,-1,11,29,4,35,9,9,-36,11,51,9,15,8,13,6,2,0,4,15,26,11,-1,23,10,24,28,6,13,-16,17,82,11,15,-61,-11,12
103000_6..S::1404446400.0,10,,,,,,,,,,,69,,,28,,,,,,,,,,19,,,,,,,44,581,,,,2,
112600_6..S01R::1404446400.0,28,-6,4,9,16,8,68,2,15,-31,-49,58,16,3,21,30,15,6,-9,11,16,2,48,1,13,0,8,20,11,-10,9,-22,43,12,15,-11,15,12
113400_6..S01R::1404446400.0,34,12,2,-84,-7,1,28,-2,-5,-13,-49,34,11,4,17,20,20,0,-3,-11,-6,19,6,-2,18,26,16,14,-10,20,0,0,62,14,11,-6,11,-9
114200_6..S01R::1404446400.0,28,26,6,5,10,15,41,16,10,6,11,43,-7,-9,-2,-1,-3,-11,8,-8,18,13,60,13,4,13,-3,13,-7,-2,-10,34,38,-4,31,5,14,-3
115000_6..S01R::1404446400.0,0,-7,37,7,14,0,34,11,9,0,-19,37,10,-13,-6,3,15,-9,9,12,10,24,16,-11,24,24,22,23,-15,8,24,-2,48,-9,7,4,14,0
115800_6..S01R::1404446400.0,16,7,5,14,33,11,9,12,14,6,11,42,-10,-17,-4,35,18,12,-2,25,11,2,14,4,13,32,15,15,14,21,20,7,68,17,9,-8,-22,12
116600_6..S01R::1404446400.0,18,18,21,1,5,9,31,-6,-1,-9,-19,35,-7,8,5,31,-1,0,-4,-3,3,-7,64,-1,-17,12,18,21,3,-10,-35,24,50,19,22,-7,-5,-12
117400_6..S01R::1404446400.0,42,27,-27,9,17,5,58,4,34,-26,11,65,-10,7,12,39,-1,-10,2,19,15,25,52,-9,8,14,-4,20,-17,14,1,13,78,4,50,-7,-6,23
118200_6..S01R::1404446400.0,,,,,,21,12,15,9,0,341,,-3,-14,,,-58,11,7,5,,-21,13,10,,,-1,,8,-2,-8,,,3,18,11,,2
119000_6..S01R::1404446400.0,29,28,4,36,41,9,21,5,9,3,131,63,-6,-8,21,33,17,-17,-11,-1,22,-36,-7,9,8,17,12,61,-16,2,9,29,51,-17,6,-3,24,-6
119900_6..S01R::1404446400.0,-1,30,14,12,19,9,15,7,0,17,-49,42,18,0,4,12,12,-18,18,17,31,16,9,5,3,23,5,24,-9,-8,-14,4,46,-3,19,-1,16,21
120700_6..S01R::1404446400.0,4,18,0,23,1,-2,33,-1,17,9,11,58,5,-4,-84,20,6,6,-12,11,8,11,-2,0,32,16,11,27,-12,-14,12,16,63,-24,16,18,-12,6
121500_6..S01R::1404446400.0,16,9,16,7,22,16,11,7,16,10,11,59,24,-7,25,27,13,7,5,-10,-27,58,0,-4,0,-4,23,11,-13,13,13,22,64,-11,13,-6,15,11
122300_6..S01R::1404446400.0,0,4,3,-21,14,1,56,21,23,15,11,28,8,-5,7,10,7,20,8,18,19,23,22,8,21,19,8,34,15,-4,-3,0,22,2,21,2,13,19
123100_6..S01R::1404446400.0,20,10,4,9,18,0,37,0,1,10,-19,25,4,16,25,-2,-24,1,-1,29,-6,28,3,22,17,24,9,26,-6,5,11,25,25,3,30,8,7,-5
123900_6..S01R::1404446400.0,21,-5,16,23,44,12,28,29,5,-3,11,43,19,9,20,16,15,-6,-7,2,7,16,-1,17,20,24,8,3,2,7,7,24,30,3,30,11,2,1
124750_6..S01R::1404446400.0,2,0,-9,18,-9,9,3,-1,-4,17,41,29,18,-2,20,13,14,1,1,10,10,12,1,-6,12,0,38,4,10,7,7,-8,16,15,9,12,10,-3
118200_6..S::1404446400.0,48,30,15,,,,,,,,,76,,,10,,461,,,,28,,,,31,,,,,,,18,49,,,,7,
125550_6..S01R::1404446400.0,-3,4,-8,2,-1,1,17,13,-8,-13,-19,31,316,2,0,7,39,-8,-11,7,19,25,3,-11,1,-5,7,-2,10,11,-12,14,0,9,11,-12,3,14
126450_6..S01R::1404446400.0,3,14,-39,13,12,7,37,-10,-5,4,41,41,-10,17,9,-18,-6,-16,2,17,-10,-8,20,14,8,14,18,13,13,2,-7,-11,19,-8,2,1,10,-7
127350_6..S01R::1404446400.0,710,20,0,-8,-1,-9,33,19,12,15,11,72,-27,14,4,5,6,8,2,2,9,20,21,6,6,-73,25,0,-3,-2,-12,14,39,-5,3,1,1,-5
128350_6..S01R::1404446400.0,-20,16,6,16,15,3,30,1,18,-12,-19,15,16,2,17,-10,-11,7,-10,21,-1,15,-5,3,-8,11,11,37,-14,-7,6,4,61,10,25,15,198,8
129250_6..S01R::1404446400.0,-3,110,-3,8,6,5,11,5,10,-15,-19,23,-9,5,-77,108,-3,14,-5,3,-6,20,-36,14,-2,18,16,-1,8,7,10,13,43,-12,15,-2,2,-9
130150_6..S01R::1404446400.0,18,19,6,14,-10,19,38,6,-6,-10,11,37,19,4,6,-20,16,8,20,-5,2,6,44,2,10,30,5,1,-11,-12,14,19,33,7,14,13,3,4
131050_6..S01R::1404446400.0,5,10,-7,-12,16,-26,22,-6,16,15,-19,31,14,0,30,18,-9,-2,-11,4,-12,-2,16,-4,8,11,-6,-10,5,-12,-5,-10,-25,-4,17,-1,11,-10
131950_6..S01R::1404446400.0,6,6,-13,9,-24,-11,27,-2,4,-9,-19,34,-27,8,11,75,12,5,-2,7,14,3,16,2,9,1,18,14,7,-6,1,-6,28,-9,25,2,12,-3
132850_6..S01R::1404446400.0,20,21,12,-2,-3,11,38,20,16,36,-19,40,13,-3,26,28,14,-7,10,-1,2,4,19,17,9,4,-2,-9,-8,4,-3,18,34,-3,2,4,3,14
