,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
116900_1..N02R::1404360000.0,-50,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,
117400_1..N02R::1404360000.0,-26,18,,,,,,,,,,,,63,-10,,,,,,,,8,,,,,,,,,,,,6,,,
117900_1..N09R::1404360000.0,,23,0,,,,,,,,,,,,19,-4,,,,,,,,,,,,0,,,,,,,,,,
118400_1..N02R::1404360000.0,17,13,7,13,,,,,,,,,,44,11,-1,,,,,6,,4,,,,,-6,,,,,9,,-1,,13,
118900_1..N02R::1404360000.0,-20,13,-7,7,25,,,,,,,,,54,13,-9,2,,,,0,,28,,,,,-6,,,,,2,,18,,21,
119400_1..N02R::1404360000.0,9,-8,13,10,-3,52,,,,,,,,48,2,-12,-9,1,,,11,,-2,,,,,-5,11,,,,16,,3,,4,
119900_1..N02R::1404360000.0,22,-23,2,1,10,19,42,,,,,,,63,6,-2,-5,-4,,,2,,-4,17,,,,22,2,,,,1,1,-4,,7,
120350_1..N02R::1404360000.0,3,-12,8,8,11,-5,5,-7,,,,,,58,-16,-4,1,13,,,-13,,4,5,1,,,-36,-8,,,,-10,-13,-3,,3,
120800_1..N02R::1404360000.0,-12,11,23,10,10,21,26,29,3,,,,,61,12,14,-38,-6,10,,8,,33,-7,14,,,15,-3,56,,,3,-4,21,,-10,12
121300_1..N02R::1404360000.0,-8,1,4,-1,18,40,12,3,-5,23,,,,22,0,4,6,-5,15,3,19,,19,2,8,-18,,11,-27,91,,,-10,9,17,,4,11
121800_1..N02R::1404360000.0,20,-8,13,0,-4,1,0,25,0,-2,-9,,,57,-10,-14,13,-4,-14,10,-23,-10,11,1,-5,-14,,-6,6,15,0,,17,0,17,12,2,0
122300_1..N02R::1404360000.0,4,20,12,6,-2,3,25,25,6,-2,4,10,,46,13,3,12,-21,-3,-11,-2,-10,-3,-2,-7,-8,-35,-33,12,143,6,-27,1,4,18,-14,16,4
122800_1..N02R::1404360000.0,62,14,12,10,8,26,14,8,3,24,-6,5,-19,67,-12,-14,-2,12,-4,-15,14,-11,12,14,9,-23,-33,-8,-8,27,1,90,17,20,-2,11,5,15
123300_1..N09R::1404360000.0,,6,16,15,22,-1,46,-3,20,17,19,11,-19,,43,10,5,11,1,-3,-34,7,,3,-8,19,-13,12,15,15,5,-17,-2,1,,8,13,12
123800_1..N02R::1404360000.0,59,-16,9,-3,6,11,16,-5,-7,9,-8,7,-19,45,-37,-19,-27,2,18,-36,9,-13,5,-10,2,-8,-29,535,-11,79,-19,101,16,9,-11,-4,2,1
124300_1..N02R::1404360000.0,,,,,,,10,5,5,18,-9,5,11,,,,,,-4,-6,,-18,,953,1,-20,-35,,,58,-4,82,,,,6,,13
124800_1..N02R::1404360000.0,25,24,-6,-1,-1,18,861,20,-9,28,-9,10,11,49,7,18,5,-3,5,1,-5,-51,14,236,3,16,-11,13,26,24,-7,16,-28,6,4,-1,9,2
125300_1..N09R::1404360000.0,,-6,5,-5,10,20,41,821,-13,22,-7,0,-19,,43,-4,-5,6,-20,-1,-2,-17,,47,1054,6,-11,18,2,34,1,80,11,-6,,10,7,17
125800_1..N02R::1404360000.0,175,12,19,17,10,18,184,5,-8,-5,9,-2,-19,47,11,-3,1,-7,-20,12,14,4,19,26,10,17,-19,-10,3,60,11,-24,10,6,25,16,27,1695
116400_1..N02R::1404360000.0,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,
126300_1..N02R::1404360000.0,33,12,-5,-35,29,3,1,-1,23,-14,-16,-7,11,25,9,-13,26,-13,1739,5,-3,-50,-6,-9,2,19,-21,9,-8,25,-4,-13,4,13,15,5,-6,14
126800_1..N02R::1404360000.0,33,9,10,-5,20,30,10,-2,1492,-3,-19,7,11,86,8,-1,28,-5,63,17,-6,3,25,-1,-2,9,-30,-3,7,41,-11,-37,-11,24,333,-5,3,6
127300_1..N02R::1404360000.0,,,,37,8,11,19,-3,22,18,6,1,-19,,,,-3,-4,32,7,,-8,,-14,3,1295,-37,,0,41,0,-19,,20,,7,,2
127800_1..N02R::1404360000.0,80,-16,-14,20,15,292,4,-2,17,13,-13,-14,-19,51,-11,-17,5,15,38,1097,-28,20,15,3,-1,12,-21,-15,-3,26,-4,71,-35,9,25,10,16,1
128300_1..N02R::1404360000.0,187,1,26,7,-6,27,375,21,46,5,-63,14,161,53,-5,14,208,8,19,-8,0,9,-4,6,24,21,-17,-12,11,30,38,727,9,-1,270,-7,-9,1
128800_1..N02R::1404360000.0,,,,,,,,,,,,-126,1181,,,,,,,,,,,,,,,,,,,,,,,,,
129300_1..N02R::1404360000.0,,,,,,,,,,,,,941,,,,,,,,,,,,,,,,,,,,,,,,,
129800_1..N02R::1404360000.0,,,,,,,,,,,,,641,,,,,,,,,,,,,,,,,,,,,,,,,
130300_1..N02R::1404360000.0,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,
130800_1..N02R::1404360000.0,-48,8,12,-28,17,2,19,12,7,13,-9,331,11,66,-68,-15,1,11,-10,-7,2,8,11,23,29,-1,-21,-16,7,43,-12,-15,-9,8,11,-4,-25,3
131300_1..N02R::1404360000.0,140,5,10,16,-31,22,13,4,14,20,-2,-12,-49,66,8,10,9,4,-1,1,-15,-2,-6,57,6,-23,-9,12,12,12,6,-17,-14,-2,205,14,-24,12
131800_1..N02R::1404360000.0,145,0,19,20,9,180,7,8,23,14,-8,14,41,54,-4,17,20,6,30,-11,13,10,5,83,7,17,-11,10,6,48,10,-12,9,6,1,11,20,1
132300_1..N02R::1404360000.0,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
129550_1..N02R::1404360000.0,11,-6,-12,,,,,,,,,,,48,-13,20,,,,,-49,,-3,,,,,10,,,,,40,,22,,-9,
132800_1..N02R::1404360000.0,48,-16,21,-15,-26,16,-25,17,3,-3,2,-15,-19,51,4,-15,-7,7,-8,12,-10,0,-8,-6,-12,-11,-27,-11,-13,16,10,62,-4,14,165,-12,-10,-4
130550_1..N02R::1404360000.0,-61,12,5,,,,,,,,,,,62,-7,-17,,,,,-229,,11,,,,,-6,,,,,-10,,-9,,-9,
133400_1..N02R::1404360000.0,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,
131050_1..N02R::1404360000.0,,,,,,-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134000_1..N02R::1404360000.0,-3,-8,19,11,4,26,33,-28,19,25,-13,-9,11,16,-8,8,9,19,1,13,1,12,13,23,1,14,-19,5,-1,27,17,10,20,2,-24,16,25,26
131050_1..N::1404360000.0,,,,,,-79,0,34,4,24,115,30,47,,,,,,18,19,,1,,8,1,14,-14,,,35,8,-61,,25,,-3,,9
131450_1..N02R::1404360000.0,-45,-7,-1,-19,,,,,,,,,,66,-3,-2,,,,,2,,13,,,,,5,,,,,9,,17,,-2,
134600_1..N02R::1404360000.0,77,-5,-3,11,11,16,16,4,21,39,4,0,11,64,-3,-16,-6,11,-25,-24,14,5,11,12,14,10,-10,4,20,9,8,25,17,-15,14,-1,18,-17
131000_1..N02R::1404360000.0,11,0,3,20,8,,,,,,,,,55,-10,-11,-11,-3,,,13,,-6,,,,,-14,5,,,,10,,-7,,-4,
135200_1..N02R::1404360000.0,235,1,-15,-6,0,-2,6,0,-14,-4,-12,-11,11,46,-18,-8,-5,-7,8,-12,-2,-50,2,6,5,2,-21,-76,8,76,-2,8,11,-9,12,11,-31,2
135800_1..N02R::1404360000.0,521,-7,8,11,-3,-2,11,-10,-2,7,-1,-8,11,46,-6,-17,-7,-8,-8,-2,-14,0,15,11,1,-18,-54,-5,8,15,-18,11,0,-8,216,-3,-48,-6
136400_1..N02R::1404360000.0,98,10,-36,9,-11,18,5,10,-8,-4,-10,-17,11,74,-11,-1,-1,0,16,-13,-1,-12,15,51,-8,-14,-30,12,5,66,0,2,0,-14,620,12,-8,-7
137100_1..N02R::1404360000.0,53,1,12,9,16,5,1,19,7,20,-5,1,-19,,6,13,2,14,-6,3,9,14,615,6,-64,9,-6,13,11,28,21,25,-3,10,0,51,12,7
137900_1..N02R::1404360000.0,,-6,-5,19,6,8,9,-3,13,-17,-17,-13,-19,,-8,17,13,16,-24,-7,-5,2,-3,34,3,-18,-23,11,-7,73,-12,8,22,37,23,0,-7,-72
135500_1..N02R::1404360000.0,154,-24,-6,7,8,16,-4,8,-12,-10,63,-17,11,51,-15,-2,1,10,14,-12,13,-33,8,0,-17,1,-26,4,-7,84,-15,12,-61,11,15,1,11,15
138900_1..N02R::1404360000.0,,,-2,2,14,33,18,15,13,14,-6,13,11,,,-10,30,3,-3,-3,22,-12,,77,17,3,-27,-85,6,18,-6,26,25,31,,-80,2,-29
139900_1..N02R::1404360000.0,,,,15,-16,29,50,18,-6,-61,-5,4,-79,,,,7,-9,8,-15,-59,-8,,47,-12,-9,-33,,0,29,1,11,,6,,-19,,1
140900_1..N02R::1404360000.0,,,,,,22,-1,-10,-4,9,0,1,-49,,,,,-61,20,0,,1,,9,-6,-21,-26,,,17,11,16,,-11,,-8,,-8
141900_1..N02R::1404360000.0,,,,,,,,-107,8,10,-9,0,11,,,,,,-7,-9,,-13,,,,-1,-23,,,24,-4,19,,,,-1,,1
142900_1..N02R::1404360000.0,,,,,,,,,,-35,-16,-11,-19,,,,,,,,,10,,,,,-19,,,,14,7,,,,-9,,
143900_1..N02R::1404360000.0,,,,,,,,,,,,-110,-19,,,,,,,,,,,,,,,,,,,,,,,,,
144900_1..N02R::1404360000.0,,,,,,,,,,,,,-559,,,,,,,,,,,,,,,,,,,,,,,,,
145900_1..N02R::1404360000.0,,,,,,,,,,,,,-1159,,,,,,,,,,,,,,,,,,,,,,,,,
147200_1..N02R::1404360000.0,,,,,,,,,,,,,-1939,,,,,,,,,,,,,,,,,,,,,,,,,
144900_1..N02R::1404446400.0,409,-53,4,18,16,52,19,0,-5,-6,-22,3,-559,47,-5,8,6,11,4,-13,-13,2,12,19,10,-1,-19,-31,-3,68,-6,-44,-6,-12,19,9,-10,4
145900_1..N02R::1404446400.0,158,-45,-10,-70,10,-4,29,13,8,0,5,18,-49,51,-6,-10,-34,14,-3,-10,-10,1,13,40,-12,-7,-29,-3,-4,26,7,-4,-10,-3,17,-12,12,-9
147200_1..N02R::1404446400.0,-8,-15,-2,-37,8,13,36,-17,-7,5,-2,-5,11,62,0,5,3,5,-10,-2,1,-9,1,49,-4,10,-14,-13,-8,41,11,10,13,20,14,-4,-18,-9
137100_1..N02R::1404446400.0,203,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,
137900_1..N02R::1404446400.0,73,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,263,,,
138900_1..N02R::1404446400.0,404,14,,,,,,,,,,,,58,-17,,,,,,,,3,,,,,-9,,,,,,,148,,,
139900_1..N02R::1404446400.0,301,-12,15,,,,,,,,,,,49,-5,-13,,,,,-10,,-37,,,,,-6,,,,,-9,,-3,,-26,
140900_1..N02R::1404446400.0,104,-53,-27,19,8,,,,,,,,,58,-55,8,1,7,,,-13,,-1,,,,,-13,-11,,,,-1,,12,,-5,
141900_1..N02R::1404446400.0,-9,0,20,1,-1,0,-9,21,,,,,,57,9,-14,-14,11,,,-5,,11,71,-14,,,81,17,,,,-4,5,-13,,11,
142900_1..N02R::1404446400.0,23,4,7,13,19,16,-3,19,-5,0,,,,65,-5,8,5,1,16,7,13,,18,57,-6,-18,,13,7,18,,,19,16,-9,,0,-24
143900_1..N02R::1404446400.0,-4,-3,-7,-2,-6,3,20,-13,-7,4,-3,1,,68,6,-2,14,-4,-13,-2,-4,-3,10,54,-18,7,-5,4,7,83,10,57,-6,1,-10,-66,11,8
148550_1..N02R::1404446400.0,23,27,22,28,17,29,23,5,3,10,15,-3,11,49,15,-1,-8,6,17,11,20,-4,26,190,-4,-2,-4,-6,9,-24,2,16,-7,12,10,6,-2,28
149900_1..N02R::1404446400.0,18,11,8,5,19,1,14,23,15,-3,-18,-10,-19,49,9,0,1,17,16,10,34,-5,13,39,16,6,-26,-4,17,26,6,1,10,5,-2,-4,10,5
007450_1..N02R::1404446400.0,12,-7,0,14,15,18,8,-1,7,-5,7,-10,-19,40,-3,6,1,11,13,-13,-10,8,-5,32,6,23,-18,14,-4,43,-10,-6,-4,16,5,6,-12,14
009450_1..N02R::1404446400.0,-7,1,-11,-8,5,15,-7,7,-22,14,-7,-1,11,59,-15,-6,-1,-20,7,26,-2,-9,5,-10,-11,-5,-8,3,-13,67,-18,1,-11,9,16,-2,14,12
011450_1..N02R::1404446400.0,15,-12,-9,-10,-11,19,23,-24,-32,-2,-6,16,11,61,-6,-10,7,-2,-15,12,-6,-13,12,59,-5,-12,-32,-4,8,41,-27,10,0,-10,13,-16,13,-6
013450_1..N02R::1404446400.0,5,-6,3,1,0,14,20,-1,15,-5,1,-97,11,46,-34,2,-13,5,4,8,34,-7,-6,31,7,2,-22,-23,17,7,1,16,-16,12,1,13,-3,6
015450_1..N02R::1404446400.0,9,13,-10,-3,-10,6,11,2,-4,10,5,13,-19,66,-10,-8,12,-47,-6,-2,0,3,9,29,8,-20,-32,1,6,18,15,-5,-8,-26,7,-3,12,7
017450_1..N02R::1404446400.0,17,6,-6,14,17,1,6,-27,10,-64,-10,6,11,56,-19,3,4,-16,4,-18,-16,-50,2,7,9,-6,-30,-14,-1,33,0,17,20,-8,8,12,-16,11
019450_1..N02R::1404446400.0,3,-11,-97,9,6,-2,23,14,12,6,-12,-10,11,33,-8,-14,-6,13,2,-6,11,4,-10,-13,-14,15,-20,-7,-8,1,19,26,-11,-3,-3,-5,8,-8
021450_1..N02R::1404446400.0,2,-16,5,1,-15,7,-47,1,6,20,9,2,11,52,-6,10,10,5,2,11,10,5,-13,-17,-12,-14,-9,-12,-8,7,-12,19,-59,-3,-2,-1,-80,1
023450_1..N02R::1404446400.0,-10,3,-7,5,-2,2,12,-5,-1,-27,4,5,-19,57,13,-5,-11,-6,15,27,10,-13,7,13,5,-17,-33,4,11,-19,-4,111,-12,-3,15,8,10,-1
025450_1..N02R::1404446400.0,-17,-3,15,9,-11,-3,1,9,0,5,8,4,-19,46,7,-14,-13,21,-6,-5,-15,-22,-26,0,-8,-18,-30,-4,-3,59,-4,32,2,-17,5,-16,-2,10
027450_1..N02R::1404446400.0,7,-4,13,3,-5,8,,,11,13,-8,10,-19,75,6,-9,-12,-2,6,4,10,14,-2,-30,,13,-29,-2,9,34,-10,6,16,3,-26,30,4,286
029450_1..N02R::1404446400.0,5,-5,-12,9,-7,20,29,-20,7,17,-14,-3,41,69,-2,-10,-19,-6,-36,-46,11,-52,-4,-12,0,-6,-12,-2,5,87,-8,21,-11,-8,3,1,10,-8
031450_1..N02R::1404446400.0,-3,15,3,-8,-14,1,24,5,24,9,-9,-14,-19,52,-8,8,10,9,-71,-1,-2,-11,13,-16,-14,-21,-21,-12,-6,48,3,9,5,-3,-11,-10,-4,9
033450_1..N02R::1404446400.0,-1,-13,8,10,2,-20,-6,8,1,14,-7,-10,-19,67,-4,-16,-4,6,-4,7,10,-8,-13,-6,-12,-15,-22,-6,20,55,-12,7,16,6,-5,-4,1,-16
035450_1..N02R::1404446400.0,10,7,11,16,-11,4,-13,7,-17,1,-3,-8,11,53,-19,8,6,-44,7,-10,18,-5,5,-11,-20,-4,-24,11,5,90,-20,9,-12,2,11,-11,7,-60
036900_1..N02R::1404446400.0,-6,7,6,-3,-14,23,7,-14,-4,12,,5,-19,67,-64,8,12,10,-8,0,3,-2,10,7,-2,-20,-2,18,-3,80,10,23,4,-12,-17,-5,-4,-11
038400_1..N02R::1404446400.0,3,4,-9,6,-9,-68,14,0,4,-7,-15,5,-19,71,-15,-3,13,-5,-6,9,8,-19,-12,14,-22,-12,-32,2,4,84,-5,-5,-6,-6,-1,8,13,3
039800_1..N02R::1404446400.0,10,-12,8,8,-8,1,3,18,-1,9,-7,-16,-19,47,-5,14,-12,-7,-69,-25,-13,-40,-5,9,-10,-13,-22,-10,8,150,9,12,0,-8,-27,-62,-2,-12
041000_1..N02R::1404446400.0,2,-26,-26,5,0,14,34,-8,3,-8,-3,-57,-19,67,6,2,-12,1,-11,-19,4,-6,-5,3,-2,-11,-14,8,-17,16,1,19,8,12,0,10,-36,-1
042100_1..N02R::1404446400.0,-5,4,-8,21,10,16,4,-10,6,1,-19,-4,11,58,-14,-6,1,10,-2,10,10,-23,11,4,-3,-19,-13,5,-33,90,-6,-36,-12,-17,-11,4,12,-4
043100_1..N02R::1404446400.0,153,20,8,-6,3,7,-8,4,5,53,-12,0,-19,56,-8,-18,-2,3,3,-9,1,-11,-16,-33,-17,1,-9,-8,-14,28,0,54,2,3,-5,6,-1,10
044100_1..N02R::1404446400.0,6,6,-2,9,-6,9,-7,15,-8,59,-12,0,-19,64,-17,5,-12,1,9,-3,-16,-19,-3,-2,-8,9,-5,11,10,10,-2,59,-4,6,1,-73,-11,-10
044950_1..N02R::1404446400.0,0,-15,12,8,-3,12,17,-9,-4,88,-6,-3,71,31,-55,13,-10,-5,-8,2,14,-7,-7,-7,1,-21,,-12,9,0,5,-14,-6,5,-2,14,9,-4
045750_1..N02R::1404446400.0,-5,-14,15,-10,11,4,2,-5,-2,97,-4,-12,-19,62,-6,-14,7,12,23,7,-6,-3,15,-10,2,-14,-22,-4,-6,43,8,26,21,2,-9,-10,7,0
046550_1..N02R::1404446400.0,20,4,5,-15,3,21,11,-6,-6,77,-17,-7,-19,62,9,3,-38,5,13,-17,-9,-18,12,12,-1,-4,-20,8,-12,11,-9,74,0,-11,-8,3,13,-2
047350_1..N02R::1404446400.0,20,-1,-15,5,-11,-99,19,2,-11,114,-17,3,-19,51,7,-8,-14,-11,-16,-6,12,4,4,14,-19,2,-9,3,2,20,-9,-41,17,-6,-18,5,5,6
048150_1..N02R::1404446400.0,8,4,-5,15,-2,24,-23,11,-19,131,1,3,11,39,9,0,-8,-6,10,-5,-14,1,3,9,-10,6,-37,10,8,12,13,-16,-6,-11,7,-6,-16,16
048950_1..N02R::1404446400.0,41,-14,-6,8,-14,10,-11,6,-27,181,-12,-23,-19,40,-10,2,-18,7,-2,5,-13,-12,-10,-9,-10,-12,-28,-19,-6,29,-1,-29,-7,5,5,-18,-16,8
049750_1..N02R::1404446400.0,4,-11,8,10,8,19,11,2,-13,73,5,10,41,58,-3,9,-2,10,7,-8,6,4,-7,11,5,1,-29,-10,-12,27,11,-92,11,-9,0,-4,-6,9
050550_1..N02R::1404446400.0,5,-14,1,-16,5,6,16,16,4,11,-3,-4,11,69,-3,6,-6,-3,-2,-4,-11,-2,-4,-12,-12,-6,-12,-30,-17,24,-18,79,-1,0,1,-3,-15,-11
051350_1..N02R::1404446400.0,206,11,-11,4,10,15,14,-12,-4,70,-8,-6,-19,61,-7,-3,7,6,-7,-2,-12,-7,0,-8,-1,-18,-27,6,-9,4,8,56,-26,4,-17,-8,4,-10
052150_1..N02R::1404446400.0,6,12,10,-4,13,10,54,5,-17,58,-10,10,-19,66,-10,12,8,9,10,-2,5,-19,-10,-10,-14,9,-27,-16,-4,10,0,48,10,1,-1,10,-2,6
052950_1..N02R::1404446400.0,44,13,-1,-3,11,13,-9,-2,-1,114,19,-3,-19,20,-6,4,4,8,-4,4,4,-22,-3,-4,-20,0,-39,9,-8,1,-6,77,-8,9,8,7,-13,-2
053750_1..N02R::1404446400.0,-14,-5,-10,2,-12,32,4,1,6,-26,-14,4,11,56,-13,-7,7,-12,-3,-8,8,13,12,-5,7,3,-5,-35,2,25,-9,-17,-12,2,9,-5,12,9
054550_1..N02R::1404446400.0,7,4,1,-7,16,-3,18,7,27,84,-12,0,11,68,10,1,5,-11,2,3,-2,-18,-2,-15,10,-15,-10,7,-1,66,-4,48,-22,-5,3,9,1,16
055350_1..N02R::1404446400.0,13,8,5,6,-1,18,11,10,-10,13,-11,9,-19,60,-14,4,-11,0,11,2,9,-15,5,10,10,9,-34,-18,-16,6,-7,58,10,-13,9,2,-3,17
056150_1..N02R::1404446400.0,22,-12,11,12,6,23,14,-4,13,106,-13,10,11,48,-5,14,-38,10,0,-5,11,7,15,12,-22,4,-32,-10,-8,8,-10,-30,14,-9,16,1,3,2
056950_1..N02R::1404446400.0,-11,9,3,-7,-11,-4,0,-6,-2,50,-10,-15,-19,57,-15,5,7,-12,-9,7,-3,-17,8,-31,-1,-16,-22,8,2,22,-6,68,8,-2,12,4,0,6
057750_1..N02R::1404446400.0,-11,-7,14,3,-14,-11,2,12,4,-18,4,9,-19,54,2,-20,10,-17,-7,7,10,-2,4,6,-8,-12,-30,-9,0,57,-16,66,44,-15,12,-5,1,-7
058550_1..N02R::1404446400.0,4,-2,1,-5,-1,-13,103,-3,-18,85,-3,-9,-49,30,-19,-21,-5,-15,-7,-4,6,4,12,-9,10,-20,-10,-7,4,2,-10,89,-13,6,-59,5,7,3
059350_1..N02R::1404446400.0,-4,-26,10,-1,-11,-2,-1,11,11,74,17,-14,-19,60,-9,10,10,-7,4,-5,5,-18,16,-8,-14,-1,-55,9,3,37,-9,-18,17,-5,-8,26,5,-12
060150_1..N02R::1404446400.0,6,-14,7,-8,4,14,4,-4,-3,15,8,-4,-19,56,-19,11,-3,7,-13,0,-3,2,-1,1,0,-19,-17,-14,-12,16,-14,75,2,9,5,-1,-2,1
060950_1..N02R::1404446400.0,9,25,3,-15,-4,4,31,-12,-10,124,-13,-2,-109,71,-9,9,-11,-6,-14,0,-9,-18,-9,-7,-4,13,-11,-12,8,23,2,159,0,0,1,-13,-7,-10
061750_1..N02R::1404446400.0,0,5,7,4,-5,19,27,0,11,13,-15,11,11,58,11,6,16,1,1,2,7,13,3,13,-2,4,-31,6,13,33,-10,55,14,-11,10,0,-2,-13
062550_1..N02R::1404446400.0,-26,13,1,4,0,15,-10,10,26,-9,5,9,11,58,14,2,-12,6,6,13,6,-1,5,18,15,-16,-10,4,16,1,1,52,7,17,10,8,-5,22
063350_1..N02R::1404446400.0,22,-45,-16,1,-11,-11,-2,9,-1,70,-11,16,-19,67,4,24,8,-9,-2,-8,-17,-9,-28,1,-13,-19,-31,-4,7,29,4,48,0,-19,-16,-10,0,11
064150_1..N02R::1404446400.0,-16,-11,-23,5,-9,1,18,9,20,140,0,3,-19,70,0,12,-14,-6,1,-5,11,4,-1,-9,12,6,-31,-10,6,31,-12,-17,-18,-1,6,3,-4,14
064950_1..N02R::1404446400.0,19,12,6,8,4,1,0,15,46,123,12,6,11,49,-14,8,-4,-6,18,-1,10,8,12,-3,-9,5,-19,14,-5,21,10,-23,11,0,16,-9,-2,-11
065750_1..N02R::1404446400.0,85,-6,5,-15,-6,-14,14,3,-19,127,-22,-12,-19,55,4,-19,-10,-16,-10,-4,-4,3,5,-12,-15,-19,-15,-5,1,28,-3,-43,0,5,-12,-14,-8,7
066550_1..N02R::1404446400.0,2,-2,-7,-13,11,10,5,-5,14,80,-8,-9,-19,81,16,-3,5,8,3,-9,-7,-8,-5,-3,4,4,-16,5,-8,18,3,-11,-2,6,-1,-14,16,3
067350_1..N02R::1404446400.0,7,11,11,19,-9,-8,20,10,10,55,12,2,11,16,2,13,9,5,27,-6,-11,-34,18,18,-19,-27,-16,-12,5,10,7,-16,-10,-8,-5,-17,6,24
068150_1..N02R::1404446400.0,3,-2,-6,17,11,6,5,-7,1,49,-9,-2,11,44,3,-3,3,-14,23,10,-13,-11,-6,1,3,-12,-10,2,-3,21,-3,52,3,6,1,5,-47,6
068950_1..N02R::1404446400.0,110,-6,10,17,-6,5,-5,5,11,58,-8,-6,-19,58,-3,-15,-104,-35,4,-10,-10,-10,1,-7,8,0,-20,-8,8,4,1,79,7,1,12,-18,0,10
069750_1..N02R::1404446400.0,16,5,-9,3,17,-101,20,2,-11,11,-18,-6,-19,50,12,-5,8,-13,9,-3,8,10,8,14,11,38,-13,4,-27,50,-12,94,-67,-7,13,0,12,-14
070550_1..N02R::1404446400.0,1,-7,-13,11,4,38,-1,1,0,102,-16,0,-19,62,0,-11,-4,2,6,-3,-10,2,-7,-4,-5,0,-18,-6,-14,28,-12,-27,-8,7,-2,-2,9,10
071350_1..N02R::1404446400.0,0,18,-5,10,1,1,41,-5,-16,87,-16,9,11,68,-7,-7,-8,8,5,-2,-15,11,16,18,6,-12,-33,-3,-18,26,8,-31,-4,10,-8,-11,16,10
072150_1..N02R::1404446400.0,15,-8,-2,8,8,32,9,-3,14,11,-17,-11,11,67,-4,1,-3,11,2,-4,12,10,17,5,-3,4,-56,-1,-8,29,-13,59,13,1,14,-1,-8,8
072950_1..N02R::1404446400.0,6,-4,-63,2,12,-3,17,12,12,49,-11,-18,-19,76,5,-7,4,16,2,-3,11,-21,-2,-15,21,4,-23,2,-8,31,-6,52,-12,-6,4,7,10,-15
073750_1..N02R::1404446400.0,26,-8,-5,-4,-10,15,16,9,13,94,15,11,11,40,0,-7,9,-4,0,-8,-2,9,18,10,12,0,-33,-4,5,35,13,-33,2,12,-8,-7,-45,13
074550_1..N02R::1404446400.0,23,14,0,-3,-4,0,16,-16,10,53,-10,-1,-19,44,-8,4,12,-45,2,-7,2,-10,10,-14,14,6,-6,-17,10,43,0,91,4,-5,-13,14,-9,-13
075350_1..N02R::1404446400.0,-2,0,12,15,21,14,-1,-9,7,112,-21,-15,-19,52,-1,11,1,4,22,-2,16,8,-8,16,-8,0,-28,9,10,-13,8,-24,-9,-14,-4,17,9,5
076150_1..N02R::1404446400.0,-10,-8,15,2,19,38,15,16,13,19,-37,-9,-19,51,-4,8,32,5,0,-3,0,-14,-11,21,8,2,-23,2,10,30,2,89,3,21,25,9,15,-27
076950_1..N02R::1404446400.0,-6,9,10,0,-6,3,-2,20,11,-8,-77,6,-19,47,-13,2,12,-7,3,-18,6,16,15,-1,-9,-4,-32,13,8,31,-4,124,13,-1,-8,6,6,-1
077750_1..N02R::1404446400.0,90,-5,6,4,-18,6,10,-1,10,77,-4,6,11,65,8,-68,-19,3,0,-10,-17,-8,9,-19,11,7,,-8,-9,6,-16,71,-56,-3,-8,-2,-14,-2
078550_1..N02R::1404446400.0,8,-4,-6,19,13,-8,44,6,11,82,-8,10,11,64,3,-4,3,16,6,-6,-58,17,-2,9,10,-4,-33,2,-3,35,-1,-22,-5,-14,1,9,15,14
079350_1..N02R::1404446400.0,19,20,-5,20,22,30,7,1,7,13,-11,6,11,56,-6,-7,8,6,25,-2,19,-22,18,-3,4,5,-35,-4,11,23,-9,50,21,3,17,1,-9,9
080150_1..N02R::1404446400.0,13,-11,7,-8,10,14,1,-5,-1,61,-6,-2,-19,47,2,-18,2,6,20,9,-2,-14,2,-1,-4,-26,-22,-11,-11,22,4,64,4,11,9,-13,-4,6
080950_1..N02R::1404446400.0,61,-13,-3,-9,-6,-11,6,-13,-10,70,-14,-19,-19,36,0,4,-8,-15,-12,-1,-1,-9,32,5,-3,-17,-25,-17,0,18,5,56,-16,-17,-9,-10,-18,-10
081750_1..N02R::1404446400.0,-8,-8,-22,-5,-3,-5,-3,4,-6,83,14,-1,11,43,-5,-26,10,11,12,17,-8,-28,16,-7,1,14,-16,3,17,32,6,-17,-4,-3,-11,10,3,17
082550_1..N02R::1404446400.0,-3,-14,-59,-28,-12,-12,3,-10,4,118,-3,-2,-19,48,-11,0,14,12,-2,6,-66,-2,12,5,0,-9,-14,-18,-3,25,-21,-17,-12,-16,-9,-4,10,3
083350_1..N02R::1404446400.0,80,-11,4,8,-15,-1,11,-8,-10,67,-8,7,11,72,0,7,10,11,17,-9,-14,-6,-2,14,0,5,-28,-12,-31,-7,6,69,-2,-6,10,-12,-7,0
