,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
029450_1..N02R::1404705600.0,16,17,4,12,13,20,8,0,4,9,4,-17,-19,61,11,10,3,11,-5,15,15,2,-1,-27,9,-12,-25,-7,-4,24,14,-4,11,-17,9,-4,-4,-27
031450_1..N02R::1404705600.0,-57,-4,5,89,-15,14,-13,3,-7,3,-9,-7,-19,58,7,-20,11,9,-11,-6,9,-11,2,-5,-16,8,-16,-8,-5,77,2,3,-5,8,-71,-15,-9,-27
033450_1..N02R::1404705600.0,51,15,-35,53,-26,52,2,9,5,-8,-16,-2,-49,59,14,5,-3,-1,1,-16,12,11,7,6,-8,-5,-11,-15,-72,59,-10,37,-3,-11,15,5,-10,10
034850_1..N02R::1404705600.0,19,8,-2,67,-2,4,8,-13,-4,25,1,5,11,81,-13,2,-9,-5,-72,6,-11,5,-15,-16,-4,-13,-30,-23,11,117,-8,8,-5,-3,19,4,-5,-9
036150_1..N02R::1404705600.0,-5,-2,-1,-1,-8,25,19,12,8,-62,-6,-3,41,58,-6,-3,9,0,-28,-13,4,-8,-12,16,-15,-5,-49,4,10,32,-36,-15,4,-7,-7,11,-2,-6
037150_1..N02R::1404705600.0,65,-8,16,47,3,14,4,11,10,-6,-6,-94,11,59,-2,-10,-7,-22,6,-13,6,-19,-2,2,-16,-2,-7,-5,18,66,1,61,21,14,-1,13,5,14
038150_1..N02R::1404705600.0,136,-3,-10,-14,15,-23,7,0,-4,18,11,-16,-19,74,3,-6,1,-15,17,6,-12,9,-3,8,-38,-18,-25,0,-1,69,-10,-8,-2,12,4,2,15,14
039050_1..N02R::1404705600.0,-2,-4,-4,-1,-9,18,13,17,-18,-11,-12,8,11,69,0,-4,10,-8,21,8,-3,-16,-11,8,-12,-14,-39,2,5,73,-6,-21,2,-15,-3,4,-9,0
039850_1..N02R::1404705600.0,-12,-4,-14,52,9,12,0,20,-23,12,2,-10,-19,52,4,-11,0,5,20,5,9,0,1,1,-5,-15,-21,-2,-7,73,-18,15,-11,10,11,-4,-19,-2
040650_1..N02R::1404705600.0,-58,3,31,0,0,24,19,23,-10,18,-7,11,-19,62,7,12,14,-21,11,-2,1,-12,19,16,-8,9,-28,13,17,31,-5,5,-2,-9,-10,5,-2,6
041450_1..N02R::1404705600.0,-2,7,-2,-2,-10,4,-1,12,1,3,-11,-7,-19,62,-19,0,7,-10,-1,-1,1,-6,-53,-2,-9,-15,-16,7,2,145,6,4,-8,7,-6,-17,-12,-35
042250_1..N02R::1404705600.0,-11,8,16,-10,11,13,6,7,8,-2,-7,-18,11,59,14,6,1,-9,30,-12,-6,-12,8,7,2,-6,-26,-14,3,111,-1,7,8,13,14,12,22,18
043050_1..N02R::1404705600.0,13,-9,1,-1,-26,15,23,45,-2,14,6,3,11,73,-5,-4,-12,-21,16,4,2,-2,-1,-10,17,-15,-15,-2,-13,44,-14,12,17,-4,8,-38,0,1
043850_1..N02R::1404705600.0,9,-3,-10,1,-10,17,14,13,,17,7,-12,-19,52,-34,-55,9,-3,-4,5,4,8,-3,-20,10,-28,-19,-1,8,48,-15,-12,13,18,2,0,117,-8
044650_1..N02R::1404705600.0,15,23,13,8,26,3,24,12,16,-6,9,11,11,71,-9,9,6,15,32,13,5,4,11,10,2,2,-4,10,20,58,8,-4,-25,11,14,13,18,1
045250_1..N02R::1404705600.0,-14,-5,8,-6,-5,0,20,24,-3,-27,-1,2,-19,50,-9,4,8,10,11,-10,-11,18,13,7,-8,-8,-20,5,14,22,-10,27,-6,8,-14,-4,8,22
045850_1..N02R::1404705600.0,17,-16,3,2,-4,11,20,15,0,-10,-54,-14,-19,46,-6,-6,-19,0,24,6,8,-17,-7,10,-13,-15,-58,-7,8,12,-5,1,10,15,28,5,-5,-8
046450_1..N02R::1404705600.0,19,-24,17,12,7,22,20,15,-8,7,-7,9,11,50,6,13,-7,5,36,8,2,16,23,17,13,-24,-37,15,4,38,-9,20,8,-11,19,-5,-11,3
046950_1..N08R::1404705600.0,,,,26,8,7,9,2,5,21,9,14,-19,,,,16,-6,22,1,,1,,6,4,-1,-32,,0,73,7,2,,10,,13,,17
047450_1..N02R::1404705600.0,-1,3,13,17,24,2,2,0,12,72,-19,3,-19,44,9,8,8,11,36,-10,2,10,-5,-1,-2,1,-8,9,-16,30,18,-2,9,3,-2,-5,18,21
047950_1..N02R::1404705600.0,12,-10,-7,5,-21,10,20,-3,4,24,-8,0,11,32,17,-9,-3,-8,25,0,6,-9,1,8,-6,-4,-15,-2,-1,42,2,16,5,11,6,12,18,13
048450_1..N08R::1404705600.0,,,,27,15,27,18,18,,36,-6,26,-19,,,,29,0,20,-1,,-21,,8,15,-16,-28,,7,37,-11,-6,,4,,-4,,13
048950_1..N02R::1404705600.0,7,-9,13,3,1,28,45,22,13,73,5,2,-49,75,0,13,10,5,35,6,2,5,-4,-10,11,10,-12,-11,17,45,-16,-10,-3,-3,4,-4,13,12
049400_1..N02R::1404705600.0,-2,-17,-16,5,-6,22,9,2,,48,-12,5,11,62,-6,-13,-16,0,24,-4,11,-24,-11,9,1,-17,-39,-9,9,45,-4,14,-14,-11,-5,4,6,-21
049800_1..N08R::1404705600.0,,,,35,21,10,29,7,,50,9,-2,41,,,,0,16,38,-21,,5,,8,-3,48,-19,,15,41,12,-14,,14,,15,,33
050150_1..N02R::1404705600.0,0,8,-9,6,14,-5,5,-15,7,100,5,10,11,65,9,-5,6,10,-4,-14,1,6,7,-2,-4,-6,-29,7,9,18,-11,-14,-14,28,-10,3,14,-2
050500_1..N02R::1404705600.0,17,6,14,5,17,39,22,28,,10,-40,27,41,40,14,6,-5,7,36,16,2,7,5,13,13,-38,-4,9,7,62,12,-7,-1,15,10,6,13,24
050850_1..N02R::1404705600.0,9,-50,-7,6,11,16,12,10,1,60,-76,-5,41,20,-16,-6,-8,16,21,-10,5,14,-21,-6,-4,-5,-52,-4,16,21,-8,-19,6,-1,3,-4,-8,-6
051200_1..N08R::1404705600.0,,,,43,12,1,22,8,,74,-10,-26,41,,,,0,-14,22,-15,,-20,,-3,-15,-26,-17,,-3,21,-9,-14,,7,,0,,25
051550_1..N02R::1404705600.0,5,-41,-1,9,6,1,6,40,-30,6,-18,-15,-19,59,-2,-2,16,13,18,-12,3,9,-7,-1,17,-2,-25,1,-7,27,18,64,2,5,1,-7,-5,-5
051900_1..N02R::1404705600.0,-14,-3,-57,10,-11,11,-4,13,-26,-15,-20,-12,-19,58,7,-2,15,-3,13,7,-15,10,2,-8,-10,8,-19,2,4,3,-11,65,-22,-10,12,-1,-10,-9
052250_1..N02R::1404705600.0,-10,11,7,4,-10,1,-4,24,-1,14,-5,8,-19,49,14,8,10,-8,17,-4,6,-11,8,-2,-9,0,-2,-14,4,59,-2,80,10,8,17,3,1,18
052600_1..N09R::1404705600.0,,7,5,-10,18,6,10,2,-5,6,-1,-8,131,,36,5,1,-7,14,-11,-57,-8,,10,7,-13,-26,12,-24,25,26,-12,-3,10,,-6,-1,25
052900_1..N02R::1404705600.0,70,13,12,0,-4,28,-4,17,-12,-65,-9,-11,101,46,18,-20,12,8,11,9,4,-19,-4,-3,-9,7,-20,-10,-19,13,-1,-21,8,0,2,8,2,-5
053250_1..N02R::1404705600.0,27,9,11,-10,7,-96,4,12,22,-4,-7,-15,101,26,16,11,14,17,2,9,-9,-16,0,-6,10,9,-26,-14,-8,46,20,22,-8,0,1,-8,8,6
053550_1..N09R::1404705600.0,,0,2,1,-11,12,19,21,7,-1,-2,5,71,,31,2,-9,3,23,-16,5,-4,,13,-7,-7,-9,6,-24,40,4,-41,29,18,,-16,-4,2
053850_1..N02R::1404705600.0,-12,92,4,-5,2,45,12,6,-8,1,-19,-25,71,56,3,6,16,5,8,12,-2,8,4,8,1,-10,-8,14,-14,16,14,49,7,16,11,-9,-4,22
054150_1..N02R::1404705600.0,39,28,-9,16,1,4,-20,2,12,14,-6,-10,71,54,-14,-6,5,-14,29,0,-14,-9,1,5,8,0,-24,1,-10,43,-1,9,-2,-16,7,11,15,14
054450_1..N02R::1404705600.0,100,-16,-38,-6,13,27,10,-7,-14,92,-12,-18,41,46,-6,-28,10,6,-22,-2,2,-17,11,-13,2,13,-23,22,6,8,-3,13,11,-8,-14,-19,-3,-35
054750_1..N09R::1404705600.0,,17,11,46,1,8,-8,28,-23,49,-11,-8,11,,40,-15,-9,-4,2,-22,-9,-12,,-8,-10,-6,-18,-11,12,30,1,49,5,2,,11,-2,8
055050_1..N02R::1404705600.0,71,-34,-18,8,-3,9,-6,19,13,53,-6,4,-19,41,16,-11,-13,-3,-32,-9,13,-13,3,-3,-8,17,-34,-2,7,21,0,58,-13,6,14,8,6,-2
055350_1..N02R::1404705600.0,51,1,-10,50,8,17,27,9,-9,84,0,-13,11,66,10,-7,-38,7,10,0,8,-11,4,-13,-13,10,-22,2,-12,38,7,14,-15,-3,-15,-11,13,16
055650_1..N09R::1404705600.0,,-8,-12,48,-22,-9,-7,19,13,7,-9,5,11,,27,-10,-5,13,1,-4,-17,-15,,-9,-7,1,-16,-4,-36,25,-9,14,-5,-5,,-2,14,3
055950_1..N02R::1404705600.0,-28,0,13,9,14,-5,47,6,1,-3,-31,13,-19,40,-6,17,-2,18,22,-16,13,-6,3,-12,9,9,-33,11,-4,22,-22,80,-8,-3,2,-15,10,16
056350_1..N02R::1404705600.0,-4,-6,17,19,12,-101,11,10,8,174,-14,10,11,67,0,-12,-4,14,25,-11,-9,-23,-14,15,4,14,-27,-5,-5,40,-4,-29,15,-6,-6,8,7,-7
056700_1..N02R::1404705600.0,207,14,-6,-8,17,10,21,-10,13,5,1,11,71,70,-2,-6,5,-3,-4,-5,-7,-7,17,-16,10,0,-30,-93,4,22,-5,8,-1,14,160,0,18,14
057100_1..N02R::1404705600.0,-179,-2,13,-5,8,11,-3,-12,0,28,-3,-2,41,46,-28,8,-2,8,-14,-12,-2,-14,6,-25,-7,-21,-26,-49,-13,28,5,21,-2,9,23,-14,-25,-1
057500_1..N02R::1404705600.0,-108,-14,-13,55,-9,-7,11,-10,-19,72,-15,11,11,58,24,-13,-8,-13,5,-5,10,14,34,11,-1,-1,-30,-38,2,4,-7,0,-10,-8,216,4,8,-38
