,604N,608N,614N,613N,621N,625N,631N,632N,636N,640N,630N,638N,603N,624N,635N,639N,619N,637N,607N,623N,602N,634N,629N,601N,606N,618N,622N,633N,617N,612N,616N,626N,611N,615N,610N,609N,628N,627N
065400_6..N01R::1404532800.0,-9,-2,-19,20,3,2,37,4,17,11,22,-8,47,-36,19,13,-13,11,19,5,-4,-10,20,43,-6,14,20,10,0,2,1,10,-3,-14,18,-8,10,16
066100_6..N01R::1404532800.0,,791,-1,16,23,5,2,12,25,11,89,0,,5,64,-11,11,21,-36,17,,0,14,,,3,-1,-9,15,5,-11,6,-2,3,13,18,10,13
066800_6..N01R::1404532800.0,-13,11,-18,66,17,-1,6,-1,21,-19,-55,19,-33,-43,27,14,51,,20,-25,-25,3,-5,47,-22,-20,17,-34,1,-5,-15,-1,-7,-21,-11,512,-36,3
067500_6..N01R::1404532800.0,14,-9,4,51,8,-13,23,7,19,41,6,-3,13,10,3,11,15,-4,9,-6,49,10,-21,12,-15,-13,12,8,9,-9,-14,14,232,5,-1,10,-20,13
068200_6..N01R::1404532800.0,7,-4,2,13,31,10,10,1,47,-19,10,17,-26,5,19,-22,-4,10,20,-11,-14,16,11,47,,-4,3,-24,373,-4,-52,11,-8,7,11,18,8,14
068900_6..N01R::1404532800.0,31,31,-1,31,25,13,24,-2,31,-19,16,3,22,11,56,-84,-17,-44,22,-9,-31,-14,11,49,-18,1,5,6,14,5,6,34,20,12,6,-28,11,14
069600_6..N01R::1404532800.0,-7,9,-12,-3,24,17,32,-2,33,-19,19,13,-3,4,37,8,-26,0,0,-15,-19,-7,6,60,-14,1,1,13,-14,8,5,-5,-26,-5,-3,3,-1,3
070300_6..N01R::1404532800.0,-9,4,12,23,2,1,27,2,35,-19,3,-5,-4,-2,34,24,6,14,18,5,-25,-4,-3,60,-24,3,13,13,-13,10,7,7,3,-66,-7,-4,21,22
071000_6..N01R::1404532800.0,10,16,-3,7,24,-1,17,-14,24,161,14,-12,2,-20,25,17,6,8,24,10,-20,-16,37,68,-23,-4,-18,3,8,16,8,9,14,8,6,10,16,39
071700_6..N01R::1404532800.0,2,4,3,-8,6,-28,37,-4,12,-19,12,8,63,15,28,-7,18,4,-2,-29,-21,3,20,40,-9,4,-7,-2,126,-14,-12,-6,15,7,12,-6,-8,-1
072400_6..N01R::1404532800.0,-34,1,3,46,56,-4,22,19,11,-49,-10,8,0,-3,31,0,22,3,-12,11,-13,2,-6,44,-20,-8,-3,-5,12,-5,-11,-3,-9,6,15,-7,-6,1
073100_6..N01R::1404532800.0,,,,,,,,,,6161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073800_6..N01R::1404532800.0,,,,,,,,,,-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074500_6..N01R::1404532800.0,-5,-6,15,-34,56,0,83,17,6,-109,10,-14,-6,-6,37,15,15,12,15,9,-23,5,12,45,-25,10,-4,-6,-3,-10,1,-1,-86,-13,14,20,3,4
075200_6..N01R::1404532800.0,5,-4,8,21,22,-16,16,15,38,-19,2,4,4,5,23,-3,-3,17,6,16,-20,5,-2,50,-11,-4,-28,-9,-1,1,2,-12,-4,-14,-12,-7,-9,-4
073450_6..N01R::1404532800.0,,8,16,28,15,10,46,14,34,71,3,0,,8,47,44,11,-20,,18,,5,24,,,7,30,-6,22,7,-14,24,-2,-4,14,15,16,17
075900_6..N01R::1404532800.0,7,12,-5,27,46,5,3,16,24,11,15,-2,54,26,42,-5,25,14,52,-1,-3,21,30,56,-16,19,4,7,0,2,-5,-7,-4,6,9,10,-18,9
076600_6..N01R::1404532800.0,,,,,,,,,,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077300_6..N01R::1404532800.0,,,,,,,,,,-379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078000_6..N01R::1404532800.0,-13,17,-33,13,22,10,34,23,2,191,24,-1,17,5,18,24,1,15,8,-10,-26,4,17,61,-20,-3,7,-3,14,-35,-12,6,-4,4,-8,6,11,13
078700_6..N01R::1404532800.0,6,14,-11,1,7,1,12,8,25,-49,-8,-32,7,-2,33,-4,9,-10,4,9,-16,-5,22,59,-18,7,24,15,-11,-9,18,3,17,-4,7,7,7,10
079400_6..N01R::1404532800.0,16,17,-1,-22,-1,-5,46,20,27,-19,13,-5,12,6,29,15,15,14,22,-12,-18,11,10,65,-23,-16,3,-2,-3,-1,-10,1,-8,4,14,10,5,11
076950_6..N01R::1404532800.0,-33,-4,22,19,32,20,17,4,28,41,-17,6,-7,-4,39,17,15,-15,10,-4,-26,16,31,60,-14,3,0,27,11,19,0,14,4,6,-42,-6,11,4
080100_6..N01R::1404532800.0,-10,5,2,19,114,8,20,13,44,-19,14,15,-11,6,35,7,5,-1,23,-9,-24,0,12,41,-20,-1,8,-8,16,-2,-12,-22,-6,5,-12,-6,7,12
080800_6..N01R::1404532800.0,,75,18,27,27,6,31,-1,54,191,1,-1,,-1,34,28,7,16,,9,,-7,27,,,2,20,11,17,1,16,12,22,-3,7,10,22,24
081500_6..N01R::1404532800.0,12,5,13,14,7,3,29,-38,43,42,18,0,5,-3,2,-1,12,67,19,0,-28,-2,17,30,-9,20,12,13,0,-6,17,4,19,0,-1,2,12,14
082200_6..N01R::1404532800.0,6,4,-12,-4,20,-9,7,37,3,11,21,-4,33,7,20,16,-4,13,-11,19,-1,8,17,72,-22,25,29,21,3,8,3,0,14,-10,0,2,14,10
073400_6..N01R::1404532800.0,4,,,,,,,,,,,,33,,,,,,18,,-35,,,60,-16,,,,,,,,,,,,,
082900_6..N01R::1404532800.0,6,14,12,21,18,21,22,7,19,61,36,3,-21,23,43,10,17,21,-3,-8,-13,7,14,60,-32,11,6,18,-8,0,-11,0,18,4,5,10,6,9
081100_6..N01R::1404532800.0,-6,21,-1,35,40,0,14,18,32,-14,4,6,16,-1,31,9,19,13,2,10,-35,9,26,25,-19,-12,21,-36,3,10,-7,11,3,8,16,18,19,21
083600_6..N01R::1404532800.0,-7,10,-28,11,15,-3,53,-7,10,-19,11,21,177,-12,42,15,10,6,-27,3,8,0,12,72,-10,9,22,-3,-5,-40,-46,-1,-11,2,-14,-2,-7,3
084300_6..N01R::1404532800.0,-6,2,-23,53,63,9,79,3,2,-19,-13,8,180,11,14,-3,16,-5,-7,-6,62,-15,19,65,-19,-12,7,8,5,-33,-68,10,-37,7,-15,-6,18,14
081850_6..N01R::1404532800.0,-13,5,-10,31,23,10,52,19,-16,11,4,22,0,2,15,17,2,-1,36,14,152,-8,1,67,-23,0,-3,0,13,9,17,18,7,0,-6,-3,0,6
085000_6..N01R::1404532800.0,1,15,3,17,5,10,50,16,22,-19,13,6,2,-34,27,8,13,24,1,7,-22,2,34,57,-8,11,19,-8,-28,13,-2,6,0,-18,14,11,20,18
085700_6..N01R::1404532800.0,-9,-2,-5,9,-3,13,35,12,30,-19,16,17,19,7,24,24,-23,2,17,15,6,12,10,48,-25,7,1,-4,-11,-7,14,17,-7,0,14,-9,-5,-3
086400_6..N01R::1404532800.0,-5,40,-5,3,27,17,33,-37,30,-19,25,17,13,13,59,17,7,5,7,20,-11,-9,5,65,-13,3,16,9,11,6,6,37,-4,15,11,8,-6,19
087100_6..N01R::1404532800.0,2,0,-13,-3,-4,-9,84,15,15,-19,-1,-4,-28,9,21,26,8,11,-30,-5,-16,-78,33,60,-10,5,6,-11,-6,9,0,-8,10,-11,8,-11,-60,-4
087800_6..N01R::1404532800.0,-9,-11,8,25,18,-4,74,6,13,-19,18,11,-5,-7,17,-1,60,4,15,4,-21,-11,23,69,-26,13,21,13,-1,10,0,-6,9,12,3,12,-8,-2
088500_6..N01R::1404532800.0,9,-9,6,14,23,1,35,-1,16,-19,20,-7,10,14,15,-14,20,11,10,-9,-36,14,16,53,-21,-13,0,5,0,-4,-6,97,-8,11,-21,15,9,15
089200_6..N01R::1404532800.0,,,,,,,,,,68,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
089550_6..N01R::1404532800.0,-10,18,3,8,102,14,25,19,26,25,20,25,18,9,32,24,8,39,6,-14,-28,25,36,65,-23,-5,25,3,8,-10,4,20,18,18,7,11,18,10
080800_6..N::1404532800.0,34,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,
090600_6..N01R::1404532800.0,10,13,4,47,59,-1,28,-12,9,-19,19,-1,-15,-1,45,-7,18,11,3,13,-26,4,10,46,-23,-9,-34,-4,9,1,-12,-34,0,6,-5,5,-28,7
091300_6..N01R::1404532800.0,3,-2,-10,71,82,0,85,16,10,-19,7,7,10,8,17,-1,2,0,-4,-5,-28,-81,8,35,-10,7,-12,-13,-5,3,5,-2,7,-5,1,-17,5,-21
092000_6..N01R::1404532800.0,-1,5,8,10,19,-7,19,12,42,-19,11,2,-16,-11,1,-81,4,15,24,27,-34,-3,26,61,-8,-2,4,-13,17,14,13,-1,6,-9,-3,3,11,-18
092700_6..N01R::1404532800.0,-7,-5,-1,9,17,6,36,-1,9,281,19,-14,-4,0,-68,191,-8,3,16,10,-18,,15,47,-21,-7,27,6,10,-1,-12,7,-9,3,13,-36,13,19
093400_6..N01R::1404532800.0,8,6,-38,18,14,16,121,21,,101,3,,14,-12,19,,50,,23,2,-23,164,1,13,-25,-1,17,-2,15,4,-16,18,1,3,-12,-3,-6,-2
094100_6..N01R::1404532800.0,4,6,-11,7,27,11,26,15,28,-49,1,10,9,4,80,4,-14,-2,3,16,-70,11,26,44,-10,-14,1,-4,-23,-6,9,10,-3,-1,-7,-2,16,23
094800_6..N01R::1404532800.0,-10,-3,-8,8,20,5,31,-1,6,-19,25,21,-8,-34,39,21,21,10,15,6,-23,-7,18,50,-27,-11,19,11,4,-7,-23,16,-12,-62,13,-9,1,4
092750_6..N01R::1404532800.0,,,,,,,,,-21,-19,,23,,,15,24,,8,,,,-16,,,,,,,,,,,,,,,,
095500_6..N01R::1404532800.0,-1,23,2,9,8,11,34,10,23,-19,9,18,-2,5,48,18,1,5,11,-16,-32,5,4,61,-14,-1,25,-9,10,10,8,17,-2,19,16,16,1,4
096200_6..N01R::1404532800.0,13,10,-7,25,16,-20,30,9,29,11,25,5,7,1,19,2,12,18,22,2,-19,13,35,47,-15,3,9,23,14,-2,2,21,21,10,6,8,-21,6
096900_6..N01R::1404532800.0,7,11,8,21,22,21,2,25,18,-19,20,-1,36,10,17,26,28,14,31,-8,-18,-12,15,51,-30,24,32,8,0,0,4,-2,22,16,6,8,-25,7
097600_6..N01R::1404532800.0,2,13,19,21,12,14,50,27,2,11,23,23,53,7,56,34,3,6,-3,6,,0,10,64,-15,21,11,-16,-3,2,-11,30,-82,1,10,11,26,17
098300_6..N01R::1404532800.0,-8,6,-16,22,29,17,20,3,-6,41,2,-18,-7,18,34,9,21,24,17,-7,-21,1,23,52,,17,3,18,-8,-23,-13,24,5,-56,-6,1,11,11
099000_6..N01R::1404532800.0,4,7,-13,4,25,12,34,-1,24,11,18,-16,33,7,26,8,-8,30,22,-8,-26,-9,7,49,-10,-15,3,11,2,16,9,25,11,-67,-45,-32,0,0
099700_6..N01R::1404532800.0,1,-3,4,85,92,2,26,4,17,-19,16,-14,0,6,89,0,-3,12,-5,-9,-15,-9,-8,57,-15,3,13,15,-35,3,-22,1,9,3,7,-10,-4,7
100400_6..N01R::1404532800.0,2,-15,-3,81,84,14,7,-7,5,-19,25,13,8,-6,76,7,2,-1,-15,10,-31,2,21,52,-18,8,-6,-3,-2,-3,10,16,-2,-1,-12,1,12,-10
101100_6..N01R::1404532800.0,-10,17,-5,42,85,4,17,1,7,-19,9,-1,23,0,13,-2,16,14,22,-16,-38,18,8,44,-25,13,-1,6,1,30,10,3,11,-4,16,9,8,13
101800_6..N01R::1404532800.0,-7,10,3,15,6,-2,23,20,32,11,7,26,22,8,27,33,10,6,30,16,-33,15,3,,-22,10,22,0,20,17,-5,12,9,8,-4,3,-12,-6
102500_6..N01R::1404532800.0,,,18,20,4,10,42,17,16,-19,12,12,,3,25,20,9,17,,8,,16,34,,,-4,17,1,4,3,-3,19,18,1,-2,-37,8,6
103200_6..N01R::1404532800.0,,,-13,1,15,-8,44,12,22,-49,2,5,,-8,61,0,26,26,,2,,-1,2,,,-7,45,-11,8,-53,7,-2,,-9,,,1,4
103900_6..N01R::1404532800.0,,,,,23,-9,40,4,16,11,21,11,,7,18,7,21,23,,-11,,-11,15,,,-9,2,9,6,,-99,3,,,,,13,11
104600_6..N01R::1404532800.0,,,,,-57,13,9,8,15,-19,23,1,,1,17,-6,,16,,14,,13,9,,,,-2,35,,,,22,,,,,1,1
105300_6..N01R::1404532800.0,,,,,,,19,23,28,11,26,23,,,50,5,,9,,,,-5,43,,,,,4,,,,,,,,,16,-96
106000_6..N01R::1404532800.0,,,,,,,58,0,21,11,-93,14,,,25,10,,21,,,,-10,,,,,,12,,,,,,,,,,
106700_6..N01R::1404532800.0,,,,,,,,,-5,-19,,16,,,64,19,,-1,,,,,,,,,,,,,,,,,,,,
107400_6..N01R::1404532800.0,,,,,,,,,,11,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,
108100_6..N01R::1404532800.0,,,,,,,,,,-349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108800_6..N01R::1404532800.0,,,,,,,,,,-769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109500_6..N01R::1404532800.0,,,,,,,,,,-1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110200_6..N01R::1404532800.0,,,,,,,,,,-1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128400_6..N01R::1404532800.0,,,,,,,,,,,,,,,,,,,,,-25,,,47,,,,,,,,,,,,,,
129100_6..N01R::1404532800.0,11,23,,,,,,,,,,,3,,,,,,22,,-22,,,44,-13,,,,,,,,,,-2,-2,,
129800_6..N01R::1404532800.0,-9,-110,,0,,,,,,,,,22,,,,,,26,,-27,,,57,-21,,,,,15,,,6,,0,6,,
130500_6..N01R::1404532800.0,2,1,8,22,,,,,,,,,30,,,,,,15,,-34,,,46,-15,-4,,,11,7,5,,0,19,-10,-6,,
131200_6..N01R::1404532800.0,8,-5,-5,46,5,,,,,,,,13,,,,48,,20,,-25,,,48,-23,8,10,,-4,12,5,,10,-5,4,14,,
132000_6..N01R::1404532800.0,12,-70,4,50,30,1,,,,,,,14,18,,,2,,14,-6,,,,49,,-1,4,,16,6,-8,2,7,7,-35,10,,6
132800_6..N01R::1404532800.0,7,-125,5,-18,11,6,48,20,,,-1,,-7,-6,,,6,,6,31,-29,19,22,63,-26,21,22,5,-2,18,-1,15,7,-14,-3,-1,4,0
133600_6..N01R::1404532800.0,12,0,-13,4,-52,16,24,14,12,,10,,16,-9,75,,-21,9,-5,4,-31,-4,12,41,-29,11,23,-10,-1,-8,4,13,-53,-68,11,-11,13,50
134550_6..N01R::1404532800.0,0,3,30,27,-2,-38,21,11,0,32,2,14,1,12,60,10,-38,0,22,-8,-18,11,24,66,-18,-3,6,-9,12,4,-14,0,0,2,-9,-2,24,-18
135450_6..N01R::1404532800.0,-14,-13,10,59,14,-88,30,12,2,-19,-8,6,20,15,64,-5,-7,-1,14,0,-78,-4,-7,59,-31,-57,45,-14,-19,12,-6,2,11,12,3,10,-5,-26
136500_6..N01R::1404532800.0,-12,20,-2,13,5,18,21,-6,36,-10,21,24,17,-30,27,20,6,5,28,7,-12,16,32,51,-21,5,14,4,-10,-7,-7,-27,-10,5,10,14,17,-11
137600_6..N01R::1404532800.0,-5,-18,18,23,11,23,20,19,38,-19,-6,-5,18,22,13,22,6,11,29,24,-38,13,13,63,-18,1,28,2,15,-6,16,17,17,-2,5,4,4,2
144100_6..N01R::1404619200.0,1,12,-2,9,9,8,32,-2,17,-19,10,-12,-2,-6,-7,22,38,-13,-1,4,-19,15,-1,56,-12,3,16,-26,20,17,-12,13,10,3,1,6,-2,-2
145100_6..N01R::1404619200.0,15,1,-15,-1,5,-12,59,-11,27,101,17,-64,16,16,25,-14,4,-11,10,-2,-26,0,16,65,-18,8,8,-7,-3,16,0,18,-12,-14,11,-8,11,-11
146100_6..N01R::1404619200.0,-31,13,-55,7,17,-2,66,-4,-2,71,3,-5,25,16,31,10,20,-9,5,-1,-12,9,0,13,-15,-12,38,1,5,-20,11,-5,8,-2,-1,-23,-6,0
147300_6..N01R::1404619200.0,2,26,-6,-22,24,17,39,6,18,191,-2,17,2,3,26,6,14,14,7,13,-27,11,24,42,-29,0,2,30,15,-10,-13,-7,-12,-35,-18,-14,1,31
138600_6..N01R::1404619200.0,12,,,,,,,,,,,,7,,,,,,,,-12,,,49,,,,,,,,,,,,,,
139500_6..N01R::1404619200.0,-8,5,-8,-1,37,8,16,11,2,-19,30,7,-9,3,38,3,6,-1,20,9,-32,18,14,43,,-8,15,5,3,-87,5,23,10,6,0,3,3,5
140400_6..N01R::1404619200.0,14,8,-26,20,,,,,,,,,15,,,,,,-9,,-7,,,64,-26,,,,,4,-7,,-76,8,19,22,,
141300_6..N01R::1404619200.0,4,19,10,-6,19,,,,,,,,6,,,,13,,9,8,-12,,,62,-28,13,-6,,-32,16,0,,14,17,4,12,,
142200_6..N01R::1404619200.0,-4,1,-10,5,-12,-32,,,,,,,0,-2,,,11,,-8,-23,-11,,,45,-16,-18,17,,3,-3,9,-36,-2,-8,-9,-3,-5,2
143100_6..N01R::1404619200.0,7,8,-6,8,3,-28,22,17,,,14,,34,21,,,4,,18,-2,-28,11,-2,38,-28,0,10,-1,14,22,-12,13,14,2,3,5,19,-9
148500_6..N01R::1404619200.0,-2,-2,-26,5,21,3,-17,25,-4,32,-7,3,24,-50,32,-3,26,-6,14,0,-37,-7,-9,54,-13,-26,10,7,18,15,-26,6,7,12,-7,-3,14,15
150000_6..N01R::1404619200.0,12,6,9,22,-79,-13,34,-28,12,-19,17,12,15,-10,47,-74,7,-1,-6,-9,-71,13,19,42,-17,5,4,5,-7,6,-3,15,1,13,-8,-2,-18,-64
007500_6..N01R::1404619200.0,-14,17,-10,9,-1,7,-33,16,23,-19,-11,17,-11,20,12,0,11,5,11,-12,-23,-77,-6,69,-26,-18,5,-11,4,3,8,4,3,-9,-3,9,-2,-25
009250_6..N01R::1404619200.0,0,0,-5,11,36,35,11,96,14,101,2,5,1,32,20,3,19,38,15,-3,-21,-6,6,57,-27,4,10,-13,-10,-1,-9,9,-3,5,-13,-7,5,15
011250_6..N01R::1404619200.0,-31,-9,-2,12,30,8,8,74,1,-19,4,13,27,33,34,18,10,2,-19,-5,-32,11,26,28,-14,-55,0,1,11,-3,-12,-10,-8,3,-19,16,-6,-1
013250_6..N01R::1404619200.0,-2,14,11,25,30,9,-3,4,6,-19,6,17,24,31,93,12,47,7,29,-11,-29,-5,-25,57,-27,-25,-5,14,15,8,8,-11,1,-70,14,14,0,1
015250_6..N01R::1404619200.0,6,-10,18,27,50,3,23,-20,11,-19,-5,9,7,74,81,-6,10,4,10,3,-16,-79,-4,47,-8,-6,17,17,12,13,1,1,12,-11,5,14,-7,1
017250_6..N01R::1404619200.0,6,14,-10,26,25,168,40,6,10,-19,-5,13,-30,51,77,0,1,6,14,-8,-19,-9,24,54,-23,-9,5,13,7,-8,-6,20,18,4,-22,13,20,-5
019250_6..N01R::1404619200.0,-9,11,-19,-4,8,11,24,2,-1,-19,-4,-2,-7,31,48,-12,18,-9,19,-2,-19,11,-4,22,-22,-18,15,5,1,-27,-3,21,2,-16,-3,-26,-10,-2
021250_6..N01R::1404619200.0,-8,-1,-14,5,-8,6,20,14,15,-19,-12,11,-8,74,81,-5,9,6,20,14,-23,-4,-7,73,-25,8,1,-12,-2,-3,5,2,-4,-12,-10,-7,-2,5
023250_6..N01R::1404619200.0,8,7,6,19,26,57,8,5,17,-19,10,14,11,25,53,-1,-3,10,0,15,-32,-13,-24,54,-26,-1,-1,10,-13,0,-9,-10,-3,7,-12,-3,11,-7
025250_6..N01R::1404619200.0,-2,-10,-6,10,3,277,13,17,20,11,10,-6,0,8,31,-18,7,-11,11,1,-74,4,11,66,,5,15,-8,17,18,13,10,14,-2,7,-18,13,18
027250_6..N01R::1404619200.0,1,-1,-7,-26,15,-4,23,15,-1,-19,13,1,4,14,70,-10,30,-6,15,8,-25,24,14,38,-27,-8,18,-10,-21,8,-14,1,2,-1,-10,-57,14,15
029250_6..N01R::1404619200.0,9,23,-7,2,-2,-5,-10,-22,4,41,35,1,4,6,26,-4,2,10,38,-18,-18,-2,13,48,-18,-3,24,16,7,18,0,-1,9,10,-8,23,9,10
031250_6..N01R::1404619200.0,17,4,9,54,8,19,-12,-16,-3,-19,-7,5,17,20,63,-9,6,-1,22,1,-38,-77,23,61,-24,4,15,-47,21,-2,-6,20,-4,11,-13,-5,18,-4
033250_6..N01R::1404619200.0,4,14,-5,2,33,11,18,-2,-4,-19,0,6,13,27,65,-7,3,-1,4,-1,-9,19,-1,43,-8,0,9,6,14,4,-2,21,-11,5,4,9,-5,-2
035250_6..N01R::1404619200.0,5,-5,-13,22,22,1,32,-1,9,-19,-4,13,3,-5,51,8,17,5,14,10,-26,11,-1,39,-25,-16,-5,5,3,0,3,-1,-7,-8,14,-13,-3,4
037200_6..N01R::1404619200.0,4,5,13,21,11,-4,20,18,23,-19,-11,-6,7,22,56,-14,11,16,-1,-3,-36,8,-8,26,-11,7,12,-4,-6,10,1,-7,6,-15,0,4,-6,1
039000_6..N01R::1404619200.0,9,10,5,17,3,20,16,-7,3,-19,-3,-24,14,9,42,-5,-1,-2,8,-6,-31,4,0,48,,0,8,-38,-11,-2,-11,-10,-3,5,-12,-1,-2,2
040800_6..N01R::1404619200.0,8,4,0,12,-9,10,12,10,2,-19,14,8,-27,1,66,0,-21,-2,-2,10,-13,-4,13,54,-27,8,-5,-12,-6,-9,-9,9,-13,-24,13,-10,12,18
042300_6..N01R::1404619200.0,2,-157,3,23,83,4,14,6,3,11,8,4,-1,-2,12,-10,18,1,18,12,-16,-82,9,51,-20,-14,-4,11,1,15,4,4,14,-10,6,15,-20,16
043800_6..N01R::1404619200.0,19,-157,19,16,12,-4,4,20,9,11,35,-34,38,26,4,-1,-23,12,34,27,-28,-2,11,65,-26,0,30,9,10,0,0,-20,19,7,3,-2,1,26
045300_6..N01R::1404619200.0,1,-7,6,19,4,7,22,16,2,-19,11,2,7,21,72,-10,5,-5,16,1,-23,-1,11,45,-10,6,10,-10,-11,-6,-4,27,-56,13,11,21,8,9
046750_6..N01R::1404619200.0,-50,-152,10,16,9,16,33,9,29,11,20,18,16,1,24,9,0,5,6,7,-15,-5,12,56,-25,-7,20,-13,1,-31,17,-6,13,-60,-1,-6,5,6
048250_6..N01R::1404619200.0,9,-5,-21,52,14,4,11,9,2,-19,-20,5,11,-31,68,-6,14,-2,17,5,-18,-7,10,46,-25,11,-7,15,-3,-8,-2,8,-10,13,10,16,9,15
049750_6..N01R::1404619200.0,-13,-29,7,19,13,9,13,13,11,11,13,5,19,1,43,10,1,26,10,6,-11,-26,11,38,-24,-4,21,-8,11,1,4,14,-9,17,-14,-9,-32,-3
051000_6..N01R::1404619200.0,8,-73,11,-5,61,7,10,9,13,-19,7,17,23,3,49,5,11,7,8,-14,-27,-3,8,64,-10,10,3,17,-6,15,-2,5,131,14,1,10,4,9
052000_6..N01R::1404619200.0,-5,8,-10,-4,6,15,34,17,19,11,21,2,12,4,55,5,9,23,-9,13,-14,14,46,49,-17,-3,24,1,2,5,19,-2,16,24,-27,6,15,14
052900_6..N01R::1404619200.0,-8,7,-49,12,55,-8,24,12,9,-19,18,6,21,-6,72,-7,16,1,-4,-23,-10,-7,19,67,-20,135,-5,-13,-32,3,7,-12,1,-4,-5,5,20,-8
053700_6..N01R::1404619200.0,-12,-150,1,10,52,7,20,8,-3,-19,20,2,19,3,64,-9,14,-6,13,14,-34,-5,17,43,-16,-69,-35,-15,-8,-8,-6,-20,11,7,3,-5,16,20
054400_6..N01R::1404619200.0,0,66,-14,1,12,17,52,12,-1,-19,20,6,1,-62,67,-4,85,-4,-1,1,-14,-9,16,59,-12,8,16,-15,-4,-9,6,-15,-10,-11,-16,-4,15,-89
055100_6..N01R::1404619200.0,-10,-153,8,-7,132,9,24,15,10,-19,-36,7,24,8,53,-80,-1,-28,20,-10,,-5,1,42,-24,-2,8,-11,-15,18,-8,6,18,9,8,16,4,-19
055800_6..N01R::1404619200.0,5,-170,-2,34,4,-3,8,4,6,-19,26,7,7,16,58,-6,17,-1,-28,-1,-20,-14,21,46,-32,-12,13,-22,5,6,1,6,-1,19,-9,0,18,23
056500_6..N01R::1404619200.0,4,-131,5,21,8,22,13,1,-14,-19,9,-5,4,4,14,15,47,13,-24,12,-82,-15,8,29,-30,7,22,7,-10,-1,-2,-2,-8,11,10,14,5,7
057200_6..N01R::1404619200.0,11,-146,2,16,19,-4,-4,17,3,-19,-9,-25,2,-4,102,-9,5,-2,27,8,-28,-3,23,62,,3,25,-7,-11,-1,-8,-3,-38,6,-15,-5,-1,5
057900_6..N01R::1404619200.0,-13,-37,1,12,-27,-3,9,10,-2,-19,6,11,20,-6,64,0,44,-2,16,6,-28,-10,6,45,-26,5,16,-16,17,-36,-6,-4,-10,7,12,18,5,4
058600_6..N01R::1404619200.0,-2,-126,-16,-2,55,-6,23,16,3,11,21,6,31,-4,8,-4,16,-4,66,11,-30,11,21,54,-16,-14,0,0,4,12,10,-7,11,-4,5,14,17,-5
059300_6..N01R::1404619200.0,6,-135,0,30,-10,8,16,-8,1,-19,-13,7,2,11,72,1,2,1,-1,-12,-19,13,10,46,-15,-54,-1,3,7,4,-3,-18,-8,10,11,12,-6,-6
060000_6..N01R::1404619200.0,3,22,-15,2,7,-1,-12,13,6,-19,-5,7,8,-47,73,-3,50,1,-2,0,-38,-5,-54,41,-11,8,13,-12,-4,16,4,-4,11,-10,4,13,-6,0
060700_6..N01R::1404619200.0,11,-154,-8,4,20,8,-24,-3,9,-19,-6,-24,10,6,83,-77,10,2,16,16,-14,-82,-10,55,-17,-3,0,6,13,-8,9,11,-13,-3,12,-31,14,-11
061400_6..N01R::1404619200.0,-4,-154,11,51,1,5,8,7,19,-49,10,0,-6,10,49,-9,11,22,-11,-8,-24,-11,12,54,-18,9,6,-18,-4,-5,0,11,-8,-14,13,-13,11,18
062100_6..N01R::1404619200.0,8,47,-45,64,12,14,24,16,19,11,20,-68,5,18,56,4,11,-54,-6,-2,-27,-10,18,46,-27,10,12,-14,-3,-3,4,18,-78,-8,-9,5,-7,-3
062800_6..N01R::1404619200.0,5,-159,0,7,17,-35,21,24,15,-19,24,-2,4,-7,88,-14,-14,21,10,-24,-15,8,16,60,-25,14,-10,1,-7,16,-6,4,13,9,4,11,11,12
063500_6..N01R::1404619200.0,4,-127,-1,7,26,-26,33,11,3,-19,1,21,27,17,62,26,20,10,9,-2,-33,15,21,58,-14,14,8,-3,22,22,19,20,12,25,22,22,-21,5
064200_6..N01R::1404619200.0,10,62,-10,3,72,-10,24,15,10,-19,-10,9,13,-55,78,-4,22,2,-1,6,-29,-2,22,59,-27,-13,22,-46,8,-11,6,17,-12,-7,12,-9,16,-6
064900_6..N01R::1404619200.0,-11,-163,9,16,120,-9,23,-51,-3,-19,-10,-6,-12,-4,68,10,41,-11,-15,11,-25,-8,-9,65,-23,2,3,-13,-5,2,-11,-10,3,-20,-1,8,-9,-4
065600_6..N01R::1404619200.0,-9,67,-12,5,73,13,35,-2,-8,41,-2,-6,16,11,35,18,20,16,-7,-4,,12,0,56,-21,-9,15,-27,7,-3,10,22,-81,-3,-14,-3,-3,7
066300_6..N01R::1404619200.0,-18,-143,-7,0,0,-5,50,26,18,19,-1,20,14,-1,27,16,-2,2,18,-3,-12,-3,25,52,-24,-10,12,12,3,7,3,6,-79,7,10,12,5,-10
