,224N,227N,123N,128N,232N,235N,239N,250N,255N,257N,226N,238N,254N,302N,225N,120N,231N,249N,253N,127N,237N,301N,230N,234N,248N,252N,236N,233N,251N,229N,256N,228N,137N,132N
137950_3..N01R::1404360000.0,,-70,28,-10,-15,4,12,15,-9,191,,9,12,,,-8,-26,-23,1,-2,-9,,16,14,-12,-11,9,-62,-11,26,-6,8,2,-8
139150_3..N01R::1404360000.0,,,,16,5,3,23,-33,0,-19,,9,-11,,,,9,10,6,-36,22,,-1,0,3,-19,-2,20,-5,3,11,21,0,5
140350_3..N01R::1404360000.0,,,,,-5,2,2,11,2,101,,4,-2,,,,-3,2,-17,,8,,16,20,11,1,-18,12,-1,9,9,-10,-54,
144100_3..N42R::1404360000.0,,,665,,,,,,,,,,,,,,,,,-1009,,,,,,,,,,,,,,
146300_3..N42R::1404360000.0,,,,,,,,,,,,,,,,,,,,-1399,,,,,,,,,,,,,,
144100_3..N42R::1404446400.0,18,4,51,,,,,,,,1,,,-274,4,-28,,,,,,74,,,,,,,,,,,,
146300_3..N42R::1404446400.0,5,-2,7,,,,,,,,13,,,-275,18,3,,,,-799,,64,,,,,,,,,,,,
137950_3..N01R::1404446400.0,38,14,,,,,,,,,-5,,,-269,-14,,,,,,,53,,,,,,,,,,,,
139150_3..N01R::1404446400.0,-25,17,27,,,,,,,,12,,,-259,-4,7,,,,-5,,69,,,,,,,,,,,,
140350_3..N01R::1404446400.0,11,7,63,-1,,,,,,,-4,,,-218,0,-22,,,,29,,68,,,,,,,,,,,0,-38
004700_3..N42R::1404446400.0,6,-16,-15,,,,,,,,-26,,,-219,-20,8,,,,-1249,,65,,,,,,,,,,,,
006700_3..N42R::1404446400.0,21,1,4,,,,,,,,-9,,,-224,-7,12,,,,-1279,,55,,,,,,,,,,,,
008700_3..N42R::1404446400.0,3,-9,-17,,,,,,,,-11,,,-221,0,-1,,,,-1339,,55,,,,,,,,,,,,
010700_3..N42R::1404446400.0,21,17,-26,,,,,,,,7,,,-206,6,16,,,,-1219,,37,,,,,,,,,,,,
012700_3..N42R::1404446400.0,7,-2,-11,,,,,,,,-5,,,-202,6,2,,,,-1279,,60,,,,,,,,,,,,
014700_3..N42R::1404446400.0,4,7,-11,,,,,,,,1,,,-204,-21,5,,,,-589,,5,,,,,,,,,,,,
016700_3..N42R::1404446400.0,-37,-9,6,,,,,,,,-12,,,-232,-4,2,,,,-1339,,5,,,,,,,,,,,,
018700_3..N42R::1404446400.0,-18,-5,-15,,,,,,,,-9,,,-206,-2,0,,,,-1099,,61,,,,,,,,,,,,
020700_3..N42R::1404446400.0,2,8,13,,,,,,,,-5,,,-198,22,-2,,,,-1309,,71,,,,,,,,,,,,
022700_3..N42R::1404446400.0,-10,12,-6,,,,,,,,,,,-217,-11,12,,,,-1159,,70,,,,,,,,,,,,
024700_3..N42R::1404446400.0,3,4,25,,,,,,,,-3,,,25,6,-5,,,,-19,,55,,,,,,,,,,,,
026700_3..N42R::1404446400.0,6,6,-1,,,,,,,,5,,,-229,3,17,,,,15,,49,,,,,,,,,,,,
028700_3..N42R::1404446400.0,2,6,12,,,,,,,,-7,,,-220,-8,27,,,,11,,64,,,,,,,,,,,,
030700_3..N42R::1404446400.0,30,-4,19,,,,,,,,14,,,-141,12,-25,,,,-1009,,37,,,,,,,,,,,,
032700_3..N42R::1404446400.0,17,16,-7,,,,,,,,-2,,,-85,-2,6,,,,-1249,,84,,,,,,,,,,,,
034700_3..N42R::1404446400.0,25,0,11,,,,,,,,-10,,,2,-3,1,,,,-1189,,80,,,,,,,,,,,,
036550_3..N01R::1404446400.0,5,-3,-8,3,15,14,29,4,7,-19,15,14,18,16,18,-1,13,-74,-3,18,16,50,27,11,-9,4,-4,14,-8,14,-10,3,-2,41
036700_3..N42R::1404446400.0,-11,17,6,,,,,,,,-24,,,26,-13,-2,,,,-769,,24,,,,,,,,,,,,
038050_3..N01R::1404446400.0,32,5,22,1,21,16,15,2,-6,-19,-12,6,-16,2,19,3,-13,16,-4,24,6,73,13,22,12,2,-6,-7,14,-4,11,13,1,16
038700_3..N42R::1404446400.0,4,-1,4,,,,,,,,-3,,,132,5,-11,,,,-649,,64,,,,,,,,,,,,
039250_3..N01R::1404446400.0,35,20,-13,5,-8,12,27,35,-4,11,-24,-8,-7,-14,11,0,7,-19,8,34,6,65,6,23,-17,-15,-15,21,5,2,6,23,-4,-4
040450_3..N01R::1404446400.0,12,-2,12,14,15,19,5,13,-7,251,-13,3,-8,-2,-9,-30,14,-19,9,13,17,75,5,31,-10,-4,-5,8,-6,-3,1,9,8,8
041650_3..N01R::1404446400.0,18,27,6,0,-2,8,43,27,-7,131,7,21,15,-6,5,7,-34,10,-4,15,18,63,13,12,5,2,-12,-8,-7,6,6,13,10,29
042700_3..N01R::1404446400.0,19,-4,6,12,4,4,12,111,7,-19,11,-17,5,-19,-17,-6,-10,-15,-6,-2,-3,57,-11,20,-5,8,6,-10,7,5,-14,-4,-4,14
043800_3..N01R::1404446400.0,10,-10,7,17,-1,6,18,81,11,11,11,14,7,-2,-16,8,9,-2,-4,16,-5,70,-4,17,-28,-16,7,-13,7,-6,-2,2,10,61
045000_3..N01R::1404446400.0,19,-6,11,22,0,11,24,-19,-8,11,14,-6,13,70,8,-17,11,-9,-7,16,7,65,8,53,-10,3,-13,-5,-11,3,-31,10,13,-15
046200_3..N01R::1404446400.0,-10,8,-2,19,-2,14,17,64,3,11,-5,-10,-2,-12,0,14,4,-4,-11,15,9,74,7,0,-5,3,-12,-15,-8,4,8,16,-35,15
047400_3..N01R::1404446400.0,18,3,23,13,-2,20,11,73,-17,11,-7,5,11,75,-5,15,3,-16,-3,7,-37,72,16,-33,-8,11,-3,-10,1,11,-2,22,16,7
048600_3..N01R::1404446400.0,28,4,6,21,34,14,29,53,-13,11,20,-7,12,8,13,17,15,-2,-2,20,18,69,11,11,-1,5,1,0,-4,5,-5,14,17,23
049800_3..N01R::1404446400.0,17,15,12,8,9,9,-1,106,-11,11,11,-2,-33,232,-14,-1,1,-1,12,9,-7,65,6,54,9,-6,-19,-9,-8,8,-76,2,77,65
051000_3..N01R::1404446400.0,16,-10,7,-25,7,14,30,110,-14,-19,-14,-16,-6,-8,-6,-6,-10,3,-18,67,4,58,-10,0,13,3,-14,-8,5,18,-3,0,-30,66
052200_3..N01R::1404446400.0,2,14,22,11,-21,4,16,-8,-16,41,5,13,8,39,9,20,-41,14,-7,13,-6,71,-11,48,15,3,9,0,-13,17,1,-3,8,68
053400_3..N01R::1404446400.0,1,-2,-4,30,1,-4,0,-17,-11,11,-12,-27,17,-7,19,3,13,-22,-2,44,-10,74,11,102,10,11,3,-8,5,-7,-4,14,14,-1
054600_3..N01R::1404446400.0,3,12,16,17,12,-5,17,125,0,-19,2,-7,0,81,10,4,-10,-8,-11,13,9,50,8,13,-3,4,-4,7,-7,3,8,-8,1,29
055800_3..N01R::1404446400.0,-4,-7,1,2,15,-6,18,105,-5,-19,4,-3,-4,-2,-7,-10,15,-1,-16,7,-14,49,3,18,1,1,-5,2,-4,28,-6,-7,1,10
057000_3..N01R::1404446400.0,1,2,-5,-2,4,21,50,67,-2,-19,19,-5,12,13,17,2,8,17,-7,17,-1,45,20,-7,14,2,4,0,-5,7,9,4,2,9
058200_3..N01R::1404446400.0,20,26,25,25,16,22,49,-24,2,11,2,-8,14,-3,1,9,12,16,-34,31,-10,66,-1,22,17,6,7,19,-10,10,12,10,16,16
059400_3..N01R::1404446400.0,23,-2,10,1,2,-5,33,-26,8,71,15,-5,-2,6,14,302,10,-7,-17,22,7,79,-2,2,-4,17,10,-4,30,21,-10,-3,2,-5
060600_3..N01R::1404446400.0,31,22,3,31,19,27,45,-24,16,11,5,-5,2,5,30,5,12,17,12,5,16,66,2,30,9,13,10,14,1,-8,0,20,38,6
061800_3..N01R::1404446400.0,13,-3,-18,10,15,-45,40,96,-9,11,-10,3,-9,5,-6,29,96,-11,13,16,-12,22,12,5,-8,-4,0,-1,-9,9,-2,-3,3,30
063000_3..N01R::1404446400.0,-9,5,4,0,20,-1,4,-3,-14,-19,-4,6,-18,-8,0,7,-7,4,63,27,-8,69,19,64,-15,12,5,18,5,13,-8,24,15,-8
064200_3..N01R::1404446400.0,25,-3,-2,10,16,-12,9,80,-8,-49,-6,-17,-16,70,2,-8,3,-12,4,10,2,54,-1,66,-7,10,-11,0,4,3,2,-6,4,76
065400_3..N01R::1404446400.0,15,24,-2,346,-23,-10,51,84,-21,-19,-12,-9,9,-20,-7,0,-7,-6,-4,12,5,64,-13,4,-4,13,-8,-5,11,-14,-10,8,-10,82
066600_3..N01R::1404446400.0,-19,-19,4,-5,9,-3,27,67,-4,41,-11,-7,-3,14,-11,-12,17,3,15,18,4,67,15,10,-20,-8,-14,1,-12,9,6,20,68,-3
067800_3..N01R::1404446400.0,53,20,3,17,-6,24,22,-21,-17,11,7,19,-8,11,-3,0,1,1,-23,22,0,55,10,10,17,-11,0,-7,11,2,-9,13,16,-13
069000_3..N01R::1404446400.0,-1,10,-87,14,22,-8,21,117,-17,-19,0,15,9,74,6,16,-38,-1,-5,-1,-5,68,13,3,4,12,0,-12,8,4,-7,10,8,-20
070200_3..N01R::1404446400.0,28,-2,23,4,-2,11,22,-21,-1,11,13,7,-5,2,10,20,7,19,10,46,16,63,27,4,13,-13,-32,-51,0,10,8,15,16,9
071400_3..N01R::1404446400.0,-5,12,13,0,17,1,-3,45,4,11,1,-6,1,62,3,19,-2,20,19,28,0,36,-3,14,18,-6,7,7,10,17,17,25,-9,-6
072600_3..N01R::1404446400.0,0,-18,9,18,-5,-12,21,65,-9,-19,7,12,-7,-18,9,-11,7,0,-17,10,-7,57,22,-4,-8,-1,-9,-17,-2,13,3,16,12,10
073800_3..N01R::1404446400.0,11,-2,-3,3,13,2,15,97,-5,-19,-12,13,-7,34,-10,8,-11,-5,-16,24,-1,66,10,18,30,-2,8,7,-7,5,-19,20,14,-2
075000_3..N01R::1404446400.0,19,-2,1,3,13,-5,38,-23,6,11,-11,0,5,-16,-5,12,-16,-4,-6,32,-13,51,17,68,-9,2,1,0,-11,12,24,21,-2,52
076200_3..N01R::1404446400.0,-2,12,6,6,4,-8,20,105,-21,-19,4,-4,-19,57,-20,9,12,3,-1,1,-16,75,-2,4,-23,11,-5,-7,1,-4,-13,9,15,72
077400_3..N01R::1404446400.0,24,15,21,16,15,-4,13,-16,-16,11,5,14,1,4,9,-7,22,8,-16,11,-4,72,15,12,2,-4,4,6,13,-1,-2,16,-5,87
078600_3..N01R::1404446400.0,27,11,7,27,23,3,35,14,-6,41,-7,-3,15,17,19,9,19,11,-5,11,21,73,-24,5,2,2,15,18,11,-1,12,-1,20,0
079800_3..N01R::1404446400.0,12,-8,-6,15,-6,21,9,87,-19,-19,-17,6,9,7,-11,6,10,-7,-1,8,-10,42,14,18,-3,-13,-1,8,14,12,-12,2,10,76
081000_3..N01R::1404446400.0,16,-14,-1,4,1,12,29,49,-4,-19,1,-10,-10,-3,-3,-7,9,-1,0,20,-7,59,18,47,-10,-21,-7,-1,20,12,12,15,11,26
082200_3..N01R::1404446400.0,40,-1,-6,11,-5,6,23,-19,-45,41,13,-7,-13,-19,-13,5,12,0,6,-2,3,67,0,84,10,-6,-20,10,-12,-2,-3,-14,-2,119
083400_3..N01R::1404446400.0,10,3,19,28,-7,7,19,29,-7,-19,-6,-15,-7,19,-5,8,3,2,10,17,2,49,-4,78,2,-4,-17,16,-12,-11,1,0,6,-2
