,224N,227N,123N,128N,232N,235N,239N,250N,255N,257N,226N,238N,254N,302N,225N,120N,231N,249N,253N,127N,237N,301N,230N,234N,248N,252N,236N,233N,251N,229N,256N,228N,137N,132N
074200_3..N01R::1404705600.0,-44,21,14,-20,9,11,-82,23,0,101,3,1,7,-27,-2,-8,9,-9,-33,9,11,53,9,110,-7,-17,-10,-2,9,-25,0,-16,20,68
075000_3..N01R::1404705600.0,-38,18,10,117,-2,-1,-73,14,-31,-19,6,9,-4,-22,5,3,3,-10,8,18,7,80,-12,142,6,-61,8,-50,9,7,12,22,6,48
075800_3..N01R::1404705600.0,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,-34,,,
076600_3..N01R::1404705600.0,-56,21,30,31,9,19,-34,151,17,-109,-3,-5,-2,-38,-5,14,7,-69,15,32,-2,59,7,-7,-5,-6,1,-19,9,17,13,18,-4,60
077400_3..N01R::1404705600.0,-27,6,2,14,6,12,-70,24,17,-49,-9,13,9,61,-7,-3,29,-5,-9,56,6,43,8,12,45,-30,-1,2,13,1,26,6,-3,13
078200_3..N01R::1404705600.0,-26,14,12,14,16,21,-56,4,-46,-79,0,-7,12,-120,33,24,-10,-1,0,12,1,66,-15,-1,51,9,0,100,-2,10,27,-6,52,64
079000_3..N01R::1404705600.0,-56,9,32,26,11,131,-55,60,-26,-79,-36,-3,-7,-45,-4,0,-11,0,-6,18,3,59,2,0,-4,0,4,12,-8,22,34,15,16,63
079800_3..N01R::1404705600.0,-64,20,13,39,3,2,-58,25,-5,11,8,-63,13,-20,6,6,14,14,-3,17,1,61,10,10,11,9,16,-4,-6,5,35,6,96,55
080600_3..N01R::1404705600.0,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,
081400_3..N01R::1404705600.0,-25,3,18,28,0,3,-59,26,3,131,24,-3,-2,-33,-12,-2,-2,2,-14,16,9,48,-8,10,85,-1,10,-5,-9,17,36,-2,3,-3
082200_3..N01R::1404705600.0,21,21,-4,13,28,2,-70,40,-13,71,-23,8,11,-46,7,19,-2,7,-10,36,7,83,8,3,25,2,-23,-7,12,5,16,8,9,7
083000_3..N01R::1404705600.0,-55,21,9,12,15,-26,-77,12,6,71,14,101,4,-88,16,17,-5,-9,-8,6,9,51,20,16,-2,5,11,4,1,8,19,22,-9,74
083800_3..N01R::1404705600.0,-45,2,11,-7,23,17,-72,10,2,101,15,10,-1,230,10,8,8,9,11,8,5,81,4,19,65,-7,3,20,18,26,26,-13,17,-38
080900_3..N01R::1404705600.0,-52,3,-2,-4,18,-3,-69,12,-2,,-3,-1,-2,-28,2,8,-3,1,-10,50,-16,57,90,13,5,-26,0,3,-4,-11,14,2,38,-9
084600_3..N01R::1404705600.0,-1,30,8,7,7,2,-59,25,6,11,9,18,-27,-70,7,0,1,3,10,1,14,58,19,102,0,20,12,5,-32,15,48,26,20,33
085400_3..N01R::1404705600.0,-25,17,8,12,9,-33,-73,-7,10,-19,1,-2,8,-85,2,-11,-6,14,-1,6,114,55,21,44,5,5,-23,-3,1,16,-26,-6,-4,82
086200_3..N01R::1404705600.0,6,23,27,14,18,13,-63,17,-12,191,8,-7,16,-100,5,16,-10,-2,-5,-15,-7,141,11,51,53,2,-11,17,11,26,3,14,23,4
087000_3..N01R::1404705600.0,-13,26,11,26,4,24,-64,12,11,11,9,14,2,-120,38,26,7,18,8,37,-3,62,43,24,92,-17,7,11,3,73,40,6,-26,-1
087800_3..N01R::1404705600.0,37,4,15,37,-5,17,-77,-23,-4,11,19,12,-8,-103,13,12,1,-2,6,15,-5,59,27,7,28,-14,-3,-1,-1,23,12,20,22,13
088600_3..N01R::1404705600.0,7,46,16,25,16,14,-81,8,-22,11,-6,-13,-3,-124,13,1,-16,-12,8,38,29,73,2,-27,27,-12,7,42,9,13,12,9,4,3
089400_3..N01R::1404705600.0,21,-1,15,10,-8,-1,-67,6,-13,-19,-7,-2,12,-50,-1,15,3,-3,2,142,-41,77,90,191,-25,-9,2,-18,-9,4,18,-8,4,22
090200_3..N01R::1404705600.0,-10,24,3,31,9,10,-54,23,2,11,10,17,-6,-135,3,9,3,-8,6,110,22,66,51,19,-8,17,-13,2,0,9,49,5,-7,9
091000_3..N01R::1404705600.0,-19,-20,18,5,8,44,32,30,-3,11,-5,-1,-9,-68,-1,7,20,-2,8,23,14,69,27,28,110,-11,-12,-54,2,-18,36,20,7,14
091600_3..N01R::1404705600.0,-18,-27,-13,14,-19,2,19,44,2,11,-45,0,-4,0,-5,24,-12,8,6,90,33,83,3,-16,6,16,10,5,7,19,30,28,-6,16
092400_3..N01R::1404705600.0,30,48,5,13,2,24,35,8,-9,-19,7,17,15,-9,-1,26,2,54,-2,17,-37,24,21,24,142,7,-9,0,-6,23,6,1,37,15
093100_3..N01R::1404705600.0,4,-5,4,37,12,-3,-14,15,-4,11,-26,6,47,20,25,21,17,-70,24,32,15,51,32,2,200,-33,21,9,15,-1,25,14,29,30
094000_3..N01R::1404705600.0,7,-4,48,14,8,-2,19,10,15,11,16,-11,7,-9,17,11,-17,2,-36,21,2,65,5,15,8,6,4,-2,1,4,32,12,18,22
094800_3..N01R::1404705600.0,,,,,,,,,,821,,,,,,,,,,,,,,,,,,,,,,,,
095600_3..N01R::1404705600.0,-2,12,33,8,9,5,29,-3,6,11,-5,-3,-5,-8,22,-1,-15,6,11,38,12,70,4,16,-28,-9,20,7,8,-15,7,-8,16,-3
096400_3..N01R::1404705600.0,4,10,8,30,3,-8,32,-66,-41,71,-24,-7,8,-6,-22,10,-9,-14,-71,28,16,66,16,-18,1,-28,-1,-16,8,0,17,4,-4,8
097200_3..N01R::1404705600.0,,,,,88,3,14,16,-6,161,,4,17,,,,14,9,26,,9,,26,15,20,-7,-17,-6,14,353,25,,,
097850_3..N01R::1404705600.0,35,23,40,51,27,-4,64,1,-9,-19,8,8,-16,13,-4,29,0,-105,1,51,-8,61,497,10,-8,14,5,27,1,50,18,24,54,31
098450_3..N01R::1404705600.0,-10,27,19,64,16,-8,23,-37,-7,11,19,14,19,86,13,27,364,-7,-1,18,-5,72,16,27,45,-13,0,2,9,55,23,73,53,56
096050_3..N01R::1404705600.0,27,9,19,14,2,2,29,73,-9,-19,-4,12,-6,-12,-6,-11,10,13,-22,43,17,67,-3,4,32,-2,-8,-6,-8,-23,14,28,-6,26
099000_3..N01R::1404705600.0,27,8,0,56,26,5,22,-5,-8,101,24,14,42,13,4,6,-23,-12,-32,53,13,64,260,193,-13,10,12,-4,-1,34,29,61,14,23
099650_3..N01R::1404705600.0,22,17,13,46,11,21,8,5,-7,71,-9,2,-7,62,-16,-3,-14,12,-20,13,0,70,8,21,-8,-1,11,-11,-12,31,8,59,21,40
100250_3..N01R::1404705600.0,32,5,25,28,-5,10,24,12,-13,41,14,-9,11,-39,34,14,88,6,-4,41,8,67,5,20,125,8,12,-7,-1,68,17,137,30,13
100600_3..N01R::1404705600.0,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,
101150_3..N01R::1404705600.0,21,-2,24,50,21,2,36,-3,6,-19,17,149,3,179,-4,12,1,-8,-13,135,-8,28,7,18,20,0,6,19,-71,141,-5,73,7,55
101650_3..N01R::1404705600.0,30,10,34,43,26,20,27,5,-18,11,-16,8,-10,123,-7,9,-4,-6,3,52,10,67,46,15,102,-2,5,-7,-7,77,-6,50,28,-9
102200_3..N01R::1404705600.0,41,9,28,34,,,,,,-109,15,,,13,33,27,,,,55,,71,,,,,,,,,,,,6
102900_3..N01R::1404705600.0,0,-4,17,49,5,12,12,-9,-9,-19,14,-4,13,-11,7,20,14,-15,-3,45,0,67,14,25,208,7,-4,-3,23,88,2,47,-9,93
103400_3..N01R::1404705600.0,27,-12,20,19,-7,-9,-8,19,3,191,4,5,2,149,26,7,4,2,16,46,7,56,-14,4,24,-7,-1,13,11,19,-13,19,39,43
104000_3..N01R::1404705600.0,131,27,17,62,24,29,10,18,3,101,-3,-5,-6,149,28,35,-2,9,7,41,-32,73,54,32,6,-14,11,-11,10,10,22,26,34,31
104650_3..N01R::1404705600.0,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,
105100_3..N01R::1404705600.0,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,
102000_3..N42R::1404705600.0,31,38,16,,,,,,,,1,,,-215,23,24,,,,71,,72,,,,,,,,,,,,
105650_3..N01R::1404705600.0,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,
106250_3..N01R::1404705600.0,,,,,,,,,,-469,,,,,,,,,,,,,,,,,,,,,,,,
107050_3..N01R::1404705600.0,20,27,45,66,26,6,30,21,15,-49,4,18,8,-9,22,27,14,3,-12,79,10,62,50,7,-1,-2,12,-10,21,43,4,20,25,66
107650_3..N01R::1404705600.0,16,24,-1,29,3,7,22,11,10,-19,2,13,6,-4,-3,15,4,7,-4,41,12,69,-6,22,61,-18,-20,-34,3,18,-5,46,-14,14
108450_3..N01R::1404705600.0,30,8,21,7,21,3,11,1,18,281,-38,3,-27,-6,18,6,0,-6,-14,42,-14,42,-18,4,83,0,-9,-11,-107,26,1,38,-4,-145
109250_3..N01R::1404705600.0,20,18,2,88,6,3,31,12,-12,161,8,-3,-12,-3,11,-3,-15,-3,1,63,-11,65,14,20,20,14,8,-3,-26,23,6,-34,-38,7
110050_3..N01R::1404705600.0,39,18,-8,26,15,-34,30,0,-17,221,0,-11,-16,18,19,33,22,-6,1,3,13,57,12,-28,197,-18,-13,-3,-17,12,-5,23,13,0
110850_3..N01R::1404705600.0,16,14,1,-3,-5,-78,12,4,-17,11,-7,26,15,16,14,-2,9,-5,-11,8,-12,46,23,5,-23,-17,-8,-15,10,21,-15,6,2,-2
111700_3..N01R::1404705600.0,-6,23,12,12,15,15,9,-11,7,11,4,6,8,14,3,12,-7,15,-7,80,-11,60,19,17,31,8,4,6,-26,-4,-17,24,-20,8
112550_3..N01R::1404705600.0,-6,-2,13,2,12,11,11,13,1,11,11,29,0,-3,6,-17,-11,2,-14,44,9,74,17,17,3,-110,-4,10,-6,18,8,39,-6,5
113350_3..N01R::1404705600.0,-35,14,42,-2,4,-69,19,7,-10,11,3,-71,-17,-2,-2,13,-12,-15,4,17,-4,83,2,14,23,-12,-1,-11,-5,19,4,5,11,5
114200_3..N01R::1404705600.0,,,771,-20,11,3,-6,12,13,71,,7,7,,,,10,-73,-9,30,12,,19,7,-9,1,15,12,19,5,-7,16,11,20
115000_3..N01R::1404705600.0,15,8,5,6,12,24,13,13,12,-49,-2,4,6,11,0,37,16,-2,-8,33,8,64,-26,16,1,6,4,5,-32,19,-8,-4,30,4
115800_3..N01R::1404705600.0,37,17,8,44,2,18,40,-4,3,-49,-2,14,-7,-14,24,26,14,-14,1,16,15,58,20,26,35,-15,6,-8,11,-3,12,25,10,20
116600_3..N01R::1404705600.0,54,14,-1,32,-5,-10,28,5,-5,11,-3,1,-13,4,20,14,9,-3,4,23,-41,79,2,11,117,-10,-28,-10,-12,15,5,3,5,0
117300_3..N01R::1404705600.0,-32,24,6,-12,-2,30,8,0,-2,11,1,-5,-5,35,17,9,8,-12,-17,13,5,74,0,91,-56,-5,9,-16,-13,23,9,4,2,22
118200_3..N01R::1404705600.0,14,20,21,12,-14,-7,3,7,0,-19,8,3,0,6,38,21,6,7,8,123,-15,66,7,130,10,-9,-1,3,-12,2,-21,-38,-36,22
119000_3..N01R::1404705600.0,7,10,14,-12,2,16,17,4,2,11,-10,10,-5,28,11,1,-8,-9,-15,9,-8,64,15,8,13,0,-33,6,-12,2,13,20,7,12
119800_3..N01R::1404705600.0,11,10,9,-4,11,-2,7,-7,-16,11,-3,6,12,-49,170,0,-11,18,-4,6,-23,62,2,11,6,10,5,6,-2,-6,-1,3,3,1
120600_3..N01R::1404705600.0,23,-27,-19,-3,-11,15,29,-19,9,-19,17,-8,3,55,-1,1,-2,-66,-10,10,7,74,18,104,9,-22,-12,11,2,14,-9,23,5,38
121450_3..N01R::1404705600.0,4,8,14,-20,-4,4,11,4,-17,-19,0,7,-24,250,-9,4,-3,-4,-9,4,-12,72,14,72,-6,5,-11,-7,-9,7,-10,6,8,18
122200_3..N01R::1404705600.0,-7,45,14,21,28,-4,27,15,-9,11,36,-7,9,0,8,13,18,7,-10,3,-2,45,17,34,10,-2,4,-10,11,7,18,0,0,22
123200_3..N01R::1404705600.0,1,25,11,19,-31,11,29,26,-14,41,15,-4,13,14,15,-9,-5,13,-6,14,-7,48,10,21,-15,10,-10,10,-4,1,12,23,2,14
123800_3..N01R::1404705600.0,16,5,14,17,-3,6,23,48,-9,71,-5,-71,-11,-7,-5,-11,7,-1,2,17,5,59,4,22,6,11,-36,-61,4,3,-1,15,-6,17
124600_3..N01R::1404705600.0,3,13,3,0,-13,2,5,-9,8,11,0,6,1,68,-2,20,-4,-19,14,36,17,66,19,14,-16,-15,11,7,8,13,-11,18,17,-38
121200_3..N01R::1404705600.0,52,20,,,,,,,,,33,,,7,9,,,,,,,75,,,,,,,,,,,,
125600_3..N01R::1404705600.0,-8,6,-1,7,4,-7,31,-6,-34,-79,-4,20,-30,6,-1,19,14,5,9,25,7,59,-4,10,61,-7,-3,-2,-14,18,7,-7,-28,10
126600_3..N01R::1404705600.0,28,14,3,22,-15,-4,12,22,8,-49,4,-3,4,1,6,40,-8,-17,-7,77,-2,78,20,96,-9,0,-22,4,-4,13,-15,5,-16,17
122600_3..N01R::1404705600.0,,,,,,,,,,911,,,,,,,,,,,,,,,,,,,,,,,,
127600_3..N01R::1404705600.0,36,34,6,20,3,17,9,22,33,-19,14,3,-6,-18,17,20,5,3,7,9,6,68,-2,26,2,13,3,3,28,12,17,12,-27,33
128600_3..N01R::1404705600.0,26,10,10,10,-4,-28,27,30,5,-19,-6,14,-7,4,-9,22,-7,-8,5,23,11,71,6,6,57,13,10,-55,0,21,15,19,7,22
129600_3..N01R::1404705600.0,34,14,-18,-2,5,-77,-23,25,4,41,3,5,2,67,9,61,-11,7,-9,22,0,65,-3,102,-14,8,-35,-13,8,18,15,11,10,-12
130650_3..N01R::1404705600.0,20,6,7,22,23,0,30,-7,-5,11,21,-10,9,-7,13,10,11,6,-14,13,-8,15,18,9,2,-7,10,-8,-24,5,4,5,-1,20
131650_3..N01R::1404705600.0,-39,-9,12,12,9,-4,1,-2,-7,11,-13,4,-14,-11,-10,22,-5,12,2,4,-14,62,-7,14,-18,-17,-4,-10,5,9,-25,27,-4,14
132650_3..N01R::1404705600.0,19,26,20,13,-13,-71,13,-5,-13,11,7,9,12,-151,-5,-2,-4,-9,0,70,-34,61,-32,98,-5,12,2,1,7,-6,-3,7,10,13
