,401N,406N,413N,621N,640N,420N,423N,235N,239N,250N,631N,405N,419N,409N,418N,635N,402N,416N,234N,629N,415N,408N,414N,407N,626N,412N,411N,410N,257N,256N,255N,254N,253N,252N,251N,249N,248N,238N,237N,236N,639N,638N,637N,636N,634N,633N,632N,630N,628N,627N,625N,624N,623N,622N
102150_4..N06R::1404619200.0,57,3,12,20,5,35,29,9,13,-19,28,12,13,-2,30,21,2,27,46,19,10,-12,18,1,16,-3,9,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
102850_4..N06R::1404619200.0,54,5,-8,28,30,-3,8,-3,18,-19,24,-7,14,-10,37,7,14,4,8,2,24,-12,7,3,26,-10,2,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
103550_4..N06R::1404619200.0,50,-13,-7,46,12,5,-2,-2,19,-19,44,-5,17,5,36,42,-9,20,5,18,11,6,13,-11,15,-1,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,
104250_4..N06R::1404619200.0,69,0,8,10,22,2,2,12,-19,-79,22,11,-9,6,10,20,-2,-9,114,1,53,3,11,3,-5,5,-13,5,,,,,,,,,,,,,,,,,,,,,,,,,,
101050_4..N06R::1404619200.0,47,-3,-3,15,-1,22,16,-3,-4,-19,34,13,12,11,33,20,7,0,6,2,55,13,13,-7,0,5,-10,7,,,,,,,,,,,,,,,,,,,,,,,,,,
104950_4..N06R::1404619200.0,67,5,3,30,24,31,4,-4,15,-49,27,20,-2,14,17,21,9,17,130,3,43,9,50,18,26,11,-8,10,,,,,,,,,,,,,,,,,,,,,,,,,,
105650_4..N06R::1404619200.0,50,6,-6,8,15,0,2,0,11,11,11,19,18,-2,10,29,8,-6,-11,-8,75,-4,18,6,19,-2,10,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
106350_4..N06R::1404619200.0,76,2,-6,28,34,14,2,3,-2,-19,33,-24,-34,-4,12,11,-6,8,13,11,33,-10,12,3,5,-5,8,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
107050_4..N06R::1404619200.0,60,18,-8,9,9,16,0,27,-14,-19,22,-2,-3,15,44,8,18,18,2,5,5,10,16,-10,29,-8,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,
107750_4..N06R::1404619200.0,64,-2,14,24,29,11,-27,-1,-5,-19,29,11,-12,20,10,16,35,0,40,26,25,14,-23,-34,15,-11,3,-13,,,,,,,,,,,,,,,,,,,,,,,,,,
108450_4..N06R::1404619200.0,70,20,3,20,10,30,12,6,5,-19,41,-3,17,11,37,23,19,5,49,3,4,8,24,-13,-1,-22,-6,11,,,,,,,,,,,,,,,,,,,,,,,,,,
109150_4..N06R::1404619200.0,51,10,-1,13,46,19,27,9,5,-19,23,23,7,4,81,-1,6,-2,50,14,-6,2,23,12,-82,5,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,
109850_4..N06R::1404619200.0,68,9,11,15,12,3,14,25,20,-49,26,14,46,5,4,27,5,31,55,24,15,3,4,13,-17,11,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,
110850_4..N06R::1404619200.0,,,-113,54,27,112,6,21,20,41,62,,20,,27,49,,26,-2,24,48,,20,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111750_4..N06R::1404619200.0,39,-15,-5,21,4,7,1,-11,27,-19,6,5,-38,-55,9,26,2,-4,69,-1,108,-3,14,11,-7,9,-5,-12,,,,,,,,,,,,,,,,,,,,,,,,,,
112600_4..N06R::1404619200.0,44,-4,-4,-6,32,19,8,-17,16,11,16,12,0,-6,24,23,28,-7,-2,30,76,-6,10,8,17,-27,6,-11,,,,,,,,,,,,,,,,,,,,,,,,,,
113600_4..N06R::1404619200.0,43,9,-16,50,32,16,3,14,13,-19,48,-6,21,6,33,48,18,27,14,25,28,1,15,11,29,12,-6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
114850_4..N06R::1404619200.0,,,,,,,,,,-949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116050_4..N06R::1404619200.0,57,18,24,49,57,33,0,18,24,-109,60,-2,23,26,44,33,14,23,105,57,69,15,37,22,36,15,19,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
117250_4..N06R::1404619200.0,47,-10,-8,19,45,10,-1,0,-15,-19,55,-28,23,13,38,25,-14,14,11,25,9,-16,18,-4,16,24,-2,-15,,,,,,,,,,,,,,,,,,,,,,,,,,
118450_4..N06R::1404619200.0,53,-4,21,62,20,30,12,13,3,-19,42,7,5,14,17,42,22,2,12,-17,28,9,-5,11,23,23,-36,-15,,,,,,,,,,,,,,,,,,,,,,,,,,
110850_4..N::1404619200.0,56,-9,13,,,,,,,,,5,,27,,,-3,,,,,16,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119650_4..N06R::1404619200.0,54,-7,14,-22,-16,28,29,30,9,-79,23,1,-1,1,16,46,-7,7,59,34,20,-6,21,4,3,11,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,
120850_4..N06R::1404619200.0,59,-4,7,37,26,0,20,15,14,-19,49,7,13,-7,29,23,-1,-8,-1,31,42,-9,21,3,30,16,0,-11,,,,,,,,,,,,,,,,,,,,,,,,,,
122050_4..N06R::1404619200.0,63,-8,14,24,40,27,-5,-82,-1,-19,27,-26,34,19,-22,3,-4,0,14,2,26,13,3,-7,1,-63,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,
123250_4..N06R::1404619200.0,65,16,7,47,40,35,11,28,-4,-19,56,22,6,-2,13,30,7,5,3,21,-5,22,16,26,23,5,-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
124450_4..N06R::1404619200.0,58,17,-7,27,12,2,6,33,27,-19,45,24,16,18,31,5,12,21,4,-19,42,13,17,-9,19,24,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,
121450_4..N06R::1404619200.0,62,10,-11,20,8,19,8,-17,18,-19,8,-5,3,-6,-4,23,-3,8,-3,12,3,-36,9,9,3,-5,8,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
125650_4..N06R::1404619200.0,44,3,0,10,13,18,23,-3,-3,-49,46,6,9,-2,26,12,22,18,74,17,14,-3,22,7,32,6,16,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
126850_4..N06R::1404619200.0,47,11,4,49,37,12,17,24,18,-19,26,21,-34,6,41,24,18,3,-3,23,16,19,47,25,37,26,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
128050_4..N06R::1404619200.0,45,-2,9,46,17,32,10,15,8,11,55,13,11,16,4,33,7,-7,0,1,24,12,4,-5,-5,15,-3,15,,,,,,,,,,,,,,,,,,,,,,,,,,
129250_4..N06R::1404619200.0,30,-15,1,29,19,30,4,14,10,11,57,26,-6,14,12,21,11,-1,-7,18,14,10,19,21,35,28,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,
130450_4..N06R::1404619200.0,62,21,6,43,20,25,-25,32,19,11,27,-4,-1,-24,-14,19,14,-1,1,25,48,-3,3,2,35,9,-9,-24,,,,,,,,,,,,,,,,,,,,,,,,,,
131650_4..N06R::1404619200.0,51,12,-20,31,33,21,12,14,15,-49,43,16,-2,9,10,26,8,-7,53,27,16,5,-2,16,10,14,-6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
132850_4..N06R::1404619200.0,66,11,17,19,12,19,21,21,15,251,34,-9,10,12,0,-2,13,10,14,-18,58,9,14,20,3,19,-4,10,,,,,,,,,,,,,,,,,,,,,,,,,,
134050_4..N06R::1404619200.0,66,-9,13,40,21,12,13,-1,13,-19,58,2,-9,8,9,3,-6,-2,10,10,-67,8,-2,-9,5,-5,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
135100_4..N06R::1404619200.0,55,17,-12,16,8,-2,9,31,-11,41,43,-28,-9,-21,17,5,-2,2,34,4,116,2,-2,-14,3,-2,-14,6,,,,,,,,,,,,,,,,,,,,,,,,,,
136450_4..N06R::1404619200.0,47,-37,-24,24,22,22,24,-32,5,-109,53,3,8,-11,29,12,-11,14,14,24,-326,-12,-8,-33,7,-14,1,-12,,,,,,,,,,,,,,,,,,,,,,,,,,
140150_4..N06R::1404619200.0,,,,25,20,21,3,-4,-1,-169,11,,37,,8,-6,,-147,127,20,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140200_4..N02R::1404619200.0,,,,,,-17,18,14,8,-8,,,,,,,,,-69,,,,,,,,,,341,-4,-17,4,-39,-2,17,11,-19,,,,,,,,,,,,,,,,,
141950_4..N02R::1404619200.0,,,,,,,,-94,20,6,,,,,,,,,,,,,,,,,,,-19,24,5,-1,7,11,-4,13,24,,,,,,,,,,,,,,,,,
144100_4..N02R::1404619200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,
145900_4..N01R::1404619200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1159,,,,,,,,,,,,,,,,,,,,,,,,,
144100_4..N02R::1404705600.0,50,14,1,34,-3,28,22,23,31,-6,-7,20,12,24,15,22,6,22,17,23,-288,16,30,21,0,6,15,-4,101,4,16,3,13,14,31,14,16,,,,,,,,,,,,,,,,,
145900_4..N01R::1404705600.0,46,26,-9,14,108,10,30,32,19,12,134,18,-10,-24,37,41,18,45,28,36,-294,22,11,7,6,-8,0,12,491,16,-7,-18,12,10,10,-9,12,17,22,-29,,,,,,,,,,,,,,
137650_4..N06R::1404705600.0,53,,,,,,,,,,,3,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138850_4..N06R::1404705600.0,65,2,,,,,,,,,,13,,,,,1,,,,,-6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140150_4..N06R::1404705600.0,40,-4,4,,,,,,,,,1,,5,,,20,10,,,-423,-2,1,2,,32,-2,13,,,,,,,,,,,,,,,,,,,,,,,,,,
140200_4..N02R::1404705600.0,43,11,-78,19,20,37,,,,,15,-4,10,0,20,10,-9,8,,1,-416,-1,7,14,23,-5,8,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
141950_4..N02R::1404705600.0,53,11,18,16,17,34,13,0,,,34,14,9,16,6,23,1,7,11,17,-365,8,8,-15,-19,-9,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,
147900_4..N01R::1404705600.0,20,-2,10,19,29,17,20,14,-24,-5,29,-19,-3,-3,19,26,2,2,-24,39,-279,-13,3,1,14,-10,5,-5,-19,6,-6,-11,2,13,5,-79,-56,6,-38,-4,,,,,,,,,,,,,,
148850_4..N13R::1404705600.0,58,11,17,26,20,20,7,15,-17,20,22,11,11,16,2,26,23,2,2,13,-314,15,-26,8,-9,-15,-38,13,11,-2,16,5,-14,-3,16,14,-12,28,-15,13,-2,11,8,11,0,-8,-11,8,-14,-6,-6,-7,6,8
150850_4..N13R::1404705600.0,50,17,7,13,13,13,22,10,26,-10,18,-3,4,12,3,10,17,17,24,2,-291,10,20,-11,10,15,-2,12,11,-17,-34,23,2,11,16,8,10,-6,3,-6,16,-2,-9,-1,-13,9,4,-1,6,15,-18,10,-5,13
152850_4..N13R::1404705600.0,48,18,-4,3,15,6,7,13,21,13,2,1,-6,9,20,25,-5,32,-27,10,-281,7,9,-9,2,4,-13,6,-19,-11,7,4,16,-6,12,4,6,-10,4,-13,0,14,10,20,3,-2,-6,4,102,98,7,8,22,2
010800_4..N13R::1404705600.0,49,-11,-3,-3,42,18,1,34,27,12,5,0,12,-558,5,14,-6,18,-32,7,43,8,17,-9,-15,2,-11,9,11,-6,-16,11,-7,8,0,6,-18,2,-14,-29,16,-6,14,15,-13,7,0,2,9,-12,-11,-9,3,100
012800_4..N13R::1404705600.0,59,1,18,3,10,4,21,11,29,12,1,4,-4,-557,16,36,20,-1,9,-3,35,8,11,15,13,19,0,15,11,-2,-24,-8,-1,3,-17,1,-5,-5,19,17,-8,2,-8,-3,6,-7,14,-1,-8,-5,-20,9,-9,-25
014800_4..N13R::1404705600.0,45,4,-14,-6,-2,12,24,38,27,19,-2,-8,10,-557,8,19,-11,11,8,5,30,-15,-2,2,-14,-2,-12,9,-19,8,-7,-8,2,-14,35,5,-4,-6,-3,24,-55,5,1,-22,-6,-46,-50,-1,7,-12,-8,-8,10,-2
016800_4..N13R::1404705600.0,50,11,4,16,15,-2,-2,28,34,1,4,-1,-38,-580,-10,3,-11,-3,21,1,17,-9,14,7,-14,8,-6,-46,-19,8,-5,-8,7,13,-2,-2,-5,-62,28,19,-4,10,6,17,11,1,-1,-5,4,-14,-11,10,-6,18
018800_4..N13R::1404705600.0,49,-19,-5,16,37,7,21,12,20,9,22,1,-4,-582,22,6,-5,9,22,-5,93,-9,6,8,13,4,-11,11,-19,-76,10,6,-38,5,-3,3,35,1,7,-10,-3,-15,12,-6,-14,12,10,-13,1,12,-14,-12,5,25
020800_4..N13R::1404705600.0,58,-2,-14,93,110,6,-6,-7,27,1,27,-15,2,-563,-1,14,10,4,16,-7,28,8,6,-7,6,-6,11,3,-19,3,-8,-7,9,-9,13,0,-5,-6,8,-16,6,16,10,2,-76,-14,13,-14,-2,9,14,-10,-22,0
022800_4..N13R::1404705600.0,9,-4,9,34,-6,-7,8,-1,14,17,62,11,-10,-466,-15,19,-24,-13,11,2,72,13,-8,-5,11,2,-12,9,-19,-12,6,0,-16,-6,10,12,20,13,10,8,11,-6,-8,-1,-2,-8,-11,-3,5,12,13,-5,8,0
024800_4..N13R::1404705600.0,54,6,13,54,20,13,9,-14,14,-16,22,-20,5,-319,-3,36,-6,4,38,-2,53,1,2,9,27,18,-35,14,11,1,-12,9,-9,-2,14,7,-26,10,17,-3,-7,4,-2,6,7,-1,-7,-4,-1,7,16,-9,5,-6
026800_4..N13R::1404705600.0,70,-2,12,-47,32,14,25,17,31,12,3,4,3,-208,21,35,-12,5,10,-2,15,-13,-3,1,0,-1,14,-2,11,9,-7,12,-4,6,-9,-1,-5,-8,20,-4,11,-5,-10,1,1,-2,-6,-5,-1,6,-29,1,-13,4
028700_4..N13R::1404705600.0,55,7,-27,-1,15,1,0,24,29,5,50,-9,-14,-51,42,22,14,4,7,17,29,-2,17,13,20,-16,1,-8,11,20,4,19,0,6,16,16,19,-7,-7,10,8,-10,10,-16,-7,-16,10,17,16,-6,-13,-6,7,-4
030150_4..N01R::1404705600.0,48,16,12,215,30,22,9,-1,5,24,41,-3,7,15,21,30,17,-16,-22,0,3,11,-31,-11,23,-12,2,-14,71,-1,11,6,17,-6,13,12,-2,0,10,22,,,,,,,,,,,,,,
031350_4..N01R::1404705600.0,45,1,16,12,7,8,-1,-8,-12,-18,15,12,-4,-4,18,3,3,-1,6,19,21,-7,4,2,5,-6,8,-6,11,16,-2,-9,3,-18,2,8,3,18,-4,2,,,,,,,,,,,,,,
032550_4..N01R::1404705600.0,61,7,8,22,36,-6,-3,5,26,19,27,15,15,6,6,-12,2,-9,56,-7,14,2,-1,11,16,13,-9,7,11,6,-9,-15,-6,-2,-10,6,8,-9,4,-17,,,,,,,,,,,,,,
033450_4..N01R::1404705600.0,51,-57,-28,15,-20,21,14,20,32,1,21,3,3,10,23,22,-7,22,10,4,-2,-23,24,-12,46,10,-6,9,-49,21,5,-5,2,10,-5,-9,-10,-2,-2,0,,,,,,,,,,,,,,
034350_4..N02R::1404705600.0,57,10,13,2,7,12,-3,5,25,5,24,14,0,7,20,20,5,7,18,3,21,6,-24,16,2,-18,-8,10,41,22,-1,-10,4,12,-4,16,17,,,,,,,,,,,,,,,,,
035550_4..N02R::1404705600.0,46,-5,22,10,15,26,26,20,5,32,30,-26,4,21,22,53,19,45,6,19,4,18,9,-2,11,-9,6,-8,41,-2,7,-4,3,-27,-18,12,49,,,,,,,,,,,,,,,,,
036950_4..N03R::1404705600.0,48,15,7,18,6,7,26,19,16,47,-12,23,-3,12,15,0,-19,3,-5,-23,13,9,2,20,0,10,-6,13,-19,-6,14,-25,-14,-3,-22,,,,,,,,,,,,,,,,,,,
038150_4..N03R::1404705600.0,50,4,-13,16,1,-17,23,21,-10,9,27,-13,1,14,-9,7,-14,25,58,-9,66,-13,-31,4,25,-37,13,5,11,-8,14,15,-1,12,1,,,,,,,,,,,,,,,,,,,
040350_4..N06R::1404705600.0,48,21,18,14,30,16,24,47,3,41,38,-1,-3,94,44,37,16,14,20,31,33,20,13,-3,8,19,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
041350_4..N06R::1404705600.0,58,-9,7,25,15,-5,-8,14,5,-19,19,8,-8,119,20,20,1,2,85,74,31,-11,21,151,133,-10,8,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
042300_4..N06R::1404705600.0,,,,44,12,17,9,51,40,-19,17,,2,,17,34,,-4,33,22,491,,-125,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042600_4..N06R::1404705600.0,37,2,13,46,18,12,-2,19,49,71,39,13,28,21,23,11,-1,27,-22,14,33,5,7,10,-25,8,16,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
043000_4..N03R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-319,,,,,,,,,,,,,,,,,,,,,,,,,
043200_4..N06R::1404705600.0,40,-1,8,10,13,27,5,-1,16,11,17,12,-1,17,44,23,1,8,22,-8,-5,16,-9,-1,18,14,-2,15,,,,,,,,,,,,,,,,,,,,,,,,,,
043500_4..N06R::1404705600.0,50,8,9,13,22,28,23,11,11,41,36,3,24,21,24,29,20,12,27,-1,26,12,-2,21,21,5,13,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
044100_4..N06R::1404705600.0,51,5,4,24,20,12,5,23,6,71,61,-20,-6,20,33,35,22,103,10,16,93,13,33,15,7,7,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,
045000_4..N06R::1404705600.0,54,-1,5,30,27,40,5,16,22,11,21,165,5,143,-3,32,-6,14,42,25,6,-17,25,-4,19,14,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
045600_4..N06R::1404705600.0,45,11,7,17,35,38,29,47,-20,96,36,-9,1,10,40,18,-15,29,-3,27,18,-25,0,17,12,10,-5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
046200_4..N06R::1404705600.0,46,11,-8,-5,18,27,20,44,21,105,18,-6,-17,0,5,19,-11,0,3,7,27,0,-22,14,29,-4,10,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
046800_4..N06R::1404705600.0,54,13,16,5,17,12,16,16,6,71,19,-6,-10,13,9,39,8,9,12,3,1,5,0,15,5,18,-6,10,,,,,,,,,,,,,,,,,,,,,,,,,,
047050_4..N06R::1404705600.0,39,10,1,28,22,18,22,23,24,63,49,-6,8,1,18,15,12,-6,30,28,16,-1,23,12,14,2,9,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
047650_4..N43R::1404705600.0,,,,,,,,,,-859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048150_4..N06R::1404705600.0,60,-16,-11,18,29,40,-5,-2,-11,11,33,3,-2,-12,-1,36,0,-12,10,-1,50,-53,9,11,-3,0,-11,11,,,,,,,,,,,,,,,,,,,,,,,,,,
048600_4..N06R::1404705600.0,64,20,18,33,24,27,34,51,17,41,26,-4,11,3,25,45,9,20,0,36,38,23,11,-3,7,-10,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,
049000_4..N06R::1404705600.0,31,-2,18,15,20,-13,22,6,17,41,11,11,-6,20,28,33,7,15,8,17,23,14,7,12,15,-9,4,-11,,,,,,,,,,,,,,,,,,,,,,,,,,
049450_4..N06R::1404705600.0,57,4,11,10,31,34,-16,24,10,41,36,-5,15,-98,47,13,21,-6,7,2,75,-8,1,9,-5,16,1,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
049900_4..N06R::1404705600.0,53,-9,13,20,23,33,32,29,9,71,22,1,25,-9,44,37,-9,-5,17,13,15,17,3,-3,20,-9,1,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
050300_4..N43R::1404705600.0,,,-5,157,18,27,3,12,20,41,23,,9,27,34,50,,23,27,-26,2,,12,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050750_4..N06R::1404705600.0,69,-4,17,17,13,16,14,57,15,11,34,9,26,-9,31,37,0,22,57,7,11,16,21,-4,-4,-10,3,-11,,,,,,,,,,,,,,,,,,,,,,,,,,
042300_4..N::1404705600.0,63,1,,,,,,,,,,14,,1,,,6,,,,,-5,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051150_4..N43R::1404705600.0,,,20,24,14,29,29,12,36,11,38,,25,25,14,18,,7,37,0,29,,13,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051350_4..N06R::1404705600.0,48,11,7,4,19,14,10,13,39,97,40,20,-10,9,23,17,10,-26,-10,28,18,7,1,17,10,11,-7,9,,,,,,,,,,,,,,,,,,,,,,,,,,
051950_4..N43R::1404705600.0,,,24,26,27,21,30,80,16,11,29,,-4,42,12,32,,-21,37,2,16,,-3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052450_4..N06R::1404705600.0,67,-7,5,30,20,26,6,58,8,11,34,-1,0,11,9,22,3,7,68,4,51,9,25,-9,2,11,-9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
053050_4..N06R::1404705600.0,39,14,3,34,12,29,32,42,18,101,20,-5,12,8,2,13,15,-5,-40,-2,108,6,25,-15,16,10,-38,-23,,,,,,,,,,,,,,,,,,,,,,,,,,
053650_4..N43R::1404705600.0,,,35,28,19,33,19,17,23,11,24,,30,31,24,20,,23,27,1,14,,14,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054250_4..N06R::1404705600.0,66,16,-11,46,38,38,13,15,28,41,27,29,4,-61,13,41,8,20,33,13,23,13,15,-8,34,-56,7,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
054850_4..N06R::1404705600.0,71,14,-2,-38,44,35,40,28,3,-19,45,-9,15,-204,22,7,-13,14,55,8,27,3,21,18,28,6,-11,7,,,,,,,,,,,,,,,,,,,,,,,,,,
055450_4..N06R::1404705600.0,48,-2,5,11,15,31,-2,28,-26,11,11,-27,12,-270,32,9,20,-2,78,4,17,-3,1,5,1,7,16,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
056050_4..N06R::1404705600.0,49,2,-10,20,32,24,27,34,0,11,17,15,20,-4,31,14,3,26,5,20,-201,25,173,-24,16,-7,6,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
056650_4..N06R::1404705600.0,60,13,-27,-5,30,20,6,17,9,11,24,16,2,-276,-7,-15,30,7,-3,14,22,17,-7,116,10,4,-13,3,,,,,,,,,,,,,,,,,,,,,,,,,,
056950_4..N43R::1404705600.0,,,,,,,,,-233,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057550_4..N06R::1404705600.0,,,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058150_4..N06R::1404705600.0,60,8,6,-17,9,-22,-4,11,17,-49,5,-3,-2,-271,20,18,-9,-2,150,0,72,-4,-6,10,0,-15,4,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
058450_4..N43R::1404705600.0,,,41,84,19,22,26,2,-19,41,33,,-2,54,14,20,,34,26,-15,-169,,117,,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059050_4..N06R::1404705600.0,53,-17,-6,22,10,12,34,8,12,92,54,-7,-2,-160,8,3,14,14,3,-2,-83,-11,-4,-5,17,-10,5,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
059350_4..N06R::1404705600.0,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059950_4..N43R::1404705600.0,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060650_4..N06R::1404705600.0,50,-8,-37,22,-6,1,17,6,13,49,20,9,-10,-269,13,11,0,7,29,8,-8,3,13,-11,8,-5,12,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
057450_4..N43R::1404705600.0,,,41,28,27,26,41,34,-58,,46,,9,48,17,17,,10,148,5,106,,1,,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058750_4..N06R::1404705600.0,36,14,16,27,29,18,28,23,1,41,-16,-8,-6,-78,0,-6,11,45,31,-11,64,4,0,15,13,19,-1,14,,,,,,,,,,,,,,,,,,,,,,,,,,
061350_4..N06R::1404705600.0,58,14,22,26,33,10,3,12,25,11,14,14,17,-261,22,16,-1,31,19,7,10,18,20,-7,18,13,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,
061750_4..N06R::1404705600.0,46,14,-6,58,13,32,31,9,5,11,31,-37,14,-254,20,23,14,19,34,-28,7,20,21,-7,24,14,14,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
062650_4..N06R::1404705600.0,53,-9,-4,35,29,0,7,18,20,-49,-12,2,-10,-249,6,-26,68,3,15,-5,20,12,26,-8,-8,-28,6,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
063150_4..N06R::1404705600.0,58,1,9,21,-22,22,4,-5,22,-19,17,11,13,-263,18,28,18,-2,-5,5,-12,-4,22,4,-2,10,-7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
059950_4..N::1404705600.0,65,-1,135,21,15,15,30,4,17,131,13,13,4,18,22,26,5,18,1,-6,-200,16,3,-1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063750_4..N06R::1404705600.0,73,24,-2,13,24,4,4,-1,7,11,29,4,16,-255,28,22,22,10,2,12,27,-6,52,1,10,26,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,
064350_4..N06R::1404705600.0,45,21,23,42,22,0,24,21,67,71,65,12,18,-294,29,38,33,23,15,20,-33,-3,71,3,17,26,-1,10,,,,,,,,,,,,,,,,,,,,,,,,,,
064850_4..N06R::1404705600.0,55,1,1,16,6,27,14,18,29,87,5,9,-3,-286,29,24,-28,20,-3,12,12,1,24,3,30,34,26,21,,,,,,,,,,,,,,,,,,,,,,,,,,
065250_4..N06R::1404705600.0,56,3,2,12,10,3,19,4,-2,121,12,-12,-5,-387,10,18,14,20,6,9,11,-59,26,1,27,7,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,
065500_4..N06R::1404705600.0,,,,,,,,,,1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071350_4..N06R::1404705600.0,,,,,,,,,,3611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066300_4..N06R::1404705600.0,,,,,,,,,,1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067100_4..N06R::1404705600.0,,,,,,,,,,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067900_4..N06R::1404705600.0,,,,,,,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068700_4..N06R::1404705600.0,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066550_4..N06R::1404705600.0,9,14,37,23,16,5,19,23,14,60,36,-3,24,-416,23,15,9,6,22,19,55,20,10,27,2,29,-3,6,,,,,,,,,,,,,,,,,,,,,,,,,,
067350_4..N06R::1404705600.0,53,8,-9,13,32,18,24,25,16,11,25,257,4,-410,7,5,216,12,4,1,24,1,16,12,-1,28,-3,10,,,,,,,,,,,,,,,,,,,,,,,,,,
068150_4..N06R::1404705600.0,50,8,20,21,18,4,17,-10,23,11,21,18,-6,-397,2,21,34,10,17,26,32,3,23,11,9,20,-6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
