,401N,406N,413N,621N,640N,420N,423N,235N,239N,250N,631N,405N,419N,409N,418N,635N,402N,416N,234N,629N,415N,408N,414N,407N,626N,412N,411N,410N,257N,256N,255N,254N,253N,252N,251N,249N,248N,238N,237N,236N,639N,638N,637N,636N,634N,633N,632N,630N,628N,627N,625N,624N,623N,622N
138850_4..N06R::1404446400.0,,,-5,14,38,19,26,-2,25,-19,30,,23,,77,51,,15,-18,6,13,,12,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140050_4..N02R::1404446400.0,,,,,26,31,23,17,7,9,,,12,,29,-4,,,-4,,,,,,,,,,11,10,-7,13,21,-6,6,-11,17,,,,,,,,,,,,,,,,,
140050_4..N06R::1404446400.0,,,,-12,47,14,39,26,8,-19,38,,24,,34,45,,,-7,37,,,,,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141250_4..N02R::1404446400.0,,,,,,-220,30,34,12,12,,,,,,,,,-10,,,,,,,,,,41,0,-13,10,-12,-4,10,0,17,,,,,,,,,,,,,,,,,
134500_4..N06R::1404446400.0,,,84,1421,,,,,,,,,,,,,,19,,,-19,,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142450_4..N02R::1404446400.0,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,161,-2,14,9,14,-11,-25,-24,,,,,,,,,,,,,,,,,,
134500_4..N::1404446400.0,50,-5,,,,,,,,,,11,,9,,,5,,,,,10,,-6,,-2,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,
143650_4..N02R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0,-10,,,,,,,,,,,,,,,,,,,,,,,
144850_4..N01R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-529,,,,,,,,,,,,,,,,,,,,,,,,,
146000_4..N01R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1219,,,,,,,,,,,,,,,,,,,,,,,,,
144850_4..N01R::1404532800.0,52,3,20,29,47,29,41,-6,48,-4,45,16,10,-2,47,55,4,2,7,35,46,-2,6,7,-16,-8,-22,-4,251,-23,-10,9,-8,3,-11,-7,20,-9,0,3,,,,,,,,,,,,,,
