,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
077200_4..S06X003::1404705600.0,24,7,11,30,35,26,-186,,-7,0,41,25,7,4,,-27,6,19,52,21,44,72,,28,32,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
078000_4..S06X003::1404705600.0,20,6,4,6,41,6,38,,-1,-77,41,-20,-4,-7,,13,20,-14,95,12,23,36,,46,20,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
078800_4..S06X003::1404705600.0,41,-195,13,43,40,16,53,,19,9,11,18,13,11,,22,6,19,57,30,51,35,,31,18,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
079600_4..S06X003::1404705600.0,6,-134,11,29,35,19,24,,0,13,41,-26,1,-35,,12,-4,-13,38,33,16,50,,25,11,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
080400_4..S06X003::1404705600.0,2,5,17,5,51,21,38,,3,1,41,21,9,26,,11,0,-4,17,94,31,40,,41,-41,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
081200_4..S06X003::1404705600.0,71,2,31,15,73,39,45,,25,4,-19,19,11,46,,3,14,21,35,30,26,6,,18,19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
082000_4..S06X003::1404705600.0,23,-196,10,16,9,-17,94,,-10,3,11,3,-7,19,,3,-7,10,173,28,136,22,,33,1,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
082800_4..S06X003::1404705600.0,22,5,24,8,18,29,834,,-4,0,71,18,14,3,,2,8,20,54,36,32,26,,14,14,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
083600_4..S06X003::1404705600.0,14,5,72,-10,26,17,38,,-12,-2,11,-4,-7,27,,3,234,7,64,-20,42,,,20,35,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
084400_4..S06X003::1404705600.0,17,3,-29,37,-3,0,172,,6,8,-19,19,-7,22,,-13,181,-4,7,33,38,,,28,10,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
085000_4..S06X003::1404705600.0,13,13,17,38,71,8,-38,,-3,4,41,6,-1,-2,,8,16,-11,182,-3,27,9,,37,11,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
085800_4..S06X003::1404705600.0,10,-6,28,2,21,6,42,,13,15,11,-11,-14,-9,,1,-13,9,27,31,26,7,,12,38,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
086500_4..S06X003::1404705600.0,51,-168,21,33,41,30,36,,8,7,11,18,21,24,,-10,9,-2,43,21,33,17,,44,19,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
087250_4..S06X003::1404705600.0,41,41,64,-18,28,39,41,,7,-2,11,21,-10,14,,-37,50,4,22,17,63,11,,13,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
087900_4..S06X003::1404705600.0,2,11,31,9,38,5,20,,10,-72,11,-18,6,48,,-9,11,2,50,18,30,29,,5,-4,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
088650_4..S06X003::1404705600.0,95,4,39,113,23,19,35,,1,-10,11,4,33,12,,9,16,32,66,15,30,35,,31,3,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
089350_4..S06R::1404705600.0,9,11,4,-9,17,95,21,14,-4,-1,41,22,15,78,43,9,10,22,34,64,15,29,-2,14,51,6,36,25,,,,,,,,,,,,,,,,,,,,,,,,,,
090150_4..S06R::1404705600.0,,,,,,,19,-1,16,-6,-49,,5,,46,-3,4,14,16,,,-141,-10,,,-26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
090900_4..S06R::1404705600.0,18,8,-6,54,39,33,34,2,20,-3,11,22,16,1,26,2,26,31,15,26,29,27,-5,6,68,13,-6,-11,,,,,,,,,,,,,,,,,,,,,,,,,,
091550_4..S06R::1404705600.0,,,,,,,,,,,-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092050_4..S06R::1404705600.0,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091500_4..S06R::1404705600.0,14,8,25,4,95,-3,40,14,-2,17,11,16,31,19,6,13,37,-11,8,9,24,0,14,18,29,0,11,-48,,,,,,,,,,,,,,,,,,,,,,,,,,
092300_4..S28R::1404705600.0,-4,4,14,25,25,14,77,10,-5,,,16,11,19,59,6,5,17,1,45,28,21,13,42,44,-5,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,
092400_4..S06R::1404705600.0,13,-2,15,12,45,26,66,-21,8,7,-19,10,14,6,19,-8,2,-1,14,12,12,13,12,30,49,26,38,27,,,,,,,,,,,,,,,,,,,,,,,,,,
093250_4..S28R::1404705600.0,,,,,,,,,,,,,-829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093450_4..S06R::1404705600.0,21,10,33,21,34,11,-8,11,5,45,-19,4,20,49,14,-46,20,3,12,14,10,59,19,19,59,4,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,
094400_4..S06R::1404705600.0,41,8,7,19,24,37,0,-6,16,16,11,6,-3,30,15,-3,20,15,-6,21,29,23,0,22,32,12,-8,28,,,,,,,,,,,,,,,,,,,,,,,,,,
094550_4..S28R::1404705600.0,37,7,41,23,33,9,223,12,-10,,,20,-259,9,11,2,15,19,16,6,44,46,18,25,11,1,14,31,,,,,,,,,,,,,,,,,,,,,,,,,,
095150_4..S06R::1404705600.0,17,85,-16,15,37,45,38,-22,14,23,11,16,24,24,22,18,5,25,10,25,42,34,5,19,21,14,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,
095550_4..S06R::1404705600.0,28,22,7,12,16,28,69,21,-14,-6,11,23,3,1,27,1,0,8,14,40,24,28,-7,-3,31,8,-11,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
096100_4..S06R::1404705600.0,-5,8,85,5,30,3,23,13,10,0,161,-20,4,30,3,-10,-3,12,10,7,41,21,15,21,19,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
096900_4..S28R::1404705600.0,6,-9,35,12,37,37,45,-5,14,,,-6,101,-16,9,-12,14,-20,-53,6,37,11,-2,37,-14,14,-7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
097050_4..S06R::1404705600.0,24,,-177,25,14,26,114,-6,6,-5,-19,-2,13,30,15,-4,-10,-35,-5,13,35,29,10,58,24,2,-14,46,,,,,,,,,,,,,,,,,,,,,,,,,,
097850_4..S28R::1404705600.0,29,8,-1,-15,35,23,57,5,-13,,,19,-79,47,-3,3,1,8,-1,20,38,23,6,71,22,-10,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,
097900_4..S03R::1404705600.0,32,20,21,-3,1,4,176,6,7,13,-19,14,4,11,18,-7,17,4,5,-1,26,17,10,32,11,-2,-19,7,,,,,,-4,-10,-4,18,70,8,288,,,,,,,,,,,,,,
095600_4..S06R::1404705600.0,,,,,,,,,,,-1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093000_4..S06R::1404705600.0,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096300_4..S06R::1404705600.0,,,,,,,,,,,-1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093000_4..S28R::1404705600.0,6,4,3,26,20,26,33,-9,24,,,22,41,15,-3,0,-3,25,26,21,23,5,4,20,36,19,-3,-52,,,,,,,,,,,,,,,,,,,,,,,,,,
094500_4..S06R::1404705600.0,,,,,,,,,,,-709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102450_4..S06R::1404705600.0,25,13,6,18,27,5,94,16,19,10,-19,15,0,17,50,0,21,8,1,8,40,33,11,25,10,2,-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,
101850_4..S28R::1404705600.0,16,26,24,25,32,0,27,16,-2,,,2,41,17,26,0,-1,-15,-2,11,31,19,6,7,21,-6,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,
102150_4..S06R::1404705600.0,55,12,-3,-18,60,30,123,18,0,-4,71,13,-13,7,24,10,14,-5,6,-4,54,5,12,42,4,2,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,
098500_4..S28R::1404705600.0,20,,,39,31,5,77,-1,-14,,,0,71,77,29,6,-13,3,16,29,49,23,-6,-40,60,12,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,
098550_4..S06R::1404705600.0,-15,-1,10,0,31,11,148,2,10,-6,11,-27,10,34,74,-36,3,0,109,69,30,40,,38,37,-11,-34,3,,,,,,,,,,,,,,,,,,,,,,,,,,
099300_4..S03R::1404705600.0,36,62,58,37,52,37,27,16,12,6,-19,-4,16,49,94,-11,8,5,16,2,43,12,26,-9,19,9,12,23,,,,,,-10,0,19,15,81,9,49,,,,,,,,,,,,,,
096350_4..S28R::1404705600.0,23,131,19,59,45,11,81,-3,10,,,-4,11,59,-9,-6,13,2,22,2,8,53,-4,22,15,12,-6,32,,,,,,,,,,,,,,,,,,,,,,,,,,
099450_4..S28R::1404705600.0,25,-35,56,0,27,-24,146,19,-5,,,13,-139,40,39,-46,-12,12,5,34,43,5,12,27,26,2,-15,3,,,,,,,,,,,,,,,,,,,,,,,,,,
099800_4..S06R::1404705600.0,23,-23,69,24,49,29,117,7,24,-10,-19,13,5,57,136,0,8,18,209,20,47,23,,13,48,,-31,23,,,,,,,,,,,,,,,,,,,,,,,,,,
100050_4..S06R::1404705600.0,26,3,29,22,15,26,29,-53,5,10,101,16,14,18,-16,19,-19,2,2,33,37,34,6,15,26,16,-6,23,,,,,,,,,,,,,,,,,,,,,,,,,,
100550_4..S06R::1404705600.0,-16,7,18,19,47,38,21,8,15,8,101,0,11,26,12,16,-2,12,-32,13,33,28,-9,38,38,4,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,
101150_4..S06R::1404705600.0,31,13,22,9,44,39,10,15,-16,7,101,-7,-11,19,9,-3,4,4,18,24,30,9,-6,20,25,2,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,
103150_4..S06R::1404705600.0,31,7,4,-20,46,29,39,15,20,-9,-19,23,7,14,24,-5,-2,15,-11,2,7,4,-2,19,10,9,-18,23,,,,,,,,,,,,,,,,,,,,,,,,,,
103950_4..S06R::1404705600.0,7,7,74,12,51,5,46,12,-10,13,-49,4,-4,19,94,8,-24,15,0,17,36,12,9,42,24,-1,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,
104350_4..S06R::1404705600.0,14,2,16,28,49,26,14,3,13,-79,11,17,-15,6,112,-14,11,4,-12,33,35,5,0,69,9,-12,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
105150_4..S06R::1404705600.0,7,-3,63,-33,45,22,14,-7,-7,4,11,17,-7,17,75,8,19,13,6,13,97,0,-13,18,1,8,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,
105950_4..S06R::1404705600.0,33,4,26,21,45,5,22,-10,10,-110,131,3,11,24,11,-2,12,2,111,84,62,5,8,30,39,-7,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
106350_4..S06R::1404705600.0,46,-6,6,19,20,6,52,-4,-14,5,11,1,-9,29,12,0,0,6,181,29,34,27,,-9,8,,-5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
096350_4..S::1404705600.0,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,15,17,14,16,1,,,,,,,,,,,,,,
107150_4..S06R::1404705600.0,27,10,31,14,41,24,225,-11,-15,4,-109,24,-16,30,14,3,1,7,-2,24,31,19,9,-1,39,-3,12,-18,,,,,,,,,,,,,,,,,,,,,,,,,,
097050_4..S::1404705600.0,,31,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,28,23,20,61,-4,10,,,,,,,,,,,,,,
107550_4..S06R::1404705600.0,50,11,12,13,48,15,35,20,45,16,11,15,4,128,11,1,17,1,19,36,6,38,15,59,1,-3,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,
098500_4..S::1404705600.0,,1241,28,,,,,,,,,,,,,,,,,,,,,44,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
108350_4..S06R::1404705600.0,31,7,-2,6,41,20,5,78,16,6,-79,-2,17,11,53,-4,15,20,348,7,43,37,,15,15,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
109150_4..S06R::1404705600.0,11,6,27,14,33,8,48,-2,12,-10,-19,11,3,10,6,-4,17,6,229,22,27,8,,32,14,,,-17,,,,,,,,,,,,,,,,,,,,,,,,,,
109550_4..S06R::1404705600.0,189,2,-6,9,52,3,0,2,-9,10,11,2,-2,-16,14,3,12,8,4,23,-3,10,10,7,7,-11,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,
110350_4..S06R::1404705600.0,-17,-2,31,-5,44,25,27,25,-13,4,-49,-4,-6,24,93,1,3,16,268,24,24,21,,26,22,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
110750_4..S06R::1404705600.0,-1,0,-4,4,7,-1,-10,47,0,-16,41,12,11,12,14,-11,-14,-13,52,17,42,-7,-8,27,-21,-6,9,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
111550_4..S06R::1404705600.0,13,2,113,11,12,17,18,13,3,-15,-79,-12,5,12,178,-12,-1,-11,72,20,-19,-5,,6,9,-14,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,
112400_4..S06R::1404705600.0,50,-5,23,17,54,53,32,6,-70,8,11,37,8,18,18,16,31,7,156,39,59,32,-71,6,33,,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,
112800_4..S06R::1404705600.0,43,-7,-1,15,20,4,25,14,-4,-7,11,5,-21,22,68,11,19,-13,68,49,84,72,,-8,41,4,16,69,,,,,,,,,,,,,,,,,,,,,,,,,,
113600_4..S06R::1404705600.0,21,24,93,-2,31,-2,0,-24,4,13,11,-5,3,24,122,-13,12,-6,14,13,14,25,-4,14,-26,16,-2,11,,,,,,,,,,,,,,,,,,,,,,,,,,
114400_4..S06R::1404705600.0,5,15,-11,5,-12,24,18,-26,31,3,11,21,-8,20,8,-35,21,-7,1,14,38,15,-24,26,22,-16,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
115200_4..S06R::1404705600.0,-2,8,-16,11,36,6,48,22,-7,-4,11,6,-12,-2,101,-20,0,10,7,23,35,4,8,98,13,-2,11,19,,,,,,,,,,,,,,,,,,,,,,,,,,
115600_4..S06R::1404705600.0,3,3,-27,18,31,7,8,1,21,8,41,6,-68,24,53,1,15,11,-10,16,26,8,-1,66,-3,15,-3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
116400_4..S06R::1404705600.0,-6,-52,13,5,33,40,21,5,-4,-3,71,5,6,21,-7,9,-30,15,-2,22,36,6,11,32,1,2,11,19,,,,,,,,,,,,,,,,,,,,,,,,,,
117200_4..S06R::1404705600.0,18,22,42,-11,35,-6,5,8,-12,7,11,-2,-8,2,60,-6,14,10,-10,16,14,6,-3,27,55,12,23,16,,,,,,,,,,,,,,,,,,,,,,,,,,
118000_4..S06R::1404705600.0,25,8,6,-3,15,15,133,5,-35,-5,-19,5,8,11,-6,10,-5,-7,274,13,46,27,,33,-8,,64,10,,,,,,,,,,,,,,,,,,,,,,,,,,
118700_4..S06R::1404705600.0,-5,20,3,11,17,17,-13,-3,12,-5,41,8,-2,0,10,-4,-16,7,-11,1,24,10,1,3,18,16,-2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
119500_4..S06R::1404705600.0,10,5,1,14,27,7,90,17,7,4,-49,-3,16,0,20,15,-5,0,-4,18,13,17,19,36,5,4,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,
120300_4..S06R::1404705600.0,9,-4,36,6,2,16,3,5,10,12,71,12,-6,19,19,-38,11,5,8,2,16,15,14,-3,49,-3,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,
120900_4..S06R::1404705600.0,15,3,9,19,36,11,79,10,11,-4,-19,14,-8,-7,53,-34,29,3,14,30,36,8,-13,10,-22,3,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,
121700_4..S06R::1404705600.0,9,3,5,18,20,-14,4,-4,5,15,101,0,12,12,12,-10,19,-4,15,20,-8,164,-9,27,4,10,-7,13,,,,,,,,,,,,,,,,,,,,,,,,,,
122350_4..S06R::1404705600.0,8,5,-24,24,52,12,6,2,10,4,161,5,-12,-1,-8,-5,5,1,-11,18,24,15,-4,38,4,14,-2,24,,,,,,,,,,,,,,,,,,,,,,,,,,
123200_4..S06R::1404705600.0,18,7,12,11,34,-4,23,16,5,10,-49,10,-61,16,84,-9,20,2,20,21,29,23,-11,22,6,2,14,41,,,,,,,,,,,,,,,,,,,,,,,,,,
124050_4..S30R::1404705600.0,12,42,1,4,29,20,20,11,3,-6,11,15,6,6,62,-9,40,-8,12,6,34,23,-12,17,7,8,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,
124900_4..S05R::1404705600.0,22,-79,25,17,-17,4,38,-14,1,2,11,24,15,4,-1,-44,28,-6,9,22,27,4,-11,10,8,-24,16,24,-10,-17,9,4,2,,,,,,,,,,,,,,,,,,,,,
125750_4..S05R::1404705600.0,12,0,20,13,13,17,94,28,-4,3,11,9,9,15,0,9,27,19,2,22,28,-2,9,-5,5,-7,2,8,22,-1,20,26,10,,,,,,,,,,,,,,,,,,,,,
126850_4..S05R::1404705600.0,22,11,11,-3,27,21,252,2,13,1,-19,-14,18,7,19,0,19,2,26,25,9,6,-4,14,-3,14,-6,46,6,1,2,-7,19,,,,,,,,,,,,,,,,,,,,,
127750_4..S05R::1404705600.0,24,-84,35,10,60,12,136,-3,9,0,11,14,15,12,72,-4,16,4,-49,8,29,40,-4,36,18,10,-7,33,-9,10,3,7,-54,,,,,,,,,,,,,,,,,,,,,
128750_4..S05R::1404705600.0,22,3,24,23,21,17,52,8,-14,-10,-19,0,9,-8,126,4,14,4,31,4,5,87,-2,23,-7,-13,3,40,-25,-2,-1,-2,5,,,,,,,,,,,,,,,,,,,,,
129750_4..S05R::1404705600.0,2,8,12,-2,29,-2,159,-38,-7,-1,-19,2,6,26,16,7,20,21,3,-18,32,9,14,-21,-8,2,10,0,-9,17,-10,15,11,,,,,,,,,,,,,,,,,,,,,
130850_4..S10R::1404705600.0,11,46,16,16,6,23,66,14,17,11,-49,-3,-2,27,91,-1,8,7,18,22,17,25,-6,41,22,6,15,20,9,0,-1,5,-3,,,,,,,,,,,,,,,,,,,,,
131600_4..S05R::1404705600.0,24,-4,25,5,46,-4,26,30,19,-10,101,-19,18,11,11,26,12,18,9,17,26,26,4,37,20,8,11,35,26,134,-23,15,8,,,,,,,,,,,,,,,,,,,,,
132700_4..S05R::1404705600.0,18,,,4,15,20,0,8,-6,-3,11,-29,7,2,28,8,5,16,1,10,7,18,10,95,79,-2,8,28,342,,,205,,,,,,,,,,,,,,,,,,,,,,
133700_4..S01R::1404705600.0,16,-11,22,69,31,18,26,10,-8,10,-19,-8,3,16,92,6,7,15,-2,23,47,3,4,6,12,-8,5,39,-25,-1,-1,-10,-7,-7,7,15,21,44,-5,15,,,,,,,,,,,,,,
134750_4..S01R::1404705600.0,28,-95,31,18,38,14,16,5,3,4,11,-5,6,18,14,9,3,4,76,-40,32,8,16,30,0,0,8,37,-4,13,0,-33,18,10,-19,,6,6,-1,8,,,,,,,,,,,,,,
135950_4..S01R::1404705600.0,1,-114,-72,-1,66,10,9,9,10,9,11,-7,2,7,123,-7,-1,-3,-10,-10,25,28,2,332,14,-10,4,25,-17,5,2,-86,,-5,-52,,0,13,10,-2,,,,,,,,,,,,,,
137200_4..S01R::1404705600.0,-9,,,9,9,12,47,-6,-4,5,-19,-1,-2,0,80,-13,4,13,-6,5,24,-97,5,-109,-74,-1,-16,-15,332,,,219,,-8,13,-6,-21,,,,,,,,,,,,,,,,,
138400_4..S01R::1404705600.0,17,,,-143,32,19,22,0,8,-12,-19,-17,6,12,7,-33,-4,16,-15,15,29,18,-5,3,6,11,-6,-87,,,,,,,,,,,,,,,,,,,,,,,,,,
139600_4..S01R::1404705600.0,,,,17,-83,-24,-21,-11,-8,-6,-79,-165,7,,13,10,12,10,5,-34,20,7,15,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
140800_4..S01R::1404705600.0,,,,,,6,,8,-1,-1,11,1,11,,25,5,11,-8,87,,,-2,,,,-71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
142550_4..S01R::1404705600.0,,,,,,,,-12,0,,-19,,-4,,,-13,,-12,,,,,12,,,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
137200_4..S01R::1404792000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,-9,14,,,,,,,,,,,,,,
000550_4..S01R::1404792000.0,14,-567,11,-5,17,-12,158,-10,14,-2,-19,-177,72,8,9,-1,12,0,180,10,-34,12,,27,-1,,-14,17,-16,28,-10,7,10,13,-26,1,8,42,13,3,,,,,,,,,,,,,,
049150_4..S40R::1404792000.0,31,128,195,39,50,19,54,4,-7,0,71,20,20,-27,23,11,,9,14,19,97,51,-4,36,28,17,-4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
138400_4..S01R::1404792000.0,,-386,8,,,,,,,,,,,,,,,,,,,,,,,,,25,-6,16,17,24,14,-10,3,7,12,50,17,5,,,,,,,,,,,,,,
139600_4..S01R::1404792000.0,16,-401,9,,,,,,,,,,,10,,,,,,24,,,,23,6,,,241,3,22,-12,22,-9,-8,-2,2,-22,39,,38,,,,,,,,,,,,,,
140800_4..S01R::1404792000.0,2,-588,-47,70,12,,,,,,,,,22,,,,,,9,15,,,29,-3,,,8,14,25,2,22,-59,19,20,-7,-8,36,-4,11,,,,,,,,,,,,,,
142550_4..S01R::1404792000.0,0,-574,29,6,27,17,45,,,,,-4,,12,71,,5,,,-5,26,34,,-23,16,,,39,16,10,5,1,1,9,-9,-3,3,59,11,-2,,,,,,,,,,,,,,
001500_4..S13R::1404792000.0,29,-607,5,31,47,16,14,-6,-1,12,11,3,2,-35,17,-12,-100,-14,189,-3,28,14,,7,-12,,-21,29,-37,22,-13,-1,-3,-34,-28,-27,5,61,-3,14,15,7,-10,-4,12,-2,22,-5,-8,-12,1,15,5,-1
003500_4..S13R::1404792000.0,18,-552,23,2,8,-6,20,-8,10,-10,-19,64,,13,9,14,-3,15,87,-8,-9,106,27,13,-17,10,-11,35,3,1,4,18,-63,-6,3,-28,-2,45,-4,8,-13,10,-5,3,42,7,28,-17,12,-23,10,-6,11,2
005500_4..S13R::1404792000.0,32,-564,16,19,20,6,16,21,7,16,11,-25,19,-27,8,17,5,5,10,27,-3,13,7,8,25,19,-3,41,18,7,25,21,20,35,-2,-3,25,60,-5,9,34,-5,-2,-7,-26,1,12,25,-24,-4,16,-62,11,3
007500_4..S13R::1404792000.0,17,-574,12,29,8,-73,37,18,-28,2,11,11,10,17,-23,-12,0,-5,153,17,81,12,,12,6,,3,25,-10,-12,-8,6,0,-4,7,15,-8,43,1,-11,14,11,-7,1,-1,0,45,7,17,-27,14,-4,10,4
009500_4..S13R::1404792000.0,18,-687,19,15,20,-10,13,-11,-1,-32,71,9,-3,9,13,-11,-1,-15,-8,23,14,-4,8,-2,11,-3,-16,27,-2,-6,-2,13,-14,-34,1,6,-15,44,-8,8,4,9,-4,-2,-2,-3,15,3,-5,-14,4,-10,13,4
011500_4..S13R::1404792000.0,25,-571,2,-4,0,13,79,-4,-28,10,101,-6,3,10,18,-11,152,-7,14,19,28,14,-11,-28,12,6,-12,-26,15,10,12,1,1,6,17,-8,-6,44,-2,17,31,2,-8,349,14,15,-1,-1,-2,-5,-13,-28,-7,-12
013500_4..S13R::1404792000.0,14,-557,-2,21,57,0,10,5,1,-13,-19,8,2,-3,-4,-12,11,-8,348,18,41,-7,,6,9,,,34,2,-5,-8,16,16,10,-10,-7,22,52,-6,12,42,-2,8,12,3,2,11,-35,-7,-49,-35,10,-1,-75
015500_4..S13R::1404792000.0,32,-577,16,8,55,-7,-9,7,-11,-4,11,-8,12,11,1,4,-7,5,83,0,25,11,,20,-5,15,-3,21,-7,-11,-5,-8,-12,8,-4,4,-14,53,-2,22,2,-19,-2,21,-53,-12,12,2,-40,-6,-3,9,4,30
017500_4..S13R::1404792000.0,8,-562,25,6,28,7,17,-34,7,-37,11,-7,8,10,18,-9,16,-3,5,-1,15,-35,9,32,15,-69,0,13,21,20,11,16,8,-1,19,4,18,64,32,2,40,1,12,15,23,-8,23,-3,18,20,-5,2,15,1
019500_4..S13R::1404792000.0,-4,,-32,-4,5,-7,11,9,2,-5,11,4,7,-16,0,18,19,-7,2,0,38,1,8,17,19,-7,5,23,-11,13,12,20,-11,14,0,6,11,57,18,8,10,-10,1,7,-6,-2,8,-10,15,6,7,17,2,-9
021500_4..S13R::1404792000.0,,-355,10,30,32,3,32,22,13,8,221,-18,18,10,7,-8,23,7,11,26,-15,-4,17,25,11,2,3,45,12,13,1,-18,12,-4,20,22,15,55,15,113,41,-38,24,11,5,7,11,6,-43,15,-5,4,18,6
023500_4..S13R::1404792000.0,-8,-316,10,-33,22,-70,1,8,7,4,41,-12,-3,-7,62,-4,7,-8,-5,11,8,-6,7,-3,5,-10,-33,-11,-44,19,-10,11,14,-16,1,11,18,54,-4,16,6,4,2,6,5,9,-8,-4,-5,,10,-3,-11,15
024950_4..S13R::1404792000.0,11,-12,1,6,1,-10,20,-9,-37,12,-19,-3,-37,20,6,13,12,-12,11,13,23,17,-11,7,1,-24,16,25,-6,17,13,1,-1,1,11,13,17,68,-8,9,28,-56,1,4,-6,-6,-3,34,127,16,-12,5,-42,12
026150_4..S13R::1404792000.0,9,-79,14,7,45,-6,0,15,-15,13,11,9,-8,6,65,2,22,10,-2,8,8,2,9,23,-5,-2,12,18,-7,-10,-6,5,11,-3,-15,-4,5,49,-16,5,8,12,-5,1,-36,-25,-17,-38,-7,13,7,-9,13,7
027850_4..S01R::1404792000.0,19,-43,6,24,35,4,-21,8,-7,-105,-19,10,-3,5,-3,8,18,15,3,20,25,-73,13,12,10,-5,-25,42,6,-3,-8,-36,-4,-9,-10,-2,3,61,6,-7,,,,,,,,,,,,,,
029050_4..S01R::1404792000.0,31,15,16,5,18,-1,13,0,-11,-1,-19,-14,19,-11,-109,6,17,6,6,-9,47,33,-14,66,15,-25,-8,19,-8,-10,-38,-14,-10,2,-10,-1,3,71,13,94,,,,,,,,,,,,,,
030450_4..S05R::1404792000.0,10,,,-2,21,0,10,10,1,-3,11,6,10,2,-1,-13,14,-2,11,16,34,5,-10,59,-6,7,-12,19,347,,,216,,,,,,,,,,,,,,,,,,,,,,
031600_4..S06R::1404792000.0,11,5,21,-1,34,14,15,16,11,5,71,-3,19,28,37,-8,18,4,13,12,-8,6,-8,13,3,6,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,
032500_4..S06R::1404792000.0,3,9,27,10,10,-9,3,1,-18,14,191,7,6,-2,22,4,16,-2,6,39,10,-92,-13,5,29,9,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
033500_4..S06R::1404792000.0,4,-58,20,5,19,8,52,-28,4,5,11,-6,-11,5,199,-9,-10,-2,-13,16,38,21,-3,35,-2,13,-3,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
034450_4..S06R::1404792000.0,-1,1,12,-8,14,-7,19,2,-10,-18,-79,-3,-3,-9,-5,9,1,14,10,5,21,-3,-9,80,-8,13,-2,13,,,,,,,,,,,,,,,,,,,,,,,,,,
