,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
105450_4..S06R::1404532800.0,,,,,,,13,17,-6,7,-19,,-2,,0,12,-54,14,-5,,,,5,,,-6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
106150_4..S06R::1404532800.0,,,,,,,,,13,31,11,,18,,,26,,6,10,,,,2,,,19,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,
106850_4..S06R::1404532800.0,,,,,,,,,-37,11,11,,14,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107550_4..S06R::1404532800.0,,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108250_4..S06R::1404532800.0,,,,,,,,,,,-439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108950_4..S06R::1404532800.0,,,,,,,,,,,-859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109950_4..S06R::1404532800.0,,,,,,,,,,,-1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128250_4..S05R::1404532800.0,,-8,7,,,,,,,,,,,,,,,,,,,,,,,,,43,6,-1,19,3,3,,,,,,,,,,,,,,,,,,,,,
129450_4..S05R::1404532800.0,-1,3,22,,,,,,,,,,,-4,,,,,,4,,,,5,18,,,32,14,10,11,5,8,,,,,,,,,,,,,,,,,,,,,
130650_4..S05R::1404532800.0,4,-84,7,0,35,,,,,,,23,,2,,,,,,11,45,,,47,-3,,,20,15,2,-7,7,-37,,,,,,,,,,,,,,,,,,,,,
131850_4..S05R::1404532800.0,-12,-81,10,9,49,19,42,,,,,18,,6,,,1,,,-13,28,18,,25,12,,,40,4,-2,-6,-1,-6,,,,,,,,,,,,,,,,,,,,,
133050_4..S01R::1404532800.0,-24,,,6,24,24,10,11,,,,1,,3,19,6,3,,0,-18,41,-6,10,-2,1,-3,8,51,298,,,360,,-91,,,,,,,,,,,,,,,,,,,,
134250_4..S01R::1404532800.0,19,28,17,26,27,19,23,12,-5,13,-19,67,15,23,20,0,-14,-6,14,0,-7,29,4,27,-17,12,16,51,-9,13,10,23,18,-6,-1,-1,-1,53,0,9,,,,,,,,,,,,,,
135450_4..S01X003::1404532800.0,21,-9,30,20,18,38,0,4,6,11,11,17,4,15,23,-8,20,-4,19,-3,42,-20,-3,23,18,16,-2,49,1,23,19,7,-6,-58,-28,8,,,,,-10,-83,15,18,-13,-14,10,,,,,,,
136650_4..S01X003::1404532800.0,10,-83,-2,-10,54,26,29,-6,-4,-13,-19,2,-16,-12,110,-14,-36,-86,-7,-11,26,33,6,17,-13,-38,-72,45,0,1,-1,9,-16,,,,,,,,-4,,-1,5,-9,-9,3,,,,,,,
137850_4..S01X003::1404532800.0,24,,,17,19,15,82,2,-8,-5,71,23,4,-178,21,7,-2,14,-4,41,28,22,1,,-18,-11,3,,,,,,,,,,,,,,0,5,-12,-7,7,8,11,,,,,,,
135150_4..S01R::1404532800.0,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,12,13,17,10,-7,130,,,,,,,,,,,,,,
139050_4..S01X003::1404532800.0,,,,26,13,14,39,9,13,-12,-19,86,10,,2,14,-8,3,13,-10,50,-5,-8,,,9,22,,,,,,,,,,,,,,13,-1,10,12,-14,-10,5,,,,,,,
140250_4..S01X003::1404532800.0,,,,,,17,31,8,3,-3,-19,3,5,,60,-9,12,-9,-11,,,-39,-1,,,-11,4,,,,,,,,,,,,,,5,18,-4,-1,-92,-11,,,,,,,,
141450_4..S01X003::1404532800.0,,,,,,,27,-3,6,14,-19,,18,,45,16,20,2,5,,,35,12,,,25,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
142500_4..S01X003::1404532800.0,,,,,,,,1,14,0,11,,-12,,,-7,,3,-11,,,,-4,,,12,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,
133050_4..S::1404532800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,55,17,,,,,,,,,,,,,,,
000400_4..S01X003::1404532800.0,,,,,,,,,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
