,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
120550_2..N01R::1404360000.0,34,19,-2,56,6,-2,28,29,-13,34,32,206,,,16,,23,18,32,35,2,13,,-6,-9,,32,56,4,,7,35,,27,19,-2,10,,-45,1,9,,1,,39,2,-20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121350_2..N01R::1404360000.0,52,2,4,-6,16,18,54,31,15,53,40,-12,20,,22,,-20,41,5,-9,-25,0,,18,-9,,21,68,2,,-6,12,8,4,21,-2,19,,18,-8,3,15,21,,-2,2,10,-6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122350_2..N01R::1404360000.0,121,19,-9,52,2,7,19,104,-2,32,11,-13,11,71,-20,-5,34,16,-9,16,-7,-7,-5,2,6,2,-3,69,13,-1,-1,7,3,-34,6,429,7,5,34,7,7,10,18,-14,13,6,2,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123400_2..N01R::1404360000.0,240,8,11,41,-9,-1,-6,-4,7,7,23,-7,9,-19,-3,13,7,14,-22,6,3,10,2,-3,3,20,7,57,18,9,-11,10,-7,16,-1,6,3,8,-6,12,-1,21,5,7,50,19,7,12,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124450_2..N01R::1404360000.0,,,,,,,,,14,3,17,-4,17,191,,5,,35,-46,,,,15,,,9,2,,16,-35,,43,0,,,,-23,-9,,12,,-5,,-1,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125700_2..N01R::1404360000.0,,,,,,,,,,,115,20,75,-19,,6,,,1,,,,-6,,,7,,,,-1,,,24,,,,,1,,66,,-9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114550_2..N01R::1404360000.0,19,-4,14,30,,,,,,,,,,,7,,,,,24,0,,,-6,,,,42,,,13,,,,,1,,,,,15,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121650_2..N01R::1404360000.0,41,470,4,51,21,16,41,32,10,0,37,3,36,,-4,-6,47,31,-3,-6,18,0,,24,9,-4,-3,79,20,,10,8,-2,19,40,25,-2,,108,19,15,1,-26,,18,74,13,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126500_2..N01R::1404360000.0,,,,,,,,,,,,92,14,-49,,-3,,,,,,,15,,,4,,,,-4,,,14,,,,,19,,41,,39,,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127500_2..N01R::1404360000.0,,,,,,,,,,,,117,40,-79,,1,,,,,,,7,,,12,,,,-14,,,-1,,,,,58,,33,,53,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
