,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
064150_2..N01X032::1404532800.0,,,,,,,12,-3,5,0,40,8,15,161,,4,-1,12,12,,,-3,-10,,,9,21,,13,0,,-19,3,,39,,21,2,13,-4,,8,,7,27,22,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065350_2..N01X033::1404532800.0,3,4,3,71,,,,,,,,,,,,,,,,,9,,,-10,,,,51,,,20,,,,,2,,,,,-9,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065350_2..N01X032::1404532800.0,,,,,,,-7,1,-24,-3,8,-10,35,41,,-7,13,7,5,,,11,-3,,,-4,9,,-20,10,,-17,11,,35,,16,10,-4,11,,13,,14,-24,4,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066550_2..N01X033::1404532800.0,16,0,-26,-49,,,,,,,,,,,,,,,,,16,,,11,,,,59,,,15,,,,,-23,,,,,-67,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066550_2..N01X032::1404532800.0,,,,,,,11,0,-13,-28,12,-12,19,11,,-3,22,11,-36,,,26,-16,,,5,7,,17,-1,,23,-9,,45,,-13,6,10,12,,4,,-14,13,9,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067750_2..N01X033::1404532800.0,26,-5,-11,341,,,,,,,,,,,,,,,,,-10,,,12,,,,66,,,5,,,,,-10,,,,,11,,,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067750_2..N01X032::1404532800.0,,,,,,,3,-10,4,3,9,9,9,-19,,1,22,10,28,,,20,13,,,6,25,,7,-8,,1,1,,31,,0,-4,5,26,,-23,,-3,23,13,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068950_2..N01X033::1404532800.0,9,16,20,161,,,,,,,,,,,,,,,,,10,,,3,,,,74,,,-4,,,,,13,,,,,7,,,,,,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068950_2..N01X032::1404532800.0,,,,,,,-26,31,-20,24,21,-6,44,11,,-7,-37,11,3,,,19,21,,,-5,8,,16,16,,7,3,,59,,3,17,11,12,,17,,-10,-3,8,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070150_2..N01X033::1404532800.0,20,-10,8,11,,,,,,,,,,,,,,,,,6,,,6,,,,71,,,-9,,,,,13,,,,,0,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070150_2..N01X032::1404532800.0,,,,,,,5,52,9,17,22,15,23,11,,-2,22,6,5,,,10,3,,,22,8,,28,-2,,30,11,,30,,7,-5,30,29,,14,,-7,36,21,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071350_2..N01X033::1404532800.0,25,-9,-3,-19,,,,,,,,,,,,,,,,,6,,,0,,,,45,,,-6,,,,,14,,,,,8,,,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071350_2..N01X032::1404532800.0,,,,,,,21,9,15,6,19,0,-19,41,,-7,13,4,10,,,65,2,,,-10,7,,24,-3,,39,0,,55,,6,-3,-4,15,,3,,-3,43,30,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072550_2..N01X033::1404532800.0,22,-11,-7,11,,,,,,,,,,,,,,,,,1,,,10,,,,54,,,-3,,,,,14,,,,,8,,,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072550_2..N01X032::1404532800.0,,,,,,,14,19,6,11,18,7,19,11,,18,10,8,17,,,-6,6,,,19,25,,8,13,,6,9,,49,,10,15,21,18,,12,,15,27,25,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073750_2..N01X033::1404532800.0,75,4,3,-79,,,,,,,,,,,,,,,,,9,,,7,,,,71,,,-14,,,,,10,,,,,12,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073750_2..N01X032::1404532800.0,,,,,,,21,25,9,17,24,7,28,11,,-1,3,-3,7,,,-4,-4,,,-4,12,,0,-31,,15,-5,,47,,11,3,-46,24,,1,,-37,27,-2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074950_2..N01X033::1404532800.0,6,12,12,-49,,,,,,,,,,,,,,,,,9,,,5,,,,50,,,-5,,,,,12,,,,,3,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074950_2..N01X032::1404532800.0,,,,,,,,,,,,,,5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076150_2..N01X033::1404532800.0,-2,-1,1,-19,,,,,,,,,,,,,,,,,3,,,16,,,,68,,,20,,,,,-3,,,,,-4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076150_2..N01X032::1404532800.0,,,,,,,-6,6,20,26,14,16,37,161,,10,23,-3,11,,,9,-1,,,16,14,,23,3,,23,-2,,32,,-30,8,7,6,,22,,1,13,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075550_2..N01X032::1404532800.0,,,,,,,10,18,-6,-37,9,13,33,11,,17,-1,8,2,,,23,12,,,110,1,,-2,18,,27,-7,,29,,11,15,15,1,,6,,16,1,8,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077350_2..N01X033::1404532800.0,11,-15,0,-19,,,,,,,,,,,,,,,,,-26,,,-1,,,,64,,,-34,,,,,12,,,,,33,,,,,,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077350_2..N01X032::1404532800.0,,,,,,,-60,-4,-5,5,88,-11,-10,-19,,-3,-35,25,-2,,,12,-11,,,8,11,,20,3,,25,-13,,54,,-11,13,14,14,,2,,-11,23,15,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078550_2..N01X033::1404532800.0,0,9,8,341,,,,,,,,,,,,,,,,,14,,,0,,,,56,,,-5,,,,,5,,,,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078550_2..N01X032::1404532800.0,,,,,,,28,10,13,16,25,14,21,-19,,21,9,29,7,,,29,-7,,,20,10,,24,-4,,19,8,,40,,11,26,16,24,,1,,-15,21,4,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079750_2..N01X033::1404532800.0,22,-7,5,-19,,,,,,,,,,,,,,,,,-6,,,7,,,,40,,,11,,,,,-13,,,,,-9,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079750_2..N01X032::1404532800.0,,,,,,,0,-6,20,-9,84,-8,25,-19,,1,9,11,10,,,16,-6,,,10,20,,-10,7,,17,-8,,33,,2,12,-2,16,,6,,-9,33,-7,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080950_2..N01X033::1404532800.0,10,7,5,-19,,,,,,,,,,,,,,,,,6,,,-11,,,,48,,,15,,,,,0,,,,,-4,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080950_2..N01X032::1404532800.0,,,,,,,20,7,34,25,33,-3,21,11,,-7,28,23,25,,,2,15,,,-4,22,,20,-10,,27,9,,21,,21,22,28,15,,-27,,19,7,-1,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082150_2..N01X033::1404532800.0,28,7,10,-49,,,,,,,,,,,,,,,,,8,,,-79,,,,62,,,-4,,,,,5,,,,,-26,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082150_2..N01X032::1404532800.0,,,,,,,5,3,-4,-3,109,9,21,-49,,-8,11,-7,12,,,-3,-13,,,0,-7,,0,-31,,2,16,,54,,9,4,3,3,,-2,,15,58,3,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083350_2..N01X033::1404532800.0,147,6,18,101,,,,,,,,,,,,,,,,,4,,,2,,,,64,,,19,,,,,8,,,,,22,,,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083350_2..N01X032::1404532800.0,,,,,,,18,1,3,-3,0,3,68,-19,,3,-22,2,-5,,,21,0,,,2,0,,22,7,,-1,-1,,51,,-2,9,-10,-9,,4,,-3,20,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084550_2..N01X033::1404532800.0,15,14,-12,-19,,,,,,,,,,,,,,,,,15,,,7,,,,208,,,-1,,,,,14,,,,,10,,,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084550_2..N01X032::1404532800.0,,,,,,,18,32,23,10,8,-9,43,131,,3,41,32,11,,,20,35,,,27,12,,16,8,,3,25,,47,,15,-1,39,7,,18,,-2,34,26,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085750_2..N01X033::1404532800.0,8,-8,18,-109,,,,,,,,,,,,,,,,,5,,,7,,,,78,,,-7,,,,,16,,,,,4,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085750_2..N01X032::1404532800.0,,,,,,,15,21,7,-26,24,5,30,-19,,9,6,10,11,,,28,24,,,13,19,,-18,-5,,31,27,,53,,-3,-2,17,-7,,-4,,3,38,15,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086950_2..N01X033::1404532800.0,19,-10,-22,-79,,,,,,,,,,,,,,,,,2,,,7,,,,68,,,-12,,,,,18,,,,,-30,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086950_2..N01X032::1404532800.0,,,,,,,23,1,23,9,59,-6,16,-19,,-35,9,19,4,,,-30,-2,,,6,7,,28,6,,16,7,,35,,17,14,-44,15,,-12,,-10,12,14,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088150_2..N01X033::1404532800.0,-5,-6,-20,-19,,,,,,,,,,,,,,,,,12,,,9,,,,47,,,-1,,,,,-9,,,,,11,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088150_2..N01X032::1404532800.0,,,,,,,5,12,20,26,25,-6,43,11,,-10,-16,39,15,,,20,-1,,,21,22,,5,9,,16,-3,,41,,24,-18,16,12,,-1,,-37,39,5,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089350_2..N01X033::1404532800.0,18,0,14,-49,,,,,,,,,,,,,,,,,-4,,,-4,,,,73,,,10,,,,,2,,,,,14,,,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089350_2..N01X032::1404532800.0,,,,,,,10,-25,17,6,-1,5,40,-49,,1,1,-16,0,,,-5,12,,,6,5,,-8,-9,,18,10,,52,,4,-5,18,-6,,-5,,-6,11,17,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090550_2..N01X033::1404532800.0,10,10,434,41,,,,,,,,,,,,,,,,,-12,,,-7,,,,62,,,-3,,,,,3,,,,,32,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090550_2..N01X032::1404532800.0,,,,,,,3,12,14,-3,19,14,28,11,,15,22,3,-1,,,19,1,,,6,5,,32,3,,19,17,,49,,11,7,4,27,,21,,12,23,4,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091750_2..N01X033::1404532800.0,29,7,12,-49,,,,,,,,,,,,,,,,,190,,,10,,,,78,,,12,,,,,5,,,,,20,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091750_2..N01X032::1404532800.0,,,,,,,14,13,9,6,7,-2,41,-49,,-2,16,4,13,,,19,13,,,97,19,,3,21,,23,16,,54,,-9,13,-4,0,,-11,,-11,43,22,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092950_2..N01X033::1404532800.0,3,-8,2,461,,,,,,,,,,,,,,,,,4,,,15,,,,78,,,15,,,,,24,,,,,-9,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092950_2..N01X032::1404532800.0,,,,,,,7,22,25,16,7,17,21,-19,,13,-3,17,-3,,,15,28,,,12,27,,9,13,,19,13,,55,,32,14,11,2,,13,,14,17,28,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094150_2..N01X033::1404532800.0,15,16,13,161,,,,,,,,,,,,,,,,,10,,,6,,,,62,,,-5,,,,,14,,,,,6,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094150_2..N01X032::1404532800.0,,,,,,,24,5,33,16,19,-8,13,41,,-2,30,1,1,,,8,6,,,-4,6,,6,16,,22,7,,35,,14,-11,-4,10,,14,,-6,57,31,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095350_2..N01X033::1404532800.0,21,-2,5,71,,,,,,,,,,,,,,,,,13,,,8,,,,70,,,-4,,,,,-8,,,,,0,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095350_2..N01X032::1404532800.0,,,,,,,31,18,10,32,-4,13,12,-19,,17,33,20,8,,,24,-8,,,13,13,,-30,-1,,36,4,,62,,11,25,4,30,,9,,12,45,-8,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096550_2..N01X033::1404532800.0,35,13,0,-139,,,,,,,,,,,,,,,,,6,,,-24,,,,70,,,-9,,,,,13,,,,,-2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096550_2..N01X032::1404532800.0,,,,,,,14,10,22,4,-25,16,29,11,,-5,7,7,21,,,30,-1,,,-3,17,,4,5,,21,20,,31,,14,-5,18,1,,20,,-3,51,36,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097750_2..N01X033::1404532800.0,21,-9,-5,11,,,,,,,,,,,,,,,,,-8,,,10,,,,64,,,6,,,,,20,,,,,-14,,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097750_2..N01X032::1404532800.0,,,,,,,-10,30,0,13,43,-14,8,-19,,-12,354,-1,5,,,10,-4,,,-5,4,,0,2,,20,1,,38,,8,7,-2,8,,7,,10,29,22,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098950_2..N01X033::1404532800.0,21,-10,-4,-79,,,,,,,,,,,,,,,,,-6,,,11,,,,56,,,9,,,,,18,,,,,-12,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098950_2..N01X032::1404532800.0,,,,,,,26,72,8,4,1,14,55,-19,,22,20,18,-8,,,7,13,,,18,-2,,19,-13,,219,22,,32,,7,20,-1,2,,0,,-12,285,30,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100150_2..N01X033::1404532800.0,-23,-13,22,371,,,,,,,,,,,,,,,,,19,,,5,,,,58,,,26,,,,,13,,,,,23,,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100150_2..N01X032::1404532800.0,,,,,,,33,4,17,25,13,-11,24,-49,,-6,7,7,-47,,,29,1,,,-5,3,,87,12,,28,-9,,31,,184,18,17,8,,30,,-15,31,3,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101350_2..N01X033::1404532800.0,,,,-289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101350_2..N01X032::1404532800.0,,,,,,,,,-240,6,38,4,84,-19,,-14,,0,3,,,,14,,,25,3,,44,15,,,12,,,,7,14,,73,,26,,10,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102550_2..N01X033::1404532800.0,21,-13,2,11,,,,,,,,,,,,,,,,,-4,,,0,,,,44,,,15,,,,,-17,,,,,-7,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102550_2..N01X032::1404532800.0,,,,,,,,,,,,,,161,,6,,,,,,,-2,,,-6,,,,-32,,,,,,,,771,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103750_2..N01X033::1404532800.0,19,-4,22,-79,,,,,,,,,,,,,,,,,12,,,2,,,,57,,,-7,,,,,6,,,,,-2,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103750_2..N01X032::1404532800.0,,,,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104950_2..N01X033::1404532800.0,20,-4,13,-49,,,,,,,,,,,,,,,,,-14,,,-10,,,,67,,,0,,,,,-2,,,,,7,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104950_2..N01X032::1404532800.0,,,,,,,,,,,18,-11,17,-19,,16,,,-5,,,,3,,,14,3,,,4,,,6,,,,3,9,,10,,11,,10,,-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106100_2..N01X033::1404532800.0,,10,11,41,,,,,,,,,,,,,,,,,8,,,1,,,,,,,-9,,,,,12,,,,,0,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106150_2..N01X032::1404532800.0,,,,,,,,,,,,,15,371,,,,,,,,,,,,78,,,,,,,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107350_2..N01X033::1404532800.0,,,,41,,,,,,,,,,,,,,,,,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107350_2..N01X032::1404532800.0,,,,,,,,,,,,,,11,,8,,,,,,,9,,,,,,,10,,,,,,,,-11,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102550_2..N::1404532800.0,,,,,,,,,,29,34,,31,,,,,4,3,,,,,,,1031,0,,,,,,,,,,22,,,59,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108550_2..N01X033::1404532800.0,,,,-619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108550_2..N01X032::1404532800.0,,,,,,,,,,,,,,-1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109750_2..N01X033::1404532800.0,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109750_2..N01X032::1404532800.0,,,,,,,,,,,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106650_2..N01X032::1404532800.0,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128000_2..N01X032::1404532800.0,,,,,,,3,,,,,,,,,,,,,,,27,,,,,,,,,,,,,52,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129200_2..N01X032::1404532800.0,,,,,,,-3,11,,,,,,,,,20,,,,,10,,,,,,,,,,,,,39,,,,1,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130400_2..N01X032::1404532800.0,,,,,,,-5,19,24,,,,,,,,5,,,,,16,,,,,,,,,,6,,,34,,,,-4,,,,,,51,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131600_2..N01X032::1404532800.0,,,,,,,20,14,6,-9,,,,,,,8,46,,,,5,,,,,,,15,,,12,,,54,,5,,-6,,,,,,35,0,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132500_2..N01X033::1404532800.0,38,-3,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132800_2..N01X032::1404532800.0,,,,,,,1,4,-6,18,4,1,19,,,,17,-7,-3,,,12,,,,,6,,0,,,16,19,,76,,13,,-24,-7,,-8,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133700_2..N01X033::1404532800.0,43,-8,0,,,,,,,,,,,,,,,,,,2,,,11,,,,73,,,12,,,,,-10,,,,,-2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134000_2..N01X032::1404532800.0,,,,,,,14,-30,-18,8,28,17,32,-19,,3,11,8,0,,,42,5,,,31,7,,5,9,,39,8,,52,,-15,8,19,-2,,29,,0,51,13,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134900_2..N01X033::1404532800.0,19,-5,-6,11,,,,,,,,,,,,,,,,,9,,,15,,,,49,,,-10,,,,,-7,,,,,-3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135200_2..N01X032::1404532800.0,,,,,,,23,11,18,6,5,11,29,-19,,-4,15,12,20,,,22,17,,,1,21,,0,-4,,-9,-19,,56,,-17,28,30,0,,19,,-10,42,14,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136100_2..N01X033::1404532800.0,7,9,-162,191,,,,,,,,,,,,,,,,,78,,,-30,,,,59,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136400_2..N01X032::1404532800.0,,,,,,,-2,10,15,-1,29,2,30,71,,-7,21,15,-18,,,16,-3,,,0,-9,,21,5,,14,21,,39,,-5,-22,1,17,,-62,,16,32,13,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137300_2..N01X033::1404532800.0,43,-6,-70,-19,,,,,,,,,,,,,,,,,11,,,24,,,,868,,,-2,,,,,-5,,,,,-24,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137600_2..N01X032::1404532800.0,,,,,,,-4,21,44,22,31,-33,16,-19,,3,15,30,12,,,11,14,,,6,16,,24,-9,,7,-16,,35,,22,-6,-1,36,,18,,-3,24,3,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138500_2..N01X033::1404532800.0,,,,1841,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138800_2..N01X032::1404532800.0,,,,,,,,-72,112,14,29,5,13,41,,0,,15,7,,,,3,,,7,12,,4,9,,70,7,,,,14,-14,,24,,9,,-6,24,28,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140050_2..N01X032::1404532800.0,,,,,,,,,94,11,8,3,38,-19,,5,,18,-10,,,,22,,,12,-2,,10,-14,,-101,2,,,,6,-9,,-8,,-13,,-1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140900_2..N01X033::1404532800.0,28,19,24,-79,,,,,,,,,,,,,,,,,2,,,23,,,,46,,,3,,,,,20,,,,,8,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141250_2..N01X032::1404532800.0,,,,,,,,,,,17,15,13,-19,,-15,,,-42,,,,18,,,-7,8,,,-7,,,-3,,,,8,-1,,4,,23,,8,,-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142100_2..N01X033::1404532800.0,8,17,23,-78,,,,,,,,,,,,,,,,,-8,,,6,,,,-88,,,9,,,,,16,,,,,-12,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142450_2..N01X032::1404532800.0,,,,,,,,,,,,,-13,11,,-6,,,,,,,9,,,21,,,,17,,,-17,,,,,19,,,,-4,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143150_2..N08X016::1404532800.0,,,,,,,,,,,,,,41,,-35,,,,,,,-7,,,,,,,-3,,,,,,,,-2,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143300_2..N01X033::1404532800.0,,,,41,,,,,,,,,,,,,,,,,4,,,,,,,,,,-5,,,,,,,,,,9,,,,,,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144500_2..N01X033::1404532800.0,,,,-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145150_2..N08X016::1404532800.0,,,,,,,,,,,,,,-709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002500_2..N01X033::1404532800.0,,,,-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147150_2..N08X016::1404532800.0,,,,,,,,,,,,,,-1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144500_2..N01X033::1404619200.0,18,-3,-28,71,,,,,,,,,,,,,,,,,-1,,,15,,,,40,,,12,,,,,-4,,,,,-33,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145150_2..N08X016::1404619200.0,,,,,,,0,2,17,0,-81,17,41,-19,,8,21,6,17,,,21,-10,,,10,-5,,12,-1,,25,-1,,45,,4,-35,-27,5,,6,,6,17,7,,,21,,,,,,,,,,,5,-9,5,13,-11,-2,8,-10,15,-14,-11,1,,,,,,,,,,
002500_2..N01X033::1404619200.0,37,-8,4,41,,,,,,,,,,,,,,,,,-7,,,-5,,,,58,,,3,,,,,28,,,,,6,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147150_2..N08X016::1404619200.0,,,,,,,1,110,-17,12,-72,-5,15,-19,,8,35,-29,17,,,40,8,,,107,-6,,37,15,,1,-5,,48,,1,-10,9,21,,25,,-1,0,22,,,0,,,,,,,,,,,7,0,3,7,-3,-14,12,-2,22,-6,15,1,,,,,,,,,,
138800_2..N01X032::1404619200.0,,,,,,,-61,5,,,,,,,,,22,,,,,26,,,,,,,,,,,,,18,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140050_2..N01X032::1404619200.0,,,,,,,15,-3,,,,,,,,,-18,,,,,2,,,,,,,,,,10,,,57,,,,24,,,,,,27,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141250_2..N01X032::1404619200.0,,,,,,,11,-3,162,28,,,,,,,6,-20,,,,23,,,,,,,18,,,29,,,50,,,,17,,,,,,25,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142100_2..N01X033::1404619200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142450_2..N01X032::1404619200.0,,,,,,,-10,15,199,16,-38,-24,,,,,26,23,3,,,-1,,,,,8,,-1,,,13,,,47,,15,,5,21,,,,,32,2,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
