,239S,234S,640S,501S,416S,217S,250S,502S,418S,218S,235S,621S,219S,503S,419S,220S,420S,626S,504S,221S,423S,505S,222S,213S,629S,631S,214S,635S,215S,216S,236S,237S,238S,241S,242S,243S,244S,245S,246S,247S,225S,226S,227S,120S,123S,127S,128S,132S,137S,228S,229S,230S,231S,232S,204S,205S,206S,207S,208S,209S,210S,211S,212S,233S
070500_5..S03R::1404705600.0,-9,11,29,-79,30,25,,11,32,12,2,86,-8,30,8,22,29,0,21,58,18,31,23,7,19,35,28,30,-1,10,,,,-20,-22,6,-237,-6,1,35,,,,,,,,,,,,,,,,,,,,,,,,
071300_5..S03R::1404705600.0,14,28,38,-19,-1,-2,,17,23,16,30,-19,-9,-4,32,-7,12,-7,51,27,17,44,26,4,34,33,1,49,13,2,,,,32,-37,28,-176,11,12,46,,,,,,,,,,,,,,,,,,,,,,,,
071900_5..S03R::1404705600.0,21,40,25,41,12,23,,25,21,-5,-23,23,2,16,-9,-7,43,24,39,33,9,36,52,-78,15,25,12,65,1,14,,,,8,1,-3,-190,10,13,37,,,,,,,,,,,,,,,,,,,,,,,,
072900_5..S03R::1404705600.0,15,29,17,11,18,14,,19,-2,-1,8,-1,-15,17,13,20,23,2,20,1,-18,33,30,13,7,29,30,65,1,20,,,,4,0,3,-188,-13,0,61,,,,,,,,,,,,,,,,,,,,,,,,
073700_5..S03R::1404705600.0,28,46,15,-79,-1,24,,21,14,11,21,37,20,10,17,16,12,39,35,22,8,66,52,56,25,6,8,47,7,-3,,,,19,15,-14,-205,25,-2,66,,,,,,,,,,,,,,,,,,,,,,,,
074500_5..S03R::1404705600.0,-2,14,42,-19,11,25,,18,30,8,10,8,-11,-19,12,-5,18,3,41,7,6,42,49,24,4,25,24,19,6,-2,,,,6,10,13,40,7,20,54,,,,,,,,,,,,,,,,,,,,,,,,
075300_5..S03R::1404705600.0,16,39,24,191,-10,9,,19,35,2,23,19,11,16,-17,19,22,16,48,18,-17,40,23,21,18,38,18,38,21,6,,,,16,21,15,-214,-7,13,55,,,,,,,,,,,,,,,,,,,,,,,,
076100_5..S03R::1404705600.0,10,28,20,-19,-2,-7,,3,17,-14,20,22,-4,-3,-1,-14,8,30,24,-2,-8,44,23,11,12,27,-3,36,12,1,,,,16,-10,-8,-192,14,-10,62,,,,,,,,,,,,,,,,,,,,,,,,
076900_5..S03R::1404705600.0,19,38,16,-19,6,18,,28,14,-9,10,21,-4,19,16,8,18,21,42,11,11,29,47,-25,29,41,-16,62,11,-8,,,,30,21,11,-182,21,26,63,,,,,,,,,,,,,,,,,,,,,,,,
077700_5..S03R::1404705600.0,10,-17,12,-19,-35,2,,-6,8,-12,5,15,122,-7,47,80,18,12,43,2,23,53,43,38,18,17,0,47,10,7,,,,8,0,5,-209,-6,-4,56,,,,,,,,,,,,,,,,,,,,,,,,
078500_5..S03R::1404705600.0,29,19,14,11,12,-3,,21,36,15,27,27,-6,-26,34,-10,29,43,87,11,30,60,12,35,33,94,11,37,19,-1,,,,34,26,20,-178,24,-3,45,,,,,,,,,,,,,,,,,,,,,,,,
079300_5..S03R::1404705600.0,28,52,49,11,22,16,,25,67,-8,16,42,-3,17,26,6,35,6,43,33,28,108,46,34,5,47,30,36,-4,5,,,,30,-10,18,-223,-2,19,35,,,,,,,,,,,,,,,,,,,,,,,,
080100_5..S03R::1404705600.0,18,19,8,-49,31,20,,4,36,7,-1,17,-6,3,105,-9,18,-5,35,41,1,44,20,6,25,3,2,38,-11,13,,,,-6,-35,4,-241,-7,3,41,,,,,,,,,,,,,,,,,,,,,,,,
080900_5..S03R::1404705600.0,9,32,18,-19,14,25,,3,31,3,-4,58,-10,24,5,-7,36,40,46,12,33,29,24,12,1,40,2,29,-15,-4,,,,10,12,-15,-202,35,168,50,,,,,,,,,,,,,,,,,,,,,,,,
081700_5..S03R::1404705600.0,-7,34,14,-49,-66,9,,-5,4,-5,-3,-6,16,21,17,20,32,-2,22,8,6,36,44,1,10,63,-1,9,12,4,,,,27,4,8,-212,21,9,24,,,,,,,,,,,,,,,,,,,,,,,,
082500_5..S03R::1404705600.0,23,17,45,-19,-2,2,,-27,-11,-11,27,17,-28,22,17,-33,13,36,44,-75,7,49,44,26,9,26,9,60,20,-26,,,,15,4,0,-203,-10,-2,30,,,,,,,,,,,,,,,,,,,,,,,,
083300_5..S03R::1404705600.0,22,20,52,11,23,20,,-4,22,10,15,13,-5,-7,33,-37,2,8,27,11,17,26,46,11,-9,-7,14,0,2,-4,,,,-24,15,17,-122,-4,6,38,,,,,,,,,,,,,,,,,,,,,,,,
084100_5..S03R::1404705600.0,15,11,44,101,2,3,,17,14,-6,-5,1,11,13,11,16,37,-17,47,13,10,40,14,28,22,23,21,36,5,-9,,,,4,12,16,-103,12,18,44,,,,,,,,,,,,,,,,,,,,,,,,
084750_5..S03R::1404705600.0,0,34,12,-79,-16,19,,16,18,6,12,-16,-7,10,12,-3,28,8,35,25,-12,27,26,30,22,39,24,18,-2,19,,,,14,18,-10,-102,-12,0,51,,,,,,,,,,,,,,,,,,,,,,,,
085450_5..S03R::1404705600.0,2,13,17,101,-31,18,,9,-2,8,20,38,-3,4,10,-36,41,-4,37,22,35,41,32,7,17,36,5,47,18,11,,,,28,43,10,-68,-19,19,30,,,,,,,,,,,,,,,,,,,,,,,,
086000_5..S03R::1404705600.0,-41,40,10,71,-41,16,,1,23,5,15,30,-7,1,3,1,21,-12,34,10,-3,47,21,23,-7,23,23,18,8,-24,,,,15,-1,2,-27,3,17,41,,,,,,,,,,,,,,,,,,,,,,,,
086900_5..S03R::1404705600.0,19,55,3,-79,9,16,,2,74,4,33,45,-10,-2,19,52,48,20,29,8,14,0,44,2,24,11,2,59,10,30,,,,25,27,22,15,6,13,39,,,,,,,,,,,,,,,,,,,,,,,,
087550_5..S03R::1404705600.0,9,-14,177,-79,-3,6,,15,10,-3,15,19,12,15,14,-13,-2,39,3,-5,52,8,30,24,-20,30,22,22,-22,3,,,,-1,10,14,12,13,13,47,,,,,,,,,,,,,,,,,,,,,,,,
088250_5..S03R::1404705600.0,5,40,27,-79,-33,16,,19,28,1,29,33,5,4,20,1,40,41,27,13,15,-8,27,15,31,46,30,63,6,18,,,,17,7,8,-93,-10,20,58,,,,,,,,,,,,,,,,,,,,,,,,
088900_5..S03R::1404705600.0,10,21,-19,131,-13,19,,13,70,-8,18,8,7,10,17,-16,9,21,34,16,69,-2,29,25,-1,21,70,38,-22,-98,,,,5,9,6,-90,17,69,53,,,,,,,,,,,,,,,,,,,,,,,,
