,239S,234S,640S,501S,416S,217S,250S,502S,418S,218S,235S,621S,219S,503S,419S,220S,420S,626S,504S,221S,423S,505S,222S,213S,629S,631S,214S,635S,215S,216S,236S,237S,238S,241S,242S,243S,244S,245S,246S,247S,225S,226S,227S,120S,123S,127S,128S,132S,137S,228S,229S,230S,231S,232S,204S,205S,206S,207S,208S,209S,210S,211S,212S,233S
080250_5..S01X006::1404619200.0,,,,-19,,,,24,,,,,,13,,,,,5,,,-24,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081450_5..S01X006::1404619200.0,,,,-19,,,,13,,,,,,11,,,,,13,,,15,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082650_5..S01X006::1404619200.0,,,,11,,,,18,,,,,,11,,,,,8,,,4,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083950_5..S01X006::1404619200.0,,,,-79,,,,22,,,,,,17,,,,,18,,,20,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085150_5..S01X006::1404619200.0,,,,-49,,,,23,,,,,,-15,,,,,7,,,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086350_5..S01X006::1404619200.0,,,,-49,,,,2,,,,,,-3,,,,,28,,,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087550_5..S01X006::1404619200.0,,,,-49,,,,5,,,,,,-5,,,,,24,,,27,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088750_5..S01X006::1404619200.0,,,,41,,,,-2,,,,,,23,,,,,23,,,20,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089950_5..S01X006::1404619200.0,,,,-49,,,,12,,,,,,5,,,,,4,,,5,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091150_5..S01X006::1404619200.0,,,,-49,,,,1,,,,,,-2,,,,,28,,,25,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092350_5..S01X006::1404619200.0,,,,-19,,,,15,,,,,,8,,,,,-22,,,8,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093550_5..S01X006::1404619200.0,,,,-49,,,,-11,,,,,,16,,,,,20,,,-7,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094750_5..S01X006::1404619200.0,,,,11,,,,8,,,,,,1,,,,,27,,,-2,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095950_5..S01X006::1404619200.0,,,,11,,,,15,,,,,,9,,,,,39,,,3,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097150_5..S01X006::1404619200.0,,,,11,,,,8,,,,,,6,,,,,6,,,6,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098350_5..S01X006::1404619200.0,,,,-49,,,,20,,,,,,-11,,,,,21,,,-6,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099550_5..S01X006::1404619200.0,,,,-19,,,,17,,,,,,12,,,,,13,,,18,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100750_5..S01X006::1404619200.0,,,,11,,,,11,,,,,,0,,,,,11,,,9,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101950_5..S01X006::1404619200.0,,,,-49,,,,20,,,,,,8,,,,,34,,,2,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103150_5..S01X006::1404619200.0,,,,-19,,,,2,,,,,,2,,,,,7,,,10,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104350_5..S01X006::1404619200.0,,,,-49,,,,26,,,,,,16,,,,,10,,,8,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105550_5..S01X006::1404619200.0,,,,-49,,,,6,,,,,,4,,,,,6,,,12,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106750_5..S01X006::1404619200.0,,,,11,,,,4,,,,,,28,,,,,-7,,,-5,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107950_5..S01X006::1404619200.0,,,,-49,,,,14,,,,,,12,,,,,-14,,,20,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109150_5..S01X006::1404619200.0,,,,-49,,,,19,,,,,,10,,,,,4,,,4,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110350_5..S01X006::1404619200.0,,,,-19,,,,7,,,,,,5,,,,,9,,,11,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111550_5..S01X006::1404619200.0,,,,-79,,,,17,,,,,,8,,,,,3,,,2,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112750_5..S01X006::1404619200.0,,,,-19,,,,6,,,,,,9,,,,,-14,,,-7,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113950_5..S01X006::1404619200.0,,,,-19,,,,6,,,,,,25,,,,,18,,,19,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115150_5..S01X006::1404619200.0,,,,11,,,,4,,,,,,1,,,,,31,,,2,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116350_5..S01X006::1404619200.0,,,,-19,,,,6,,,,,,27,,,,,23,,,21,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117550_5..S01X006::1404619200.0,,,,-49,,,,24,,,,,,18,,,,,11,,,15,,-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118750_5..S01X006::1404619200.0,,,,11,,,,18,,,,,,9,,,,,6,,,3,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119950_5..S01X006::1404619200.0,,,,-19,,,,4,,,,,,5,,,,,10,,,15,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121150_5..S01X006::1404619200.0,,,,-49,,,,15,,,,,,6,,,,,26,,,0,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122350_5..S01X006::1404619200.0,,,,-19,,,,4,,,,,,25,,,,,19,,,-13,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123550_5..S01X006::1404619200.0,,,,-19,,,,23,,,,,,10,,,,,5,,,4,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124750_5..S01X006::1404619200.0,,,,-19,,,,1,,,,,,21,,,,,17,,,11,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125950_5..S01X006::1404619200.0,,,,-79,,,,4,,,,,,-3,,,,,28,,,-28,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127150_5..S01X006::1404619200.0,,,,-19,,,,9,,,,,,5,,,,,-21,,,13,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128350_5..S01X006::1404619200.0,,,,-19,,,,17,,,,,,4,,,,,27,,,26,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129550_5..S01X006::1404619200.0,,,,-49,,,,7,,,,,,25,,,,,22,,,22,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130750_5..S01X006::1404619200.0,,,,-49,,,,2,,,,,,21,,,,,17,,,17,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131950_5..S01X006::1404619200.0,,,,-49,,,,22,,,,,,15,,,,,16,,,17,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133150_5..S01R::1404619200.0,,,,11,,,,5,,,,,,0,,,,,2,,,6,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134350_5..S01R::1404619200.0,,,,-19,,,,11,,,,,,6,,,,,35,,,1,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135550_5..S01R::1404619200.0,,,,-19,,,,-5,,,,,,14,,,,,4,,,31,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136750_5..S01R::1404619200.0,,,,371,,,,34,,,,,,20,,,,,12,,,128,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137950_5..S01R::1404619200.0,,,,251,,,,22,,,,,,7,,,,,29,,,27,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139100_5..S01R::1404619200.0,,,,-229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140400_5..S01R::1404619200.0,,,,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142200_5..S32R::1404619200.0,,,,41,,,,22,,,,,,-2,,,,,30,,,25,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32R::1404619200.0,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141350_5..S32R::1404619200.0,,,,,,,,11,,,,,,13,,,,,19,,,25,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32R::1404705600.0,,,,-139,,,,28,,,,,,15,,,,,35,,,24,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32R::1404705600.0,,,,-1339,,,,5,,,,,,25,,,,,18,,,7,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004200_5..S32R::1404705600.0,,,,41,,,,21,,,,,,-4,,,,,28,,,20,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006200_5..S32R::1404705600.0,,,,101,,,,-15,,,,,,26,,,,,-5,,,16,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008200_5..S32R::1404705600.0,,,,41,,,,-6,,,,,,0,,,,,34,,,19,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010200_5..S32R::1404705600.0,,,,161,,,,10,,,,,,2,,,,,32,,,25,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012200_5..S32R::1404705600.0,,,,11,,,,2,,,,,,1,,,,,4,,,23,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014200_5..S32R::1404705600.0,,,,191,,,,6,,,,,,17,,,,,26,,,2,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016200_5..S32R::1404705600.0,,,,-19,,,,13,,,,,,3,,,,,36,,,5,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018200_5..S32R::1404705600.0,,,,41,,,,29,,,,,,18,,,,,16,,,38,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200_5..S32R::1404705600.0,,,,-19,,,,5,,,,,,9,,,,,-16,,,53,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022200_5..S32R::1404705600.0,,,,11,,,,19,,,,,,8,,,,,38,,,28,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024200_5..S32R::1404705600.0,,,,41,,,,9,,,,,,14,,,,,24,,,0,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026200_5..S32R::1404705600.0,,,,-19,,,,29,,,,,,21,,,,,-8,,,13,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031250_5..S03R::1404705600.0,-5,37,-10,-49,-4,18,,-14,22,7,20,14,-72,8,12,16,13,-7,-21,17,-3,4,51,24,-8,44,4,21,6,-38,,,,1,-7,-8,-19,2,4,40,,,,,,,,,,,,,,,,,,,,,,,,
028200_5..S32R::1404705600.0,,,,-19,,,,53,,,,,,20,,,,,48,,,9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029900_5..S32R::1404705600.0,,,,101,,,,4,,,,,,24,,,,,27,,,24,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
