,255S,249S,239S,232S,229S,128S,123S,224S,301S,248S,256S,233S,250S,132S,127S,225S,257S,234S,230S,251S,226S,231S,137S,235S,227S,252S,120S,236S,237S,253S,302S,228S,254S,238S
071750_3..S01R::1404705600.0,61,2,97,-4,10,34,1,-38,-49,0,179,6,-62,-7,16,-11,74,27,2,4,11,-2,-1,12,7,-14,4,-5,-8,-9,39,6,-9,-11
072550_3..S01R::1404705600.0,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,
073350_3..S01R::1404705600.0,1,1,-18,20,25,25,24,13,-49,-2,15,19,-12,-3,19,8,57,11,10,4,11,54,24,22,7,10,148,1,-5,9,-8,21,197,-5
074150_3..S01R::1404705600.0,10,0,-7,13,14,18,18,27,11,7,240,-2,-66,-5,36,3,78,-23,-4,-14,-19,-1,45,-54,-54,-6,-9,-20,13,-1,-4,18,-1,-13
074950_3..S01R::1404705600.0,-14,6,-23,19,2,8,2,11,-79,1,158,-6,-88,16,23,6,75,9,22,4,7,14,25,-72,1,6,174,8,3,13,0,5,137,6
075750_3..S01R::1404705600.0,26,6,20,-1,30,21,21,13,-79,16,30,-2,-73,1,37,30,76,38,34,12,22,-1,29,29,2,5,49,3,18,5,10,14,0,12
076550_3..S01R::1404705600.0,14,-1,52,-4,16,9,-108,15,-19,0,3,4,-36,15,8,7,107,37,2,4,9,-6,19,47,3,8,-2,-32,-7,13,60,8,8,-7
077350_3..S01R::1404705600.0,3,2,9,-10,-2,17,-1,-3,11,3,-7,-3,-92,14,33,-7,68,19,16,-5,-4,13,14,7,14,13,78,-6,-9,-14,15,220,-5,18
078150_3..S01R::1404705600.0,-18,-5,-15,8,5,6,1,-5,-79,-5,156,11,-69,16,39,-10,64,0,12,5,-7,8,22,25,21,3,119,-27,0,11,-23,1,15,-3
078950_3..S01R::1404705600.0,3,22,-36,19,32,21,2,26,-19,-2,18,18,-83,47,29,4,83,17,-35,-36,5,19,26,36,-4,0,25,0,-6,3,88,14,-3,19
079750_3..S01R::1404705600.0,13,6,-15,13,14,16,15,20,11,-18,23,9,-72,16,20,1,61,12,18,18,16,11,10,22,30,22,-3,-40,12,23,24,25,40,4
080550_3..S01R::1404705600.0,-4,-8,-23,-37,9,17,-2,-1,11,23,17,6,-69,15,12,-7,93,234,17,-2,-49,-6,53,9,18,3,67,11,-1,11,-5,13,20,-4
081350_3..S01R::1404705600.0,-1,6,-17,3,-4,5,5,5,-19,14,23,2,-86,-12,48,8,67,6,-10,-8,-17,-3,11,85,10,7,51,-7,-10,7,-5,-7,-13,-8
082150_3..S01R::1404705600.0,-1,-10,-13,-1,14,-4,-3,2,-19,25,109,19,-81,0,48,-3,81,1,23,-12,-10,7,-4,2,12,2,89,-10,0,6,-17,24,-10,-10
082950_3..S01R::1404705600.0,23,-6,-14,21,35,8,42,4,-19,7,131,14,-105,16,-8,10,60,12,10,-7,10,-9,4,7,6,5,60,-12,9,5,-4,3,13,-1
083750_3..S01R::1404705600.0,21,7,-14,10,11,25,-26,-7,281,12,-1,12,-63,-4,19,13,43,-5,22,25,-23,5,19,12,-38,-5,23,19,7,-4,48,8,23,-2
084550_3..S01R::1404705600.0,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,
085350_3..S01R::1404705600.0,-6,13,3,3,2,21,3,14,-229,14,47,32,-84,2,-6,4,63,8,16,15,5,-7,57,21,1,-4,0,1,-4,7,21,-26,-16,-8
086150_3..S01R::1404705600.0,-12,-5,15,6,4,18,33,5,11,0,11,10,50,23,14,31,55,9,19,9,2,-2,-23,7,-4,16,16,11,2,-4,-13,27,7,-29
086950_3..S01R::1404705600.0,-1,-4,21,-7,12,2,1,0,-19,-1,15,-1,-73,41,-19,-11,122,47,-2,9,-14,28,150,-10,10,17,10,-39,11,-9,10,9,-6,6
087750_3..S01R::1404705600.0,-10,-15,17,9,21,19,24,17,-49,12,9,14,39,-7,29,8,69,31,10,5,7,12,162,11,5,17,23,-6,18,-1,4,-3,10,5
085600_3..S01R::1404705600.0,-8,6,33,34,7,12,-7,7,-139,-4,12,7,62,-10,15,-1,42,-7,0,2,4,-10,12,-10,1,7,-3,9,-7,-10,4,1,7,25
088550_3..S01R::1404705600.0,17,14,11,8,5,6,25,-2,-19,43,446,17,65,-15,29,-9,56,7,18,-23,24,2,92,12,14,-12,5,-7,-10,-5,11,4,5,-10
089500_3..S01R::1404705600.0,27,24,105,7,-7,8,4,11,-49,-4,322,32,-140,-4,36,-2,40,32,12,2,15,14,22,3,16,2,15,-18,7,-2,7,2,1,-35
090400_3..S01R::1404705600.0,172,13,-1,8,55,32,13,9,-79,17,-18,13,-117,16,36,-38,52,4,37,3,-5,9,96,19,17,15,2,-6,13,-15,8,40,19,13
091200_3..S01R::1404705600.0,18,8,31,-6,6,28,7,-1,41,19,93,-7,-5,-4,15,24,71,38,20,-5,14,-3,77,21,6,-19,20,0,19,5,-34,12,-20,8
