,255S,249S,239S,232S,229S,128S,123S,224S,301S,248S,256S,233S,250S,132S,127S,225S,257S,234S,230S,251S,226S,231S,137S,235S,227S,252S,120S,236S,237S,253S,302S,228S,254S,238S
028300_3..S42R::1404619200.0,,,,,,,-202,9,11,,,,,,31,9,,,,,-14,,,,-12,,4,,,,-17,,,
030300_3..S42R::1404619200.0,,,,,,,-208,14,11,,,,,,14,12,,,,,-17,,,,10,,2,,,,-3,,,
032300_3..S42R::1404619200.0,,,,,,,-153,-33,-49,,,,,,19,1,,,,,-19,,,,10,,4,,,,6,,,
034300_3..S42R::1404619200.0,,,,,,,-63,-8,11,,,,,,24,-9,,,,,-2,,,,-3,,-3,,,,0,,,
036200_3..S42R::1404619200.0,,,,,,,17,-6,-19,,,,,,22,16,,,,,12,,,,5,,2,,,,19,,,
038500_3..S42R::1404619200.0,,,,,,,0,5,-19,,,,,,15,1,,,,,3,,,,-35,,2,,,,-4,,,
040400_3..S42R::1404619200.0,,,,,,,9,-11,-19,,,,,,29,-13,,,,,-9,,,,-8,,15,,,,-24,,,
042650_3..S42R::1404619200.0,,,,,,,18,-2,-19,,,,,,30,16,,,,,12,,,,8,,-6,,,,35,,,
045000_3..S42R::1404619200.0,,,,,,,42,13,41,,,,,,40,8,,,,,-17,,,,8,,16,,,,-8,,,
046200_3..S01R::1404619200.0,124,2,-33,9,-6,-5,-15,-1,-49,-4,3,-64,-67,-1,70,0,39,19,-11,-19,-19,3,13,8,-16,-28,-18,5,7,-4,6,10,-28,-19
047200_3..S42R::1404619200.0,,,,,,,6,-3,11,,,,,,22,12,,,,,8,,,,2,,16,,,,-8,,,
047600_3..S01R::1404619200.0,-12,2,-28,-13,14,-12,35,-15,11,-1,6,1,-32,5,25,11,39,-1,-4,10,-16,9,5,-4,10,-10,12,-19,9,2,-2,1,11,-19
048800_3..S01R::1404619200.0,-6,-4,18,-4,13,2,41,-6,-19,2,-13,-7,-39,14,14,-8,60,20,-41,10,0,-1,9,-6,-5,-7,20,5,-4,2,9,-17,14,-5
049900_3..S01R::1404619200.0,-12,-1,47,-4,-1,29,17,-34,41,0,8,6,-39,25,18,-47,38,-2,14,16,-7,-9,31,4,20,-10,-46,-15,10,-1,17,24,9,6
051100_3..S01R::1404619200.0,-5,-8,71,13,5,9,12,-9,11,-33,-12,-64,-7,14,14,12,54,7,24,-16,-18,17,16,14,8,-7,-58,2,3,4,65,4,11,-2
052350_3..S01R::1404619200.0,-5,7,26,-5,28,4,13,-8,-19,8,10,6,-26,-4,21,11,61,0,7,17,1,-13,21,9,-8,-3,28,-4,-9,9,-4,11,19,-10
053550_3..S01R::1404619200.0,-17,14,11,11,-11,6,13,-11,-19,10,8,12,-57,-7,20,-13,53,153,8,1,11,-22,-3,5,5,9,17,-6,-9,-8,-1,-4,2,-10
054750_3..S01R::1404619200.0,3,-5,1,-14,11,-8,20,15,11,-11,-6,11,-46,5,-33,10,18,12,6,5,-16,19,20,26,11,-15,-5,5,-3,-6,9,16,-3,-5
055950_3..S01R::1404619200.0,-9,7,15,18,3,5,5,9,11,7,-17,14,-54,-11,44,0,56,19,-13,-67,-26,-15,-3,2,-8,-1,73,-11,-52,5,-4,-3,10,-11
057150_3..S01R::1404619200.0,4,10,8,-35,14,9,18,9,11,-23,0,17,-50,6,67,7,61,17,5,-5,9,-33,18,-2,8,3,6,-14,11,-19,-8,15,-7,-16
058350_3..S01R::1404619200.0,0,-8,22,-9,-25,20,14,6,-19,-1,-8,-34,-43,25,37,-3,31,23,19,-5,-1,22,21,10,-9,7,-4,-49,9,13,0,18,-9,6
059550_3..S01R::1404619200.0,3,10,14,-11,15,-20,3,-1,11,7,-9,-5,-52,18,53,-4,19,51,-36,-5,-1,16,-15,19,-8,8,30,3,-1,16,11,14,-4,-2
060750_3..S01R::1404619200.0,-16,-10,6,-3,-6,21,-2,-2,101,14,-16,-15,-31,2,51,0,34,114,-8,2,-23,-13,-3,17,-18,-3,-24,2,2,-20,9,7,0,10
061950_3..S01R::1404619200.0,-18,2,3,-3,8,-9,27,-4,-19,2,6,-13,-65,32,26,-5,39,17,2,1,4,-14,10,-19,7,-12,50,-27,4,2,-53,4,12,12
063150_3..S01R::1404619200.0,-9,15,10,8,11,1,27,6,11,16,10,14,-54,6,5,-6,48,1,20,-1,24,15,24,-1,7,3,6,7,1,11,15,16,22,0
064350_3..S01R::1404619200.0,-14,15,19,-3,3,4,-1,1,-19,16,5,6,-58,-18,8,-15,62,2,-2,-12,-12,-5,4,-14,-13,3,25,6,1,11,-6,-2,12,1
065550_3..S01R::1404619200.0,9,-22,8,-6,19,9,8,-10,-49,2,4,-3,-50,1,26,-46,53,26,7,-19,-1,-9,5,13,2,-3,86,6,8,-100,3,9,-5,-17
066750_3..S01R::1404619200.0,-8,0,18,6,-3,8,10,6,-19,-4,11,-14,-62,17,80,1,42,14,17,2,4,0,12,21,16,-12,17,4,-3,-1,-17,13,11,-1
067950_3..S01R::1404619200.0,10,10,-2,-10,-21,0,0,13,-19,9,-1,24,-49,9,10,4,64,7,-3,4,8,30,25,11,-2,14,15,-10,16,-6,-4,17,3,16
069150_3..S01R::1404619200.0,-9,-8,12,12,0,-23,28,3,11,-10,14,-6,-40,12,32,-3,70,9,-9,-58,-3,1,22,12,-9,-8,13,-4,-5,3,-12,18,12,-3
070350_3..S01R::1404619200.0,8,-17,28,15,32,5,26,10,-19,10,-1,-15,-50,1,24,1,44,39,7,11,-27,14,54,-22,-3,-24,20,22,1,12,-2,-2,-4,3
071550_3..S01R::1404619200.0,10,-2,2,15,2,4,15,5,11,-1,-8,-8,-67,12,11,2,51,13,18,3,7,107,5,15,4,13,-7,-1,-10,-7,-4,7,0,17
072750_3..S01R::1404619200.0,-17,2,3,10,-6,20,15,10,-19,-5,6,-1,-57,17,19,4,46,20,35,4,7,16,18,-14,9,12,16,8,3,-10,6,5,-1,7
073950_3..S01R::1404619200.0,-10,-14,24,-5,10,-20,4,28,11,13,11,8,-45,22,-14,12,40,32,1,-32,13,-8,17,4,7,14,30,-18,10,17,-9,8,10,11
075150_3..S01R::1404619200.0,-3,-9,9,9,7,17,22,7,-19,19,17,-13,-47,-2,33,-2,50,6,20,-14,13,11,17,4,8,3,6,-15,-30,-19,-7,16,-29,2
076350_3..S01R::1404619200.0,9,9,-31,-9,-24,41,-2,-6,-19,14,0,3,-33,-1,100,-7,54,13,-22,-2,-4,-6,25,-23,27,10,14,-14,12,-8,7,19,3,10
077550_3..S01R::1404619200.0,5,-7,24,11,17,-25,15,4,-19,-9,-3,-13,-69,20,27,0,67,16,4,1,0,-23,11,42,0,12,-10,4,-1,-7,-3,15,2,2
078750_3..S01R::1404619200.0,-11,-2,30,14,16,30,26,15,-19,3,8,-7,-38,-38,33,4,40,21,-4,-7,4,9,27,8,,-12,22,-13,14,6,5,23,14,15
079950_3..S01R::1404619200.0,-10,22,8,-3,3,28,6,37,-19,28,6,7,-50,-4,55,-21,69,23,19,6,1,7,29,2,-9,9,26,-16,-1,13,21,26,-15,-8
081150_3..S01R::1404619200.0,-12,-8,22,3,9,13,20,12,-19,-9,11,5,-11,3,31,4,46,4,-4,1,0,10,18,0,12,-14,-4,-16,10,-3,-3,12,9,10
082350_3..S01R::1404619200.0,11,6,10,16,-13,-1,47,10,11,10,-8,-12,-64,-5,20,3,63,38,-3,11,-3,28,22,-1,9,-6,8,9,1,-2,-7,23,6,-2
083550_3..S01R::1404619200.0,3,1,22,1,16,-4,5,-5,-19,-7,-4,-13,-56,12,16,-13,61,113,9,-4,-12,-5,15,6,-12,-12,122,-4,-6,1,-2,-3,-35,-3
084750_3..S01R::1404619200.0,3,-16,-14,-2,4,6,-4,-55,11,8,-4,7,-53,18,16,-9,65,6,18,-8,-10,-7,29,21,17,3,12,2,-3,-19,-15,13,-7,2
085950_3..S01R::1404619200.0,2,15,-5,4,26,22,17,-8,-49,16,-9,10,-54,-1,37,-6,55,-22,9,1,29,11,16,16,8,-3,30,2,-1,9,8,35,-8,19
087150_3..S01R::1404619200.0,9,23,9,0,26,6,21,-6,11,-4,-6,6,-62,13,27,18,54,12,24,31,15,-4,-10,28,9,-4,11,1,-3,1,3,12,3,-6
088350_3..S01R::1404619200.0,-35,8,31,8,21,27,9,3,11,8,-8,18,-25,-1,16,-5,23,6,7,-25,-6,11,38,16,12,12,16,-4,-10,-13,-7,21,23,-12
089550_3..S01R::1404619200.0,-8,20,29,3,1,1,19,10,-19,-5,11,-1,-80,9,49,-22,47,18,23,-12,10,3,1,-13,6,-1,-8,2,-1,5,-3,-2,14,-6
090750_3..S01R::1404619200.0,5,13,6,6,16,5,-8,-10,11,11,0,-5,65,-69,77,-15,62,89,11,16,-12,-2,8,18,-12,-5,-6,6,6,8,8,8,-5,10
091950_3..S01R::1404619200.0,8,0,11,15,2,6,22,6,101,0,-3,-11,-39,-13,11,3,65,10,19,12,4,-15,3,-6,3,-9,6,9,5,-4,-14,-24,1,1
093150_3..S01R::1404619200.0,12,8,19,13,14,31,1,9,-19,8,1,-12,-36,-4,69,2,65,37,-3,4,7,12,15,-5,2,-11,4,9,1,-6,2,9,1,3
094350_3..S01R::1404619200.0,-6,-3,-24,8,15,0,23,16,-19,-5,14,10,-44,-2,15,11,55,56,6,-9,-13,6,22,22,14,4,-2,1,-5,14,12,15,19,-7
095550_3..S01R::1404619200.0,3,8,-5,-34,15,25,18,-6,-19,5,-3,-70,-33,2,32,-9,64,112,31,12,-5,-8,13,15,14,4,53,-1,-5,16,5,-5,-10,-4
096750_3..S01R::1404619200.0,-60,13,28,18,-4,11,26,18,11,15,6,-6,-30,-19,26,11,41,11,14,14,9,4,16,19,1,18,16,-7,16,11,21,5,-7,12
097950_3..S01R::1404619200.0,-61,-12,-7,-11,16,14,-5,-13,-19,12,16,-5,-48,-5,98,15,11,20,3,-13,11,-15,15,20,-22,-5,1,2,-1,4,5,17,14,-1
099150_3..S01R::1404619200.0,2,1,24,15,7,1,13,1,-19,-27,8,7,-36,0,38,15,44,26,18,14,5,-7,26,4,24,24,5,15,7,-8,-7,-2,2,6
100350_3..S01R::1404619200.0,2,-4,-1,10,0,1,16,-1,41,-4,-9,-6,25,2,20,-4,51,19,-3,-11,0,4,-10,-1,-6,3,5,11,8,12,-20,19,-8,8
101550_3..S01R::1404619200.0,8,-6,1,1,17,9,12,6,11,-8,-2,15,-41,-6,24,0,32,35,5,-6,2,7,4,1,-2,2,20,7,2,-17,-1,-32,-5,5
102750_3..S01R::1404619200.0,-1,11,27,-1,10,5,30,-2,11,12,18,-2,-54,7,19,16,46,11,25,-21,13,-3,51,23,5,15,9,0,19,-12,-12,12,-7,13
103950_3..S01R::1404619200.0,1,8,21,4,0,12,0,1,11,10,19,-13,-31,23,39,27,58,16,19,1,12,-27,25,2,8,8,4,12,7,14,-14,-1,-7,0
105150_3..S01R::1404619200.0,-12,4,-1,-11,9,-10,3,4,11,0,10,-7,-59,12,7,1,44,16,17,14,3,23,17,-1,20,-3,26,13,8,1,-4,-19,9,7
106400_3..S01R::1404619200.0,-33,-7,11,9,22,16,4,-14,-19,-9,-13,13,-43,-5,9,-15,56,24,11,5,-10,10,18,21,19,7,8,3,0,-12,2,10,-6,-3
107600_3..S01R::1404619200.0,-11,-11,19,-8,-1,22,-6,-8,-19,19,54,-2,-48,-6,12,14,45,24,13,-8,14,-10,29,-4,4,-24,1,11,5,8,7,21,11,4
108800_3..S01R::1404619200.0,2,5,3,15,10,19,17,-1,-19,16,-4,-10,-94,33,63,31,66,15,21,-7,10,-5,33,19,8,4,-4,-7,-47,14,-14,17,-9,-55
110000_3..S01R::1404619200.0,6,1,14,-6,23,-1,5,-4,11,6,-2,-2,-101,-1,12,-7,53,18,7,3,-4,-134,27,22,-7,12,28,-5,-8,-15,13,23,-2,-11
111200_3..S01R::1404619200.0,1,-6,47,12,0,13,11,8,11,-10,-5,12,-95,10,9,4,45,4,9,11,4,-11,12,5,5,-33,10,-12,0,3,0,12,-11,-8
112400_3..S01R::1404619200.0,-38,10,19,11,12,28,14,-10,-19,-24,-10,13,-85,20,16,-15,45,30,1,4,-7,10,40,6,-8,-8,19,9,0,3,-21,8,-14,-1
113600_3..S01R::1404619200.0,10,9,-10,-13,11,20,9,16,11,10,-5,-36,-61,-8,39,9,60,16,20,-5,7,13,34,5,29,3,18,-12,12,5,-3,13,9,-20
114800_3..S01R::1404619200.0,1,3,256,-10,16,18,32,-1,-19,6,-13,1,60,-1,24,-7,52,22,10,1,-5,-17,-15,0,16,9,13,-19,8,-12,-4,10,-6,5
116000_3..S01R::1404619200.0,5,-4,39,2,30,25,-10,10,-19,-7,0,-15,-94,-73,10,-5,-41,20,17,-13,-1,-6,0,18,12,5,-8,-8,-11,-67,132,8,-5,21
117200_3..S01R::1404619200.0,-7,9,5,144,-6,-9,-21,-72,-19,-27,-12,-7,-95,6,-7,-11,52,24,12,-82,-11,-12,13,4,18,-12,10,-13,12,-1,0,16,12,9
118400_3..S01R::1404619200.0,10,-23,50,4,12,26,14,19,41,15,-1,-20,-63,-4,10,7,64,-2,-37,3,-2,6,20,-34,16,9,0,5,22,10,-28,11,8,13
119600_3..S01R::1404619200.0,0,-6,-5,4,4,28,26,12,11,-8,23,12,-68,0,9,5,61,35,21,-8,11,1,26,-1,7,2,7,10,6,15,12,-5,-12,5
120800_3..S01R::1404619200.0,9,1,17,-3,0,67,25,10,11,22,14,-2,-70,-2,29,5,48,19,13,3,8,-2,27,26,42,-3,7,6,-5,-4,-7,-4,3,-4
122000_3..S01R::1404619200.0,18,4,28,2,21,32,2,-28,11,9,0,5,-67,27,12,21,51,23,5,15,-65,2,4,12,-2,20,29,18,3,21,-38,23,17,24
123200_3..S01R::1404619200.0,0,-13,33,0,7,8,15,22,11,14,16,6,-49,5,20,-20,53,5,18,6,-33,1,3,21,14,7,-10,-3,18,15,15,3,-8,14
124400_3..S01R::1404619200.0,10,14,29,-7,-16,22,-10,13,-19,15,2,4,-83,-3,29,7,57,1,4,2,4,-14,17,-23,3,2,2,-12,12,11,3,13,5,10
125600_3..S01R::1404619200.0,17,5,6,-6,57,-25,10,11,11,4,-2,23,-86,-11,5,6,39,1,12,11,-2,-11,-2,27,20,-10,12,-15,13,1,10,-7,-26,-15
126800_3..S01R::1404619200.0,1,0,31,11,31,19,10,1,11,24,-8,-14,-46,-1,49,-1,51,7,10,14,-25,14,18,25,2,1,27,10,10,12,-16,18,-10,9
128000_3..S01R::1404619200.0,-3,-5,3,-2,-2,6,-8,11,-19,-9,-8,5,-90,2,22,-8,42,-4,29,-7,-14,-5,8,-34,6,-19,-10,-28,-3,-4,50,18,11,-11
129200_3..S01R::1404619200.0,-6,4,22,-13,19,9,13,8,41,5,16,-5,-67,4,21,2,37,16,1,22,2,16,2,-4,-3,-3,-6,5,-1,6,-6,25,16,-4
130400_3..S01R::1404619200.0,-6,-2,8,-11,8,-7,20,-17,11,1,10,3,-89,7,-9,10,88,21,24,20,11,15,24,19,7,-10,-5,-8,16,-6,-2,7,20,14
131750_3..S01R::1404619200.0,2,-11,2,-10,5,11,6,-3,-19,-12,15,-11,14,13,-2,-12,43,-23,-6,10,-51,-6,2,-53,17,-5,19,9,-4,-2,-20,-1,0,23
133250_3..S01R::1404619200.0,11,12,1,-5,-4,10,-1,10,-19,9,3,-22,11,-11,25,7,41,75,-14,-5,-17,-147,-33,20,11,14,59,4,3,-9,-10,-24,2,4
134950_3..S01R::1404619200.0,1,3,-1,6,19,-28,8,3,-19,9,25,9,2,40,-24,0,49,1,10,-13,5,0,34,14,2,0,21,1,-3,-17,26,17,-28,-9
136650_3..S01R::1404619200.0,10,-19,1,10,15,9,2,-18,11,5,5,-8,11,-15,27,12,53,22,-3,-12,-19,6,-3,0,14,0,7,9,7,-18,-6,4,-5,5
140700_3..S42R::1404619200.0,,,,,,,-181,12,-49,,,,,,40,0,,,,,-49,,,,11,,5,,,,6,,,
000250_3..S42R::1404619200.0,,,,,,,,,-169,,,,,,,,,,,,,,,,,,,,,,,,,
002250_3..S42R::1404619200.0,,,,,,,,,-1369,,,,,,,,,,,,,,,,,,,,,,,,,
138450_3..S01R::1404705600.0,3,-9,,,,,,,,551,-13,,13,,,,38,,,-16,,,,,,-28,,,,1,,,-36,
000250_3..S42R::1404705600.0,,,,,,,-271,-12,-169,,,,,,20,12,,,,,-15,,,,10,,54,,,,-2,,,
002250_3..S42R::1404705600.0,,,,,,,-278,4,11,,,,,,16,-4,,,,,-7,,,,20,,6,,,,-9,,,
142700_3..S42R::1404705600.0,,,,,,,-206,,,,,,,,40,,,,,,,,,,,,,,,,,,,
004250_3..S42R::1404705600.0,,,,,,,-273,-8,41,,,,,,28,-21,,,,,-10,,,,-47,,8,,,,-4,,,
006250_3..S42R::1404705600.0,,,,,,,-249,7,11,,,,,,34,-12,,,,,-52,,,,-49,,10,,,,-7,,,
008250_3..S42R::1404705600.0,,,,,,,-263,-10,11,,,,,,26,-8,,,,,0,,,,-1,,6,,,,-16,,,
010250_3..S42R::1404705600.0,,,,,,,-260,14,-19,,,,,,32,8,,,,,11,,,,8,,16,,,,4,,,
012250_3..S42R::1404705600.0,,,,,,,-263,43,-19,,,,,,30,-9,,,,,-7,,,,19,,13,,,,-4,,,
014250_3..S42R::1404705600.0,,,,,,,-262,-15,-19,,,,,,37,-13,,,,,-10,,,,-7,,159,,,,-11,,,
016250_3..S42R::1404705600.0,,,,,,,-268,1,191,,,,,,36,3,,,,,-17,,,,-14,,-3,,,,-22,,,
018250_3..S42R::1404705600.0,,,,,,,-275,5,-19,,,,,,38,4,,,,,10,,,,7,,-1,,,,-14,,,
020250_3..S42R::1404705600.0,,,,,,,-268,-7,11,,,,,,36,-12,,,,,-7,,,,-9,,79,,,,4,,,
022250_3..S42R::1404705600.0,,,,,,,-284,5,71,,,,,,43,5,,,,,-21,,,,9,,-11,,,,-15,,,
024250_3..S42R::1404705600.0,,,,,,,-265,-1,11,,,,,,35,0,,,,,4,,,,7,,112,,,,1,,,
026250_3..S42R::1404705600.0,,,,,,,-257,-15,41,,,,,,25,-18,,,,,-11,,,,-15,,15,,,,-28,,,
028250_3..S42R::1404705600.0,,,,,,,-274,-12,41,,,,,,18,-15,,,,,-12,,,,-13,,53,,,,-5,,,
030250_3..S01R::1404705600.0,-28,-10,1,9,-8,-12,4,-5,-19,-8,-14,-15,-1,7,18,-9,60,48,-52,5,-1,5,70,5,-6,12,87,10,3,-90,3,9,-7,3
031300_3..S42R::1404705600.0,,,,,,,-2,1,-19,,,,,,20,-3,,,,,10,,,,-6,,3,,,,43,,,
031750_3..S01R::1404705600.0,-6,-18,-3,-3,-6,3,-2,-38,-19,8,72,9,5,-14,-2,-8,58,4,13,9,-4,-12,31,3,-42,-6,-20,-11,-16,-24,10,22,16,14
033150_3..S01R::1404705600.0,8,8,-47,-9,7,0,9,3,11,8,53,-37,53,1,10,-6,70,19,21,8,23,-13,18,1,-5,-13,24,9,1,-6,-11,40,1,-4
033550_3..S42R::1404705600.0,,,,,,,3,0,11,,,,,,20,-10,,,,,-17,,,,6,,1,,,,-10,,,
034750_3..S01R::1404705600.0,-3,-6,12,-6,15,20,6,17,11,-2,-15,3,22,-9,16,4,57,26,6,-14,-7,-12,8,15,15,2,15,-2,-7,11,-15,6,-10,-7
035900_3..S01R::1404705600.0,0,3,3,-6,4,6,7,-1,11,-36,1076,-22,99,-20,36,-34,104,71,-3,-1,4,-18,56,18,6,-12,110,5,1,4,3,16,-12,-23
036900_3..S01R::1404705600.0,1078,0,20,3,18,-5,8,-2,-19,-7,60,-18,84,5,22,-12,52,104,9,-8,-5,-4,9,8,-6,2,83,-9,-9,8,-18,15,-10,-4
037900_3..S01R::1404705600.0,,-1,0,-8,16,16,4,-7,41,-7,,2,349,16,19,-13,,29,5,-29,-6,-11,9,6,-4,,22,-13,13,,5,-18,,11
038900_3..S01R::1404705600.0,,11,61,-1,19,41,7,10,-19,21,,21,196,-3,67,8,,28,24,-7,8,5,39,-13,6,,30,18,2,,11,12,,-6
040150_3..S01R::1404705600.0,199,-5,57,-13,-7,16,18,13,-49,2,548,0,215,-4,18,12,78,92,14,-3,-16,11,64,19,13,-24,82,-3,-3,7,9,14,15,-1
040900_3..S01R::1404705600.0,303,12,8,-12,20,22,37,5,-79,-15,277,3,219,-1,87,-7,88,25,3,8,-12,-4,4,-3,-15,18,18,14,1,-11,-3,23,-1,-1
